Variant_Name,Master_Company_Name,Match_Score,Match_Type,Confidence,Status,Sources,Date_Created
360 ONE WAM LIMITED,360 ONE WAM LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
3M INDIA LIMITED,3M INDIA LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
ACC Limited,ACC Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
ADANI POWER LIMITED,ADANI POWER LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
AIA ENGINEERING LIMITED,AIA ENGINEERING LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
ALEMBIC PHARMACEUTICALS LIMITED,ALEMBIC PHARMACEUTICALS LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
ALKYL AMINES CHEMICALS LIMITED,ALKYL AMINES CHEMICALS LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
ALOK INDUSTRIES LIMITED,ALOK INDUSTRIES LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
APAR Industries Limited,APAR Industries Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Ballarpur Industries (BILT),APAR Industries Limited,68,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
APL Apollo Tubes,APL Apollo Tubes,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Tayo Rolls,APL Apollo Tubes,46,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
APL Apollo Tubes Limited,APL Apollo Tubes Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
ARVIND LIMITED,ARVIND LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Arvind Limited,ARVIND LIMITED,100,EXACT,HIGH,AUTO,SCOPE3,2026-01-14
Mukand Limited,ARVIND LIMITED,79,FUZZY,LOW,REVIEW_NEEDED,ALL_SOURCES,2026-01-14
AU Small Finance Bank Limited,AU Small Finance Bank Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Alliance Air,AU Small Finance Bank Limited,54,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
AUROBINDO PHARMA LIMITED,AUROBINDO PHARMA LIMITED,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Aarti Industries Limited,Aarti Industries Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Aavas Financiers Limited,Aavas Financiers Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
"Adani Airports (Mumbai, Ahmedabad, 6 others)","Adani Airports (Mumbai, Ahmedabad, 6 others)",100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Adani Energy Solutions Limited,Adani Energy Solutions Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Adani Enterprises Limited,Adani Enterprises Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Adani Ports and Special Economic Zone Limited,Adani Ports and Special Economic Zone Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Adani Total Gas Limited,Adani Total Gas Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
Aditya Birla Capital Limited,Aditya Birla Capital Limited,100,CANONICAL,HIGH,CANONICAL,MASTER_DB,2026-01-14
"Aditya Birla Fashion (Allen Solly, Peter England)",Aditya Birla Capital Limited,55,FUZZY,VERY_LOW,MANUAL_REVIEW,SCOPE3,2026-01-14
