Company_Name,Field,Old_Value,New_Value,Source,Timestamp
Vedanta,Water_Consumption_Normalized,,5969.700010033109,Calculated: Water_KL / Revenue_Cr,2026-01-17T18:45:45.699082
Vedanta,Waste_Generated_Normalized,,548.9965887428514,Calculated: Waste_MT / Revenue_Cr,2026-01-17T18:45:45.700084
Vedanta,Water_Intensity,,5969.700010033109,Calculated: Water_KL / Revenue_Cr,2026-01-17T18:45:45.700084
Bajaj Finance Limited,Land_Intensity,,0.0,Calculated: (Land_Owned + Land_Leased) / Revenue_Cr,2026-01-17T18:45:45.701089
Bajaj Finserv Limited,Land_Intensity,,0.0001345069111145452,Calculated: (Land_Owned + Land_Leased) / Revenue_Cr,2026-01-17T18:45:45.702087
Can Fin Homes Limited,Land_Intensity,,0.0,Calculated: (Land_Owned + Land_Leased) / Revenue_Cr,2026-01-17T18:45:45.702087
Cholamandalam Financial Holdings Limited,Land_Intensity,,0.0,Calculated: (Land_Owned + Land_Leased) / Revenue_Cr,2026-01-17T18:45:45.702087
INDIAN RAILWAY FINANCE CORPORATION LIMITED,Land_Intensity,,1.8411859299517132e-05,Calculated: (Land_Owned + Land_Leased) / Revenue_Cr,2026-01-17T18:45:45.702087
Power Finance Corporation Limited,Land_Intensity,,0.0,Calculated: (Land_Owned + Land_Leased) / Revenue_Cr,2026-01-17T18:45:45.702087
REC Limited,Land_Intensity,,0.0,Calculated: (Land_Owned + Land_Leased) / Revenue_Cr,2026-01-17T18:45:45.702087
Tata Investment Corporation Limited,Land_Intensity,,0.0,Calculated: (Land_Owned + Land_Leased) / Revenue_Cr,2026-01-17T18:45:45.702087
MAHARASHTRA SCOOTERS LIMITED,Land_Leased_ha,,0.0,v3_FINAL_COMPLETE,2026-01-17T18:45:45.752879
MUTHOOT FINANCE LIMITED,Land_Leased_ha,,0.0,v3_FINAL_COMPLETE,2026-01-17T18:45:45.753882
Mahindra  Mahindra Financial Services Limited,Land_Owned_ha,,0.0,v3_FINAL_COMPLETE,2026-01-17T18:45:45.754784
Mahindra Lifespace Developers Limited,Land_Leased_ha,,0.0,v3_FINAL_COMPLETE,2026-01-17T18:45:45.754784
Max Financial Services Limited,Land_Owned_ha,,0.0,v3_FINAL_COMPLETE,2026-01-17T18:45:45.755879
MedPlus Health Services Limited,Land_Owned_ha,,0.0,v3_FINAL_COMPLETE,2026-01-17T18:45:45.755879
Metro Brands Limited,Land_Owned_ha,,0.0,v3_FINAL_COMPLETE,2026-01-17T18:45:45.756878
Metropolis Healthcare Limited,Land_Owned_ha,,0.0,v3_FINAL_COMPLETE,2026-01-17T18:45:45.756878
Motilal Oswal Financial Services Limited,Land_Owned_ha,,0.0,v3_FINAL_COMPLETE,2026-01-17T18:45:45.756878
NUVAMA WEALTH MANAGEMENT LIMITED,Land_Owned_ha,,0.0,v3_FINAL_COMPLETE,2026-01-17T18:45:45.758878
Newgen Software Technologies Limited,Land_Owned_ha,,0.0,v3_FINAL_COMPLETE,2026-01-17T18:45:45.760790
