Gemini_Name,V7_Name,Match_Score
360 ONE WAM LIMITED,360 ONE WAM LIMITED,1.0
Aavas Financiers Limited,Aavas Financiers Limited,1.0
Aditya Birla Capital Limited,Aditya Birla Capital Limited,1.0
Aditya Birla Fashion and Retail Limited,Aditya Birla Fashion and Retail Limited,1.0
Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life AMC Limited,1.0
Anand Rathi Wealth Limited,Anand Rathi Wealth Limited,1.0
Aptus Value Housing Finance India Limited,Aptus Value Housing Finance India Limited,1.0
Axis Bank Limited,Axis Bank Limited,1.0
BANK OF INDIA,BANK OF INDIA,1.0
BANK OF MAHARASHTRA,BANK OF MAHARASHTRA,1.0
BLS International Services Limited,BLS International Services Limited,1.0
Bajaj Auto Limited,Bajaj Auto Limited,1.0
Bajaj Finance Limited,Bajaj Finance Limited,1.0
Bajaj Finserv Limited,Bajaj Finserv Limited,1.0
Bajaj Holdings & Investment Limited,Bajaj Holdings  Investment Limited,0.9855072463768116
Bandhan Bank Limited,Bandhan Bank Limited,1.0
Birlasoft Limited,Birlasoft Limited,1.0
CE INFO SYSTEMS LIMITED,CE INFO SYSTEMS LIMITED,1.0
CITY UNION BANK LIMITED,CITY UNION BANK LIMITED,1.0
Can Fin Homes Limited,Can Fin Homes Limited,1.0
Canara Bank,Canara Bank,1.0
Capri Global Capital Limited,Capri Global Capital Limited,1.0
Cholamandalam Financial Holdings Limited,Cholamandalam Financial Holdings Limited,1.0
Cholamandalam Investment and Finance Company Limited,Cholamandalam Investment and Finance Company Limited,1.0
Computer Age Management Services Limited,Computer Age Management Services Limited,1.0
CreditAccess Grameen Limited,CreditAccess Grameen Limited,1.0
Delhivery Limited,Delhivery Limited,1.0
Devyani International Limited,Devyani International Limited,1.0
Easy Trip Planners Limited,Easy Trip Planners Limited,1.0
Equitas Small Finance Bank Limited,Equitas Small Finance Bank Limited,1.0
Firstsource Solutions Limited,Firstsource Solutions Limited,1.0
Five-Star Business Finance Limited,Five-Star Business Finance Limited,1.0
General Insurance Corporation of India,General Insurance Corporation of India,1.0
Go Digit General Insurance Limited,Go Digit General Insurance Limited,1.0
Godrej Properties Limited,Godrej Properties Limited,1.0
HDFC Asset Management Company Limited,HDFC Asset Management Company Limited,1.0
HDFC Bank Limited,HDFC Bank Limited,1.0
HDFC Life Insurance Company Limited,HDFC Life Insurance Company Limited,1.0
HONEYWELL AUTOMATION INDIA LIMITED,HONEYWELL AUTOMATION INDIA LIMITED,1.0
Happiest Minds Technologies Limited,Happiest Minds Technologies Limited,1.0
Home First Finance Company India Limited,Home First Finance Company India Limited,1.0
Honasa Consumer Limited,Honasa Consumer Limited,1.0
ICICI Bank Limited,ICICI Bank Limited,1.0
ICICI Lombard General Insurance Company Limited,ICICI Lombard General Insurance Company Limited,1.0
ICICI Prudential Life Insurance Company Limited,ICICI Prudential Life Insurance Company Limited,1.0
IDBI Bank Limited,IDBI Bank Limited,1.0
IDFC FIRST Bank Limited,IDFC FIRST Bank Limited,1.0
IFCI Limited,IFCI Limited,1.0
IIFL Finance Limited,IIFL Finance Limited,1.0
INDIAN OVERSEAS BANK,INDIAN OVERSEAS BANK,1.0
REC Limited,REC Limited,1.0
INDIAN RAILWAY FINANCE CORPORATION LIMITED,INDIAN RAILWAY FINANCE CORPORATION LIMITED,1.0
Indegene Limited,Indegene Limited,1.0
Indian Energy Exchange Limited,Indian Energy Exchange Limited,1.0
Indian Renewable Energy Development Agency Limited,Indian Renewable Energy Development Agency Limited,1.0
Indus Towers Limited,Indus Towers Limited,1.0
IndusInd Bank Limited,IndusInd Bank Limited,1.0
Infibeam Avenues Limited,Infibeam Avenues Limited,1.0
Infosys Limited,Infosys Limited,1.0
InterGlobe Aviation Limited,InterGlobe Aviation Limited,1.0
Ircon International Limited,Ircon International Limited,1.0
JM Financial Limited,JM Financial Limited,1.0
Jio Financial Services Limited,Jio Financial Services Limited,1.0
Jubilant FoodWorks Limited,Jubilant FoodWorks Limited,1.0
Jupiter Life Line Hospitals Limited,Jupiter Life Line Hospitals Limited,1.0
Just Dial Limited,Just Dial Limited,1.0
KARUR VYSYA BANK LIMITED,KARUR VYSYA BANK LIMITED,1.0
KFin Technologies Limited,KFin Technologies Limited,1.0
KNR Constructions Limited,KNR Constructions Limited,1.0
KOTAK MAHINDRA BANK LIMITED,KOTAK MAHINDRA BANK LIMITED,1.0
Keystone Realtors Limited,Keystone Realtors Limited,1.0
LIC Housing Finance Limited,LIC Housing Finance Limited,1.0
Latent View Analytics Limited,Latent View Analytics Limited,1.0
Life Insurance Corporation of India,Life Insurance Corporation of India,1.0
Power Finance Corporation Limited,Power Finance Corporation Limited,1.0
Punjab & Sind Bank,Punjab & Sind Bank,1.0
Railtel Corporation of India Limited,Railtel Corporation of India Limited,1.0
Tata Investment Corporation Limited,Tata Investment Corporation Limited,1.0
Union Bank of India,UNION BANK OF INDIA,1.0
Bangalore International Airport Ltd (BIAL),Bangalore International Airport Ltd (BIAL),1.0
