Variant_Name,Master_DB_Name,Source,Match_Confidence,Notes
360 ONE WAM,360 ONE WAM LIMITED,C3.2_Water_Quality,HIGH,Exact match sans suffix
3M INDIA LIMITED,3M INDIA LIMITED,C3.2_Water_Quality,HIGH,Exact match
ACC Limited,ACC Limited,G2.1_Land_BRSR,HIGH,Exact match
ADANI POWER LIMITED,ADANI POWER LIMITED,C3.2_Water_Quality,HIGH,Exact match
AIA ENGINEERING,AIA ENGINEERING LIMITED,C3.2_Water_Quality,HIGH,Core name match
ALEMBIC PHARMA,ALEMBIC PHARMACEUTICALS LIMITED,C3.2_Water_Quality,HIGH,Common abbreviation
ALKYL AMINES,ALKYL AMINES CHEMICALS LIMITED,C3.2_Water_Quality,HIGH,Abbreviated
ALOK INDUSTRIES LIMITED,ALOK INDUSTRIES LIMITED,G2.1_Land_BRSR,HIGH,Exact match
APAR Industries,APAR Industries Limited,C3.2_Water_Quality,HIGH,Core name match
APL Apollo Tubes Limited,APL Apollo Tubes Limited,G2.1_Land_BRSR,HIGH,Exact match
APL Apollo Tubes,APL Apollo Tubes,G2.2_Land_AR,HIGH,Exact V2 match
ARVIND LIMITED,ARVIND LIMITED,G2.1_Land_BRSR,HIGH,Exact match
AU Small Finance Bank Limited,AU Small Finance Bank Limited,G2.1_Land_BRSR,HIGH,Exact match
AUROBINDO PHARMA,AUROBINDO PHARMA LIMITED,C3.1_Renewable,HIGH,Abbreviated
Aarti Industries,Aarti Industries Limited,C3.2_Water_Quality,HIGH,Core name match
Aavas Financiers,Aavas Financiers Limited,C3.1_Renewable,HIGH,Core name match
Adani Energy Solutions,Adani Energy Solutions Limited,C3.1_Renewable,HIGH,Core name match
Adani Enterprises,Adani Enterprises Limited,C3.1_Renewable,HIGH,Core name match
Adani Enterprises Limited,Adani Enterprises Limited,Facility_Geocoding,HIGH,Exact match
Adani Ports,Adani Ports and Special Economic Zone Limited,G2.1_Land_BRSR,HIGH,Standard abbreviation
Adani Ports & SEZ,Adani Ports and Special Economic Zone Limited,C2.1_Scope3_Manual,HIGH,Standard abbreviation
Adani Total Gas,Adani Total Gas Limited,C3.1_Renewable,HIGH,Core name match
Aditya Birla Capital,Aditya Birla Capital Limited,G2.1_Land_BRSR,HIGH,Core name match
Aditya Birla Fashion,Aditya Birla Fashion and Retail Limited,C3.1_Renewable,HIGH,Abbreviated
Aditya Birla Sun Life AMC,Aditya Birla Sun Life AMC Limited,G2.1_Land_BRSR,HIGH,Core name match
Aegis Logistics Limited,Aegis Logistics Limited,G2.1_Land_BRSR,HIGH,Exact match
