Master_DB_Name,Variant_Source,Variant_Name,Match_Confidence,Date_Added
360 ONE WAM LIMITED,MASTER_DB,360 ONE WAM LIMITED,CANONICAL,2026-01-14
3M INDIA LIMITED,MASTER_DB,3M INDIA LIMITED,CANONICAL,2026-01-14
ACC Limited,MASTER_DB,ACC Limited,CANONICAL,2026-01-14
ADANI POWER LIMITED,MASTER_DB,ADANI POWER LIMITED,CANONICAL,2026-01-14
AIA ENGINEERING LIMITED,MASTER_DB,AIA ENGINEERING LIMITED,CANONICAL,2026-01-14
ALEMBIC PHARMACEUTICALS LIMITED,MASTER_DB,ALEMBIC PHARMACEUTICALS LIMITED,CANONICAL,2026-01-14
ALKYL AMINES CHEMICALS LIMITED,MASTER_DB,ALKYL AMINES CHEMICALS LIMITED,CANONICAL,2026-01-14
ALOK INDUSTRIES LIMITED,MASTER_DB,ALOK INDUSTRIES LIMITED,CANONICAL,2026-01-14
APAR Industries Limited,MASTER_DB,APAR Industries Limited,CANONICAL,2026-01-14
APL Apollo Tubes Limited,MASTER_DB,APL Apollo Tubes Limited,CANONICAL,2026-01-14
ARVIND LIMITED,MASTER_DB,ARVIND LIMITED,CANONICAL,2026-01-14
AU Small Finance Bank Limited,MASTER_DB,AU Small Finance Bank Limited,CANONICAL,2026-01-14
AUROBINDO PHARMA LIMITED,MASTER_DB,AUROBINDO PHARMA LIMITED,CANONICAL,2026-01-14
Aarti Industries Limited,MASTER_DB,Aarti Industries Limited,CANONICAL,2026-01-14
Aavas Financiers Limited,MASTER_DB,Aavas Financiers Limited,CANONICAL,2026-01-14
Adani Energy Solutions Limited,MASTER_DB,Adani Energy Solutions Limited,CANONICAL,2026-01-14
Adani Enterprises Limited,MASTER_DB,Adani Enterprises Limited,CANONICAL,2026-01-14
Adani Ports and Special Economic Zone Limited,MASTER_DB,Adani Ports and Special Economic Zone Limited,CANONICAL,2026-01-14
Adani Total Gas Limited,MASTER_DB,Adani Total Gas Limited,CANONICAL,2026-01-14
Aditya Birla Capital Limited,MASTER_DB,Aditya Birla Capital Limited,CANONICAL,2026-01-14
Aditya Birla Fashion and Retail Limited,MASTER_DB,Aditya Birla Fashion and Retail Limited,CANONICAL,2026-01-14
Aditya Birla Sun Life AMC Limited,MASTER_DB,Aditya Birla Sun Life AMC Limited,CANONICAL,2026-01-14
Aegis Logistics Limited,MASTER_DB,Aegis Logistics Limited,CANONICAL,2026-01-14
Aether Industries Limited,MASTER_DB,Aether Industries Limited,CANONICAL,2026-01-14
Ajanta Pharma Limited,MASTER_DB,Ajanta Pharma Limited,CANONICAL,2026-01-14
Akzo Nobel India Limited,MASTER_DB,Akzo Nobel India Limited,CANONICAL,2026-01-14
Alkem Laboratories Limited,MASTER_DB,Alkem Laboratories Limited,CANONICAL,2026-01-14
Amara Raja Energy  Mobility Limited,MASTER_DB,Amara Raja Energy  Mobility Limited,CANONICAL,2026-01-14
Amber Enterprises India Limited,MASTER_DB,Amber Enterprises India Limited,CANONICAL,2026-01-14
Ambuja Cements Limited,MASTER_DB,Ambuja Cements Limited,CANONICAL,2026-01-14
Anand Rathi Wealth Limited,MASTER_DB,Anand Rathi Wealth Limited,CANONICAL,2026-01-14
Anant Raj Limited,MASTER_DB,Anant Raj Limited,CANONICAL,2026-01-14
Anupam Rasayan India Limited,MASTER_DB,Anupam Rasayan India Limited,CANONICAL,2026-01-14
Apollo Tyres Limited,MASTER_DB,Apollo Tyres Limited,CANONICAL,2026-01-14
Aptus Value Housing Finance India Limited,MASTER_DB,Aptus Value Housing Finance India Limited,CANONICAL,2026-01-14
Asahi India Glass Limited,MASTER_DB,Asahi India Glass Limited,CANONICAL,2026-01-14
Ashok Leyland Limited,MASTER_DB,Ashok Leyland Limited,CANONICAL,2026-01-14
Asian Paints Limited,MASTER_DB,Asian Paints Limited,CANONICAL,2026-01-14
Aster DM Healthcare Limited,MASTER_DB,Aster DM Healthcare Limited,CANONICAL,2026-01-14
AstraZeneca Pharma India Limited,MASTER_DB,AstraZeneca Pharma India Limited,CANONICAL,2026-01-14
Astral Limited,MASTER_DB,Astral Limited,CANONICAL,2026-01-14
Atul Limited,MASTER_DB,Atul Limited,CANONICAL,2026-01-14
Avenue Supermarts Limited,MASTER_DB,Avenue Supermarts Limited,CANONICAL,2026-01-14
Axis Bank Limited,MASTER_DB,Axis Bank Limited,CANONICAL,2026-01-14
BAJAJ ELECTRICALS LIMITED,MASTER_DB,BAJAJ ELECTRICALS LIMITED,CANONICAL,2026-01-14
