Variant_Name,Master_Company_Name,Match_Score,Match_Type,Confidence,Status,Sources,Date_Created
Authum Investment  Infrastructure Limited,JSW Infrastructure Limited,72,FUZZY,LOW,REVIEW_NEEDED,XBRL|BRSR_REVENUE|REVENUE_INT|SCOPE3,2026-01-14
Central Bank of India,BANK OF INDIA,76,FUZZY,LOW,REVIEW_NEEDED,XBRL|BRSR_REVENUE|REVENUE_INT|SCOPE3,2026-01-14
Kansai Nerolac Paints Limited,Asian Paints Limited,69,FUZZY,VERY_LOW,MANUAL_REVIEW,XBRL|BRSR_REVENUE|REVENUE_INT|SCOPE3,2026-01-14
RAJESH EXPORTS LIMITED,Gujarat Ambuja Exports Limited,73,FUZZY,LOW,REVIEW_NEEDED,XBRL|BRSR_REVENUE|REVENUE_INT|SCOPE3,2026-01-14
TVS Holdings Limited,Voltas Limited,71,FUZZY,LOW,REVIEW_NEEDED,XBRL|BRSR_REVENUE|REVENUE_INT|SCOPE3,2026-01-14
Angel One Limited,Indegene Limited,79,FUZZY,LOW,REVIEW_NEEDED,BRSR_REVENUE|ALL_SOURCES|SCOPE3,2026-01-14
Archean Chemical Industries Limited,Reliance Industries Limited,81,FUZZY,LOW,REVIEW_NEEDED,BRSR_REVENUE|ALL_SOURCES|SCOPE3,2026-01-14
Bank of Baroda,BANK OF INDIA,67,FUZZY,VERY_LOW,MANUAL_REVIEW,BRSR_REVENUE|SCOPE3,2026-01-14
CIE AUTOMOTIVE INDIA LIMITED,Gillette India Limited,76,FUZZY,LOW,REVIEW_NEEDED,BRSR_REVENUE|SCOPE3,2026-01-14
Crisil Limited,Cipla Limited,81,FUZZY,LOW,REVIEW_NEEDED,BRSR_REVENUE|SCOPE3,2026-01-14
Havells India Limited,BASF India Limited,82,FUZZY,LOW,REVIEW_NEEDED,BRSR_REVENUE|SCOPE3,2026-01-14
Indian Bank,INDIAN OVERSEAS BANK,71,FUZZY,LOW,REVIEW_NEEDED,BRSR_REVENUE|SCOPE3,2026-01-14
KSB Limited,Sobha Limited,83,FUZZY,LOW,REVIEW_NEEDED,BRSR_REVENUE|SCOPE3,2026-01-14
UCO BANK,Canara Bank,63,FUZZY,VERY_LOW,MANUAL_REVIEW,BRSR_REVENUE|ALL_SOURCES|SCOPE3,2026-01-14
Varun Beverages Limited,UNITED BREWERIES LIMITED,72,FUZZY,LOW,REVIEW_NEEDED,BRSR_REVENUE|SCOPE3,2026-01-14
Vesuvius India Limited,ESAB India Limited,80,FUZZY,LOW,REVIEW_NEEDED,BRSR_REVENUE|SCOPE3,2026-01-14
Westlife Foodworld Limited,Cello World Limited,71,FUZZY,LOW,REVIEW_NEEDED,BRSR_REVENUE|SCOPE3,2026-01-14
