Variant_Name,Master_DB_Name,Match_Score,Source,Notes
Cochin International Airport,Cochin International Airport (CIAL),88.88888888888889,AUTO_FUZZY,High confidence fuzzy match (score: 88.9)
DIVIS LABORATORIES LIMITED,DIVIS LABORATORIES LIMITED,100.0,AUTO_FUZZY,High confidence fuzzy match (score: 100.0)
DIVI'S LABORATORIES LIMITED,DIVIS LABORATORIES LIMITED,98.11320754716981,AUTO_FUZZY,High confidence fuzzy match (score: 98.1)
Ipca Laboratories Limited,DIVIS LABORATORIES LIMITED,86.27450980392157,AUTO_FUZZY,High confidence fuzzy match (score: 86.3)
Damodar Valley Corporation,Damodar Valley Corporation (DVC),89.65517241379311,AUTO_FUZZY,High confidence fuzzy match (score: 89.7)
GAIL India Limited,GAIL India Limited,100.0,AUTO_FUZZY,High confidence fuzzy match (score: 100.0)
GAIL (India) Limited,GAIL India Limited,94.73684210526315,AUTO_FUZZY,High confidence fuzzy match (score: 94.7)
Oil India Limited,GAIL India Limited,91.42857142857143,AUTO_FUZZY,High confidence fuzzy match (score: 91.4)
Coal India Limited,GAIL India Limited,88.88888888888889,AUTO_FUZZY,High confidence fuzzy match (score: 88.9)
COAL INDIA LIMITED,GAIL India Limited,88.88888888888889,AUTO_FUZZY,High confidence fuzzy match (score: 88.9)
INDIAMART INTERMESH LIMITED,IndiaMART InterMESH Limited,100.0,AUTO_FUZZY,High confidence fuzzy match (score: 100.0)
JSW Energy,JSW Energy,100.0,AUTO_FUZZY,High confidence fuzzy match (score: 100.0)
Mahindra Holidays & Resorts India Limited,Mahindra Holidays & Resorts India Limited,100.0,AUTO_FUZZY,High confidence fuzzy match (score: 100.0)
Mahindra Holidays  Resorts India Limited,Mahindra Holidays & Resorts India Limited,98.76543209876543,AUTO_FUZZY,High confidence fuzzy match (score: 98.8)
Prism Johnson (Cement),Prism Johnson (Cement),100.0,AUTO_FUZZY,High confidence fuzzy match (score: 100.0)
Punjab & Sind Bank,Punjab & Sind Bank,100.0,AUTO_FUZZY,High confidence fuzzy match (score: 100.0)
Punjab  Sind Bank,Punjab & Sind Bank,97.14285714285714,AUTO_FUZZY,High confidence fuzzy match (score: 97.1)
SARDA ENERGY & MINERALS LIMITED,SARDA ENERGY & MINERALS LIMITED,100.0,AUTO_FUZZY,High confidence fuzzy match (score: 100.0)
SARDA ENERGY  MINERALS LIMITED,SARDA ENERGY & MINERALS LIMITED,98.36065573770492,AUTO_FUZZY,High confidence fuzzy match (score: 98.4)
West Coast Paper Mills,West Coast Paper Mills,100.0,AUTO_FUZZY,High confidence fuzzy match (score: 100.0)
