Company_Name,Sector,Missing_Count
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals & Healthcare,1
ALOK INDUSTRIES LIMITED,Chemicals & Fertilizers,1
Aegis Logistics Limited,Chemicals & Fertilizers,2
CE INFO SYSTEMS LIMITED,Chemicals & Fertilizers,2
Campus Activewear Limited,Chemicals & Fertilizers,1
Cello World Limited,Pharmaceuticals & Healthcare,1
DOMS Industries Limited,Chemicals & Fertilizers,1
Data Patterns India Limited,Information Technology,1
Engineers India Limited,Chemicals & Fertilizers,1
IFCI Limited,Chemicals & Fertilizers,3
Infibeam Avenues Limited,Chemicals & Fertilizers,3
Ircon International Limited,Chemicals & Fertilizers,1
JAI BALAJI INDUSTRIES LIMITED,Chemicals & Fertilizers,1
JAIPRAKASH POWER VENTURES LIMITED,Power Generation,1
JYOTI CNC AUTOMATION LIMITED,Chemicals & Fertilizers,1
KIOCL Limited,Steel & Iron,1
KNR Constructions Limited,Cement Manufacturing,1
KPR MILL LIMITED,Textiles & Apparel,1
Kalyan Jewellers India Limited,Pharmaceuticals & Healthcare,1
MAHARASHTRA SCOOTERS LIMITED,Chemicals & Fertilizers,3
Maharashtra Seamless Limited,Chemicals & Fertilizers,1
Man Infraconstruction Limited,Cement Manufacturing,1
Mishra Dhatu Nigam Limited,Chemicals & Fertilizers,1
NBCC India Limited,Cement Manufacturing,1
Oberoi Realty Limited,Real Estate & Construction,1
PATANJALI FOODS LIMITED,Pharmaceuticals & Healthcare,1
PNC Infratech Limited,Information Technology,1
POLY MEDICURE LIMITED,Pharmaceuticals & Healthcare,1
PTC Industries Limited,Chemicals & Fertilizers,1
Piramal Enterprises Limited,Chemicals & Fertilizers,1
Piramal Pharma Limited,Pharmaceuticals & Healthcare,1
Power Grid Corporation of India Limited,Power Generation,1
Power Mech Projects Limited,Power Generation,3
RATTANINDIA ENTERPRISES LIMITED,Chemicals & Fertilizers,3
RELIANCE POWER LIMITED,Oil & Gas,1
Ramkrishna Forgings Limited,Chemicals & Fertilizers,1
Redtape Limited,Chemicals & Fertilizers,3
Reliance Industries Limited,Oil & Gas,1
Responsive Industries Limited,Chemicals & Fertilizers,3
Signatureglobal India Limited,Chemicals & Fertilizers,1
Solar Industries India Limited,Chemicals & Fertilizers,1
Sona BLW Precision Forgings Limited,Chemicals & Fertilizers,1
Star Cement Limited,Cement Manufacturing,1
Sun Pharma Advanced Research Company Limited,Pharmaceuticals & Healthcare,2
Thomas Cook  India  Limited,Chemicals & Fertilizers,1
VALOR ESTATE LIMITED,Chemicals & Fertilizers,1
Vedant Fashions Limited,Textiles & Apparel,1
Welspun Corp Limited,Textiles & Apparel,1
Kalyani Steels,Steel & Iron,4
Sunflag Iron and Steel,Steel & Iron,4
Electrosteel Castings,Steel & Iron,4
Essar Steel India (AM/NS India),Steel & Iron,5
KIOCL (Kudremukh Iron Ore Company),Steel & Iron,5
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,Steel & Iron,5
Mrs. Bectors Food Specialities,Pharmaceuticals & Healthcare,4
Bikaji Foods,Pharmaceuticals & Healthcare,5
Varun Beverages (PepsiCo franchise),Pharmaceuticals & Healthcare,4
Heritage Foods,Pharmaceuticals & Healthcare,5
Vardhman Textiles,Textiles & Apparel,4
Himadri Speciality Chemical Limited,Chemicals & Fertilizers,4
SARDA ENERGY & MINERALS LIMITED,Steel & Iron,4
Tata Power,Power Generation,4
JSW Energy,Power Generation,4
Prism Johnson (Cement),Cement Manufacturing,5
Mangalam Cement,Cement Manufacturing,4
Sanghi Industries,Chemicals & Fertilizers,4
LT Technology Services Limited,Information Technology,4
Larsen & Toubro Limited,Information Technology,4
LTIMindtree Limited,Information Technology,4
APL Apollo Tubes,Steel & Iron,4
IndiGo (InterGlobe Aviation),Transportation & Logistics,5
"GMR Airports (Delhi, Hyderabad)",Transportation & Logistics,4
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Transportation & Logistics,4
GVK Mumbai Airport,Transportation & Logistics,5
Bangalore International Airport Ltd (BIAL),Transportation & Logistics,4
Sanofi India Limited,Pharmaceuticals & Healthcare,4
DIVI'S LABORATORIES LIMITED,Pharmaceuticals & Healthcare,4
JK Tyre & Industries Limited,Chemicals & Fertilizers,4
Schaeffler India Limited,Information Technology,4
Jindal Saw Limited,Steel & Iron,4
Narayana Hrudayalaya Ltd.,Pharmaceuticals & Healthcare,4
Minda Corporation Limited,Chemicals & Fertilizers,4
West Coast Paper Mills Limited,Information Technology,4
Bharat Heavy Electricals Limited (BHEL),Power Generation,5
Emami Paper Mills Limited,Information Technology,4
Seshasayee Paper and Boards Limited,Information Technology,4
Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),Information Technology,4
Damodar Valley Corporation (DVC),Power Generation,5
West Coast Paper Mills,Chemicals & Fertilizers,5
Welspun Living Limited (formerly Welspun India),Textiles & Apparel,5
CCL Products (India) Limited,Information Technology,4
ITC Limited (Paperboards Division),Pharmaceuticals & Healthcare,5
Nestle India,Pharmaceuticals & Healthcare,5
JK Paper,Chemicals & Fertilizers,4
K.P.R. MILL LIMITED,Information Technology,4
Mother Dairy,Pharmaceuticals & Healthcare,5
Haldiram Snacks Food Private Limited,Pharmaceuticals & Healthcare,5
Cochin International Airport (CIAL),Transportation & Logistics,4
IndiaMART InterMESH Limited,Information Technology,4
GAIL (India) Limited,Oil & Gas,4
Sagar Cements,Cement Manufacturing,5
Siemens Limited,Information Technology,5
Vedanta,Steel & Iron,5
