Master_DB_Name,Sector,Variant_Name_1,Variant_Name_2,Variant_Name_3,Variant_Name_4,All_Variants
Essar Steel India (AM/NS India),Steel & Iron,Essar Steel (AM/NS India),Essar Steel India (AM/NS India),AM/NS India,,Essar Steel (AM/NS India); Essar Steel India (AM/NS India); AM/NS India
KIOCL (Kudremukh Iron Ore Company),Steel & Iron,KIOCL (Kudremukh Iron Ore Company),,,,KIOCL (Kudremukh Iron Ore Company)
Bikaji Foods,Pharmaceuticals & Healthcare,Bikaji Foods,Bikaji Foods,,,Bikaji Foods; Bikaji Foods
Heritage Foods,Pharmaceuticals & Healthcare,Heritage Foods,Heritage Foods,Heritage Foods,,Heritage Foods; Heritage Foods; Heritage Foods
Prism Johnson (Cement),Cement Manufacturing,Prism Johnson (Cement),,,,Prism Johnson (Cement)
IndiGo (InterGlobe Aviation),Transportation & Logistics,IndiGo (InterGlobe Aviation),,,,IndiGo (InterGlobe Aviation)
GVK Mumbai Airport,Transportation & Logistics,GVK Mumbai Airport,,,,GVK Mumbai Airport
Bharat Heavy Electricals Limited (BHEL),Power Generation,BHEL,Bharat Heavy Electricals Limited (BHEL),BHEL,,BHEL; Bharat Heavy Electricals Limited (BHEL); BHEL
Damodar Valley Corporation (DVC),Power Generation,Damodar Valley Corp (DVC),Damodar Valley Corp (DVC),Damodar Valley Corporation (DVC),,Damodar Valley Corp (DVC); Damodar Valley Corp (DVC); Damodar Valley Corporation (DVC)
West Coast Paper Mills,Chemicals & Fertilizers,West Coast Paper,,,,West Coast Paper
Welspun Living Limited (formerly Welspun India),Textiles & Apparel,Welspun Living Limited (formerly Welspun India),,,,Welspun Living Limited (formerly Welspun India)
ITC Limited (Paperboards Division),Pharmaceuticals & Healthcare,ITC Limited (Paperboards Division),,,,ITC Limited (Paperboards Division)
Nestle India,Pharmaceuticals & Healthcare,Nestle India,,,,Nestle India
Mother Dairy,Pharmaceuticals & Healthcare,Mother Dairy,Mother Dairy,,,Mother Dairy; Mother Dairy
Haldiram Snacks Food Private Limited,Pharmaceuticals & Healthcare,Haldiram Snacks Food Private Limited,Haldiram Snacks,Haldiram Snacks,Haldiram Snacks Food Private Limited,Haldiram Snacks Food Private Limited; Haldiram Snacks; Haldiram Snacks; Haldiram Snacks Food Private Limited
Sagar Cements,Cement Manufacturing,Sagar Cements,Sagar Cements,,,Sagar Cements; Sagar Cements
Siemens Limited,Information Technology,Siemens Limited,Siemens Limited,Siemens Limited,,Siemens Limited; Siemens Limited; Siemens Limited
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,Steel & Iron,RINL - Vizag Steel,Rashtriya Ispat Nigam Limited (RINL),RINL - Vizag Steel,Rashtriya Ispat Nigam Limited (RINL),RINL - Vizag Steel; Rashtriya Ispat Nigam Limited (RINL); RINL - Vizag Steel; Rashtriya Ispat Nigam Limited (RINL); Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel
JSW Energy,Power Generation,JSW Energy,,,,JSW Energy
Vardhman Textiles,Textiles & Apparel,Vardhman Textiles,Vardhman Textiles,Vardhman Textiles,,Vardhman Textiles; Vardhman Textiles; Vardhman Textiles
Bangalore International Airport Ltd (BIAL),Transportation & Logistics,BIAL (Bangalore Airport),BIAL (Bangalore Airport),Bangalore International Airport Ltd (BIAL),,BIAL (Bangalore Airport); BIAL (Bangalore Airport); Bangalore International Airport Ltd (BIAL)
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Transportation & Logistics,GVK Mumbai Airport,Adani Airports,Adani Airports,MIAL,"GVK Mumbai Airport; Adani Airports; Adani Airports; MIAL; Adani Airports (Mumbai, Ahmedabad, 6 others)"
"GMR Airports (Delhi, Hyderabad)",Transportation & Logistics,GMR Airports,GMR Airports,DIAL,GHIAL,"GMR Airports; GMR Airports; DIAL; GHIAL; GMR Airports (Delhi, Hyderabad)"
APL Apollo Tubes,Steel & Iron,APL Apollo Tubes,APL Apollo Tubes,APL Apollo Tubes,,APL Apollo Tubes; APL Apollo Tubes; APL Apollo Tubes
LTIMindtree Limited,Information Technology,LTIMindtree Limited,LTIMindtree Limited,,,LTIMindtree Limited; LTIMindtree Limited
Larsen & Toubro Limited,Information Technology,Larsen & Toubro Limited,Larsen & Toubro Limited,Larsen & Toubro,Larsen & Toubro Limited,Larsen & Toubro Limited; Larsen & Toubro Limited; Larsen & Toubro; Larsen & Toubro Limited; Larsen & Toubro Limited; Larsen & Toubro
LT Technology Services Limited,Information Technology,LT Technology Services Limited,,,,LT Technology Services Limited
Kalyani Steels,Steel & Iron,Kalyani Steels,Kalyani Steels Limited,,,Kalyani Steels; Kalyani Steels Limited
Sunflag Iron and Steel,Steel & Iron,Sunflag Iron and Steel,Sunflag Iron and Steel,,,Sunflag Iron and Steel; Sunflag Iron and Steel
Electrosteel Castings,Steel & Iron,Electrosteel Castings,Electrosteel Castings,Electrosteel Castings,,Electrosteel Castings; Electrosteel Castings; Electrosteel Castings
Sanghi Industries,Chemicals & Fertilizers,Sanghi Industries,Sanghi Industries Limited,Sanghi Industries,Sanghi Industries Limited,Sanghi Industries; Sanghi Industries Limited; Sanghi Industries; Sanghi Industries Limited
Mangalam Cement,Cement Manufacturing,Mangalam Cement,Mangalam Cement,,,Mangalam Cement; Mangalam Cement
SARDA ENERGY & MINERALS LIMITED,Steel & Iron,SARDA ENERGY & MINERALS,SARDA ENERGY & MINERALS LIMITED,,,SARDA ENERGY & MINERALS; SARDA ENERGY & MINERALS LIMITED
Mrs. Bectors Food Specialities,Pharmaceuticals & Healthcare,Mrs. Bectors Food,Mrs. Bectors Food,Mrs. Bectors Food Specialities,,Mrs. Bectors Food; Mrs. Bectors Food; Mrs. Bectors Food Specialities
Himadri Speciality Chemical Limited,Chemicals & Fertilizers,Himadri Speciality Chemical Limited,Himadri Speciality,Himadri Speciality,Himadri Speciality,Himadri Speciality Chemical Limited; Himadri Speciality; Himadri Speciality; Himadri Speciality
Sanofi India Limited,Pharmaceuticals & Healthcare,Sanofi India Limited,Sanofi India Limited,Sanofi India Limited,,Sanofi India Limited; Sanofi India Limited; Sanofi India Limited
DIVI'S LABORATORIES LIMITED,Pharmaceuticals & Healthcare,DIVIS LABORATORIES LIMITED,DIVI'S LABORATORIES,Divi's Laboratories,DIVI'S LABORATORIES,DIVIS LABORATORIES LIMITED; DIVI'S LABORATORIES; Divi's Laboratories; DIVI'S LABORATORIES; Divi's Laboratories; DIVI'S LABORATORIES LIMITED; Divi's Laboratories
JK Tyre & Industries Limited,Chemicals & Fertilizers,JK Tyre & Industries,JK Tyre & Ind,JK Tyre & Industries,JK Tyre & Industries Limited,JK Tyre & Industries; JK Tyre & Ind; JK Tyre & Industries; JK Tyre & Industries Limited
Schaeffler India Limited,Information Technology,Schaeffler India Limited,Schaeffler India Ltd,Schaeffler India Limited,,Schaeffler India Limited; Schaeffler India Ltd; Schaeffler India Limited
IndiaMART InterMESH Limited,Information Technology,IndiaMART InterMESH,IndiaMART InterMESH Limited,,,IndiaMART InterMESH; IndiaMART InterMESH Limited
Cochin International Airport (CIAL),Transportation & Logistics,CIAL (Cochin Airport),CIAL (Cochin Airport),Cochin International Airport (CIAL),,CIAL (Cochin Airport); CIAL (Cochin Airport); Cochin International Airport (CIAL)
K.P.R. MILL LIMITED,Information Technology,K.P.R. MILL LIMITED,K.P.R. MILL LIMITED,,,K.P.R. MILL LIMITED; K.P.R. MILL LIMITED
JK Paper,Chemicals & Fertilizers,JK Paper,JK Paper,JK Paper,,JK Paper; JK Paper; JK Paper
CCL Products (India) Limited,Information Technology,CCL Products (India),CCL Products (India),CCL Products (India) Limited,,CCL Products (India); CCL Products (India); CCL Products (India) Limited
Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),Information Technology,Andhra Paper Limited,Andhra Paper Ltd,Andhra Paper Limited,Andhra Paper Limited,Andhra Paper Limited; Andhra Paper Ltd; Andhra Paper Limited; Andhra Paper Limited; Andhra Paper Limited (formerly Andhra Pradesh Paper Mills)
Seshasayee Paper and Boards Limited,Information Technology,Seshasayee Paper,Seshasayee Paper and Boards,Seshasayee Paper and Boards Limited,Seshasayee Paper,Seshasayee Paper; Seshasayee Paper and Boards; Seshasayee Paper and Boards Limited; Seshasayee Paper; Seshasayee Paper and Boards; Seshasayee Paper and Boards Limited; SPB
Emami Paper Mills Limited,Information Technology,Emami Paper Mills,Emami Paper Mills Limited,Emami Paper Mills,Emami Paper Mills Limited,Emami Paper Mills; Emami Paper Mills Limited; Emami Paper Mills; Emami Paper Mills Limited
West Coast Paper Mills Limited,Information Technology,West Coast Paper Mills,West Coast Paper Mills,West Coast Paper Mills Limited,,West Coast Paper Mills; West Coast Paper Mills; West Coast Paper Mills Limited
Minda Corporation Limited,Chemicals & Fertilizers,Minda Corporation,Minda Corporation,Minda Corporation Limited,,Minda Corporation; Minda Corporation; Minda Corporation Limited
Narayana Hrudayalaya Ltd.,Pharmaceuticals & Healthcare,Narayana Hrudayalaya Ltd.,,,,Narayana Hrudayalaya Ltd.
Jindal Saw Limited,Steel & Iron,Jindal Saw Limited,Jindal Saw Limited,Jindal Saw Limited,,Jindal Saw Limited; Jindal Saw Limited; Jindal Saw Limited
Varun Beverages (PepsiCo franchise),Pharmaceuticals & Healthcare,Varun Beverages,Varun Beverages,Varun Beverages,Varun Beverages (PepsiCo franchise),Varun Beverages; Varun Beverages; Varun Beverages; Varun Beverages (PepsiCo franchise)
Infibeam Avenues Limited,Chemicals & Fertilizers,Infibeam Avenues Ltd,Infibeam Avenues Limited,,,Infibeam Avenues Ltd; Infibeam Avenues Limited
IFCI Limited,Chemicals & Fertilizers,IFCI Limited,IFCI Limited,IFCI Limited,,IFCI Limited; IFCI Limited; IFCI Limited
MAHARASHTRA SCOOTERS LIMITED,Chemicals & Fertilizers,MAHARASHTRA SCOOTERS,MAHARASHTRA SCOOTERS,MAHARASHTRA SCOOTERS LIMITED,,MAHARASHTRA SCOOTERS; MAHARASHTRA SCOOTERS; MAHARASHTRA SCOOTERS LIMITED
Power Mech Projects Limited,Power Generation,Power Mech Projects,Power Mech Projects Limited,Power Mech Projects,Power Mech Projects,Power Mech Projects; Power Mech Projects Limited; Power Mech Projects; Power Mech Projects; Power Mech Projects Limited
Responsive Industries Limited,Chemicals & Fertilizers,Responsive Industries,Responsive Industries Limited,Responsive Ind,Responsive Industries,Responsive Industries; Responsive Industries Limited; Responsive Ind; Responsive Industries; Responsive Industries Limited
RATTANINDIA ENTERPRISES LIMITED,Chemicals & Fertilizers,RATTANINDIA ENTERPRISES,RATTANINDIA ENTERPRISES LIMITED,RATTANINDIA ENT,RATTANINDIA ENTERPRISES,RATTANINDIA ENTERPRISES; RATTANINDIA ENTERPRISES LIMITED; RATTANINDIA ENT; RATTANINDIA ENTERPRISES; RATTANINDIA ENTERPRISES LIMITED
Redtape Limited,Chemicals & Fertilizers,Redtape Limited,Redtape Limited,Redtape Limited,,Redtape Limited; Redtape Limited; Redtape Limited
