Indicator,Total_Companies,Non_Null,Null_Count,Coverage_Pct,Zero_Count,Zero_Pct
Total_GHG_Emissions_tCO2e,525,524,1,99.80952380952381,0,0.0
Water_Consumption_KL,525,525,0,100.0,2,0.38095238095238093
Waste_Generated_MT,525,525,0,100.0,1,0.19047619047619047
Land_Owned_ha,525,485,40,92.38095238095238,68,12.95238095238095
Land_Leased_ha,525,512,13,97.52380952380952,19,3.619047619047619
Renewable_Energy_Pct,525,453,72,86.28571428571429,17,3.2380952380952377
Distance_To_Protected_Area_km,525,524,1,99.80952380952381,512,97.52380952380952
GHG_Emissions_Normalized,525,524,1,99.80952380952381,0,0.0
Water_Consumption_Normalized,525,525,0,100.0,8,1.5238095238095237
Waste_Generated_Normalized,525,525,0,100.0,9,1.7142857142857144
Water_Intensity,525,525,0,100.0,8,1.5238095238095237
Land_Intensity,525,525,0,100.0,6,1.1428571428571428
