Company_Name,Missing_Land_Owned,Missing_Land_Leased,Missing_Renewable_Energy
Bajaj Holdings  Investment Limited,False,False,True
Bikaji Foods,False,False,True
CE INFO SYSTEMS LIMITED,False,False,True
CITY UNION BANK LIMITED,False,False,True
Cholamandalam Financial Holdings Limited,False,False,True
Computer Age Management Services Limited,False,False,True
Easy Trip Planners Limited,False,False,True
FINE ORGANIC INDUSTRIES LIMITED,False,False,True
Five-Star Business Finance Limited,False,False,True
GVK Mumbai Airport,True,False,False
General Insurance Corporation of India,False,False,True
Go Digit General Insurance Limited,False,False,True
HDFC Asset Management Company Limited,False,False,True
Home First Finance Company India Limited,False,False,True
Honasa Consumer Limited,False,False,True
IFCI Limited,False,False,True
INDIAN RAILWAY FINANCE CORPORATION LIMITED,False,False,True
INOX India Limited,False,False,True
IRB Infrastructure Developers Limited,False,False,True
ITC Limited (Paperboards Division),False,True,False
IndiGo (InterGlobe Aviation),True,False,False
IndiaMART InterMESH Limited,True,False,False
KFin Technologies Limited,False,False,True
Keystone Realtors Limited,False,False,True
L&T Finance Limited,True,False,False
LT Technology Services Limited,True,False,False
LTIMindtree Limited,True,False,False
Life Insurance Corporation of India,False,False,True
Lloyds Metals and Energy Limited,False,False,True
MAHARASHTRA SCOOTERS LIMITED,False,True,True
MUTHOOT FINANCE LIMITED,False,True,True
Maharashtra Seamless Limited,False,False,True
Mahindra  Mahindra Financial Services Limited,True,False,False
Mahindra Holidays  Resorts India Limited,False,False,True
Mahindra Lifespace Developers Limited,False,True,False
Man Infraconstruction Limited,False,False,True
Max Financial Services Limited,True,False,False
MedPlus Health Services Limited,True,False,False
Metro Brands Limited,True,False,False
Metropolis Healthcare Limited,True,False,True
Motilal Oswal Financial Services Limited,True,False,True
NBCC India Limited,False,False,True
NETWEB TECHNOLOGIES INDIA LIMITED,False,False,True
NUVAMA WEALTH MANAGEMENT LIMITED,True,False,True
Newgen Software Technologies Limited,True,False,False
Nippon Life India Asset Management Limited,True,False,False
Oberoi Realty Limited,False,True,False
One 97 Communications Limited,True,False,False
PNB Housing Finance Limited,True,False,True
PNC Infratech Limited,True,False,False
PTC Industries Limited,False,False,True
Poonawalla Fincorp Limited,True,False,True
Power Finance Corporation Limited,False,True,False
Power Mech Projects Limited,False,False,True
Punjab  Sind Bank,False,True,True
Quess Corp Limited,False,False,True
RATTANINDIA ENTERPRISES LIMITED,False,False,True
Rail Vikas Nigam Limited,True,False,False
Railtel Corporation of India Limited,False,False,True
RateGain Travel Technologies Limited,True,False,True
Redington Limited,False,False,True
Redtape Limited,False,False,True
Reliance Infrastructure Limited,False,False,True
Responsive Industries Limited,False,False,True
SAPPHIRE FOODS INDIA LIMITED,True,False,False
SAREGAMA India Limited,True,False,True
SBFC Finance Limited,False,False,True
SBI Cards and Payment Services Limited,True,False,True
SBI Life Insurance Company Limited,True,False,False
STATE BANK OF INDIA,False,True,False
SUNDARAM FINANCE LIMITED,False,True,True
Safari Industries India Limited,False,False,True
Shoppers Stop Limited,True,False,False
Shriram Finance Limited,True,False,False
Signatureglobal India Limited,False,True,True
Sonata Software Limited,True,False,False
Star Health and Allied Insurance Company Limited,True,False,False
Sterling and Wilson Renewable Energy Limited,True,False,False
Sun Pharma Advanced Research Company Limited,False,False,True
TBO Tek Limited,False,False,True
THE NEW INDIA ASSURANCE COMPANY LIMITED,False,True,True
TVS Supply Chain Solutions Limited,True,False,False
Tamilnad Mercantile Bank Limited,True,False,True
Tanla Platforms Limited,True,False,False
Tata Investment Corporation Limited,False,True,True
Tata Technologies Limited,True,False,False
Thomas Cook  India  Limited,True,False,True
UTI Asset Management Company Limited,True,False,True
Ujjivan Small Finance Bank Limited,True,False,False
VALOR ESTATE LIMITED,False,True,True
Vedant Fashions Limited,True,False,False
Waaree Renewable Technologies Limited,True,False,False
Zen Technologies Limited,False,False,True
eClerx Services Limited,True,False,False
