Company_Name,Missing_Land_Owned,Missing_Land_Leased,Missing_Renewable_Energy
MAHARASHTRA SCOOTERS LIMITED,False,True,True
CE INFO SYSTEMS LIMITED,False,False,True
Tata Investment Corporation Limited,False,True,True
L&T Finance Limited,True,False,False
Shoppers Stop Limited,True,False,False
Waaree Renewable Technologies Limited,True,False,False
Safari Industries India Limited,False,False,True
LT Technology Services Limited,True,False,False
Reliance Infrastructure Limited,False,False,True
HDFC Asset Management Company Limited,False,False,True
Bikaji Foods,False,False,True
Sterling and Wilson Renewable Energy Limited,True,False,False
Tanla Platforms Limited,True,False,False
Mahindra Lifespace Developers Limited,False,True,False
Sonata Software Limited,True,False,False
One 97 Communications Limited,True,False,False
UTI Asset Management Company Limited,True,False,True
Poonawalla Fincorp Limited,True,False,True
STATE BANK OF INDIA,False,True,False
Honasa Consumer Limited,False,False,True
THE NEW INDIA ASSURANCE COMPANY LIMITED,False,True,True
SAREGAMA India Limited,True,False,True
Redtape Limited,False,False,True
Computer Age Management Services Limited,False,False,True
Life Insurance Corporation of India,False,False,True
Signatureglobal India Limited,False,True,True
INOX India Limited,False,False,True
SBI Cards and Payment Services Limited,True,False,True
Star Health and Allied Insurance Company Limited,True,False,False
Ujjivan Small Finance Bank Limited,True,False,False
IndiGo (InterGlobe Aviation),True,False,False
Cholamandalam Financial Holdings Limited,False,False,True
IndiaMART InterMESH Limited,True,False,False
Quess Corp Limited,False,False,True
Mahindra Holidays  Resorts India Limited,False,False,True
Mahindra  Mahindra Financial Services Limited,True,False,False
MedPlus Health Services Limited,True,False,False
Nippon Life India Asset Management Limited,True,False,False
RATTANINDIA ENTERPRISES LIMITED,False,False,True
SBFC Finance Limited,False,False,True
Redington Limited,False,False,True
Newgen Software Technologies Limited,True,False,False
NUVAMA WEALTH MANAGEMENT LIMITED,True,False,True
Lloyds Metals and Energy Limited,False,False,True
VALOR ESTATE LIMITED,False,True,True
SBI Life Insurance Company Limited,True,False,False
Home First Finance Company India Limited,False,False,True
Zen Technologies Limited,False,False,True
PNC Infratech Limited,True,False,False
NETWEB TECHNOLOGIES INDIA LIMITED,False,False,True
LTIMindtree Limited,True,False,False
Keystone Realtors Limited,False,False,True
CITY UNION BANK LIMITED,False,False,True
SUNDARAM FINANCE LIMITED,False,True,True
Shriram Finance Limited,True,False,False
Go Digit General Insurance Limited,False,False,True
General Insurance Corporation of India,False,False,True
IFCI Limited,False,False,True
Metropolis Healthcare Limited,True,False,True
TVS Supply Chain Solutions Limited,True,False,False
Power Mech Projects Limited,False,False,True
Bajaj Holdings  Investment Limited,False,False,True
Max Financial Services Limited,True,False,False
NBCC India Limited,False,False,True
SAPPHIRE FOODS INDIA LIMITED,True,False,False
eClerx Services Limited,True,False,False
Easy Trip Planners Limited,False,False,True
Thomas Cook  India  Limited,True,False,True
Power Finance Corporation Limited,False,True,False
Railtel Corporation of India Limited,False,False,True
Oberoi Realty Limited,False,True,False
RateGain Travel Technologies Limited,True,False,True
ITC Limited (Paperboards Division),False,True,False
Tamilnad Mercantile Bank Limited,True,False,True
Punjab  Sind Bank,False,True,True
PNB Housing Finance Limited,True,False,True
Rail Vikas Nigam Limited,True,False,False
INDIAN RAILWAY FINANCE CORPORATION LIMITED,False,False,True
Man Infraconstruction Limited,False,False,True
FINE ORGANIC INDUSTRIES LIMITED,False,False,True
GVK Mumbai Airport,True,False,False
Maharashtra Seamless Limited,False,False,True
Motilal Oswal Financial Services Limited,True,False,True
IRB Infrastructure Developers Limited,False,False,True
TBO Tek Limited,False,False,True
Five-Star Business Finance Limited,False,False,True
KFin Technologies Limited,False,False,True
Vedant Fashions Limited,True,False,False
MUTHOOT FINANCE LIMITED,False,True,True
PTC Industries Limited,False,False,True
Responsive Industries Limited,False,False,True
Metro Brands Limited,True,False,False
Tata Technologies Limited,True,False,False
Sun Pharma Advanced Research Company Limited,False,False,True
