Company_Name,Sector,Missing_Count,Missing_Scope1,Missing_Scope2,Missing_Scope3,Missing_Water,Missing_Waste
Essar Steel India (AM/NS India),Steel & Iron,5,True,True,True,True,True
KIOCL (Kudremukh Iron Ore Company),Steel & Iron,5,True,True,True,True,True
Bikaji Foods,Pharmaceuticals & Healthcare,5,True,True,True,True,True
Heritage Foods,Pharmaceuticals & Healthcare,5,True,True,True,True,True
Prism Johnson (Cement),Cement Manufacturing,5,True,True,True,True,True
IndiGo (InterGlobe Aviation),Transportation & Logistics,5,True,True,True,True,True
GVK Mumbai Airport,Transportation & Logistics,5,True,True,True,True,True
Bharat Heavy Electricals Limited (BHEL),Power Generation,5,True,True,True,True,True
Damodar Valley Corporation (DVC),Power Generation,5,True,True,True,True,True
West Coast Paper Mills,Chemicals & Fertilizers,5,True,True,True,True,True
Welspun Living Limited (formerly Welspun India),Textiles & Apparel,5,True,True,True,True,True
ITC Limited (Paperboards Division),Pharmaceuticals & Healthcare,5,True,True,True,True,True
Nestle India,Pharmaceuticals & Healthcare,5,True,True,True,True,True
Mother Dairy,Pharmaceuticals & Healthcare,5,True,True,True,True,True
Haldiram Snacks Food Private Limited,Pharmaceuticals & Healthcare,5,True,True,True,True,True
Sagar Cements,Cement Manufacturing,5,True,True,True,True,True
Siemens Limited,Information Technology,5,True,True,True,True,True
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,Steel & Iron,5,True,True,True,True,True
Vedanta,Steel & Iron,5,True,True,True,True,True
JSW Energy,Power Generation,4,True,True,False,True,True
Vardhman Textiles,Textiles & Apparel,4,True,True,False,True,True
Bangalore International Airport Ltd (BIAL),Transportation & Logistics,4,True,True,False,True,True
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Transportation & Logistics,4,True,True,False,True,True
"GMR Airports (Delhi, Hyderabad)",Transportation & Logistics,4,True,True,False,True,True
APL Apollo Tubes,Steel & Iron,4,True,True,False,True,True
LTIMindtree Limited,Information Technology,4,True,True,False,True,True
Larsen & Toubro Limited,Information Technology,4,True,True,False,True,True
LT Technology Services Limited,Information Technology,4,True,True,False,True,True
Kalyani Steels,Steel & Iron,4,True,True,False,True,True
Sunflag Iron and Steel,Steel & Iron,4,True,True,False,True,True
Electrosteel Castings,Steel & Iron,4,True,True,False,True,True
Sanghi Industries,Chemicals & Fertilizers,4,True,True,False,True,True
Mangalam Cement,Cement Manufacturing,4,True,True,False,True,True
SARDA ENERGY & MINERALS LIMITED,Steel & Iron,4,True,True,False,True,True
Mrs. Bectors Food Specialities,Pharmaceuticals & Healthcare,4,True,True,False,True,True
Himadri Speciality Chemical Limited,Chemicals & Fertilizers,4,True,True,False,True,True
Sanofi India Limited,Pharmaceuticals & Healthcare,4,True,True,False,True,True
DIVI'S LABORATORIES LIMITED,Pharmaceuticals & Healthcare,4,True,True,False,True,True
JK Tyre & Industries Limited,Chemicals & Fertilizers,4,True,True,False,True,True
Schaeffler India Limited,Information Technology,4,True,True,False,True,True
IndiaMART InterMESH Limited,Information Technology,4,True,True,False,True,True
Cochin International Airport (CIAL),Transportation & Logistics,4,True,True,False,True,True
K.P.R. MILL LIMITED,Information Technology,4,True,True,False,True,True
JK Paper,Chemicals & Fertilizers,4,True,True,False,True,True
CCL Products (India) Limited,Information Technology,4,True,True,False,True,True
Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),Information Technology,4,True,True,False,True,True
