Company_Name,Sector,Indicator_ID,Value,Unit,Source_URL,Data_Year,Confidence,Data_Tier,Extraction_Method
Kalyani Steels,Steel & Iron,ghg_scope1,609370,tCO2e,https://www.kalyanisteels.com/wp-content/uploads/Annual_Report_2023-24.pdf,FY 2023-24,HIGH,1,web_search
Kalyani Steels,Steel & Iron,ghg_scope2,8282,tCO2e,https://www.kalyanisteels.com/wp-content/uploads/Annual_Report_2023-24.pdf,FY 2023-24,HIGH,1,web_search
Kalyani Steels,Steel & Iron,water_recycling_pct,100,%,https://www.kalyanisteels.com/wp-content/uploads/Annual_Report_2023-24.pdf,FY 2023-24,HIGH,1,web_search
Kalyani Steels,Steel & Iron,waste_recycled_pct,100,%,https://www.kalyanisteels.com/wp-content/uploads/Annual_Report_2023-24.pdf,FY 2023-24,HIGH,1,web_search
Kalyani Steels,Steel & Iron,biodiversity_actions,Operates Wastewater Treatment System to reduce freshwater consumption and maintains recreational gardens.,,https://www.kalyanisteels.com/wp-content/uploads/Annual_Report_2023-24.pdf,FY 2023-24,HIGH,1,web_search
Electrosteel Steels (ESL Steel Limited),Steel & Iron,ghg_scope1,3680000,tCO2e,https://www.vedantalimited.com/investor-relations/climate-action-report,FY 2023-24,MEDIUM,1,web_search
Electrosteel Steels (ESL Steel Limited),Steel & Iron,ghg_scope2,206000,tCO2e,https://www.vedantalimited.com/investor-relations/climate-action-report,FY 2023-24,MEDIUM,1,web_search
Electrosteel Steels (ESL Steel Limited),Steel & Iron,biodiversity_actions,Part of Vedanta's 7 million tree plantation target by 2030.,,https://www.vedantalimited.com/investor-relations/climate-action-report,FY 2023-24,MEDIUM,1,web_search
Ratnamani Metals & Tubes Limited,Steel & Iron,ghg_scope1,8628.53,tCO2e,https://www.ratnamani.com/investors_relations.html,FY 2023-24,HIGH,1,web_search
Ratnamani Metals & Tubes Limited,Steel & Iron,ghg_scope2,55938.41,tCO2e,https://www.ratnamani.com/investors_relations.html,FY 2023-24,HIGH,1,web_search
Ratnamani Metals & Tubes Limited,Steel & Iron,water_recycling_pct,100,%,https://www.ratnamani.com/investors_relations.html,FY 2023-24,HIGH,1,web_search
Ratnamani Metals & Tubes Limited,Steel & Iron,biodiversity_actions,Funds 'Save the Sparrow' campaign and pond-deepening initiatives.,,https://www.ratnamani.com/investors_relations.html,FY 2023-24,HIGH,1,web_search
Sunflag Iron and Steel,Steel & Iron,ghg_scope1,1594668.88,tCO2e,https://www.sunflagsteel.com/investors/annual-reports/,FY 2023-24,HIGH,1,web_search
Sunflag Iron and Steel,Steel & Iron,ghg_scope2,184009.99,tCO2e,https://www.sunflagsteel.com/investors/annual-reports/,FY 2023-24,HIGH,1,web_search
Sunflag Iron and Steel,Steel & Iron,water_recycling_pct,100,%,https://www.sunflagsteel.com/investors/annual-reports/,FY 2023-24,HIGH,1,web_search
Sunflag Iron and Steel,Steel & Iron,waste_generated,23190.76,tonnes,https://www.sunflagsteel.com/investors/annual-reports/,FY 2023-24,HIGH,1,web_search
Sunflag Iron and Steel,Steel & Iron,biodiversity_actions,Maintains policies for waste management and biodiversity; Zero Liquid Discharge facility.,,https://www.sunflagsteel.com/investors/annual-reports/,FY 2023-24,HIGH,1,web_search
Electrosteel Castings,Steel & Iron,ghg_scope1,1948504,tCO2e,https://www.electrosteel.com/investors-annual-reports.php,FY 2023-24,HIGH,1,web_search
Electrosteel Castings,Steel & Iron,ghg_scope2,259668,tCO2e,https://www.electrosteel.com/investors-annual-reports.php,FY 2023-24,HIGH,1,web_search
Electrosteel Castings,Steel & Iron,energy_consumption,21018982,GJ,https://www.electrosteel.com/investors-annual-reports.php,FY 2023-24,HIGH,1,web_search
Electrosteel Castings,Steel & Iron,renewable_energy_pct,0.0003,%,https://www.electrosteel.com/investors-annual-reports.php,FY 2023-24,HIGH,1,web_search
Electrosteel Castings,Steel & Iron,water_withdrawal,3354151,KL,https://www.electrosteel.com/investors-annual-reports.php,FY 2023-24,HIGH,1,web_search
Electrosteel Castings,Steel & Iron,waste_generated,71986,tonnes,https://www.iforest.global/,FY 2023-24,HIGH,1,web_search
