Company_Name,Facility_ID,Facility_Type,Address,City,State,Country,Source
360 ONE WAM LIMITED,1,Registered Office,"360 ONE Centre, Kamala City, Senapati Bapat Marg, Lower Parel, Mumbai – 400013",Mumbai,Maharashtra,India,XBRL_RegisteredOffice
3M INDIA LIMITED,1,Registered Office,"Plot Nos. 48-51, Electronics City, Hosur Road, Bengaluru - 560 100",Hosur,Karnataka,India,XBRL_RegisteredOffice
3M INDIA LIMITED,2,Corporate Office,"Marksquare, 5th Floor, St. Marks Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",Bengaluru,Karnataka,India,XBRL_CorporateOffice
3M INDIA LIMITED,3,Plant,"Bengaluru Plant, Bengaluru Corporate Office, Gurgaon Office and Ranjangaon Plant",Bengaluru,Karnataka,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Aarti Industries Limited,1,Registered Office,"Plot Nos. 801, 801/23, G.I.D.C. Estate, Phase-III, Vapi, Dist. Valsad, Gujarat-396195",Vapi,Gujarat,India,XBRL_RegisteredOffice
Aarti Industries Limited,2,Corporate Office,"71, 2nd Floor, Udyog Kshetra, Mulund-Goregaon Link Road, Salpa Devi Pada, Mulund West, Mumbai - 400 080, Maharashtra",Mumbai,Maharashtra,India,XBRL_CorporateOffice
Aarti Industries Limited,3,Plant,Manufacturing locations situated in Gujarat & Maharashtra,,Maharashtra,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1
Aarti Industries Limited,4,Facility,Vadodara,Vadodara,Gujarat,India,XBRL_TextExtraction
Aavas Financiers Limited,1,Registered Office,"201-202,2nd Floor, Southend Square, Mansarovar Industrial Area, Jaipur - 302020",Jaipur,Rajasthan,India,XBRL_RegisteredOffice
ABB India Limited,1,Registered Office,"“Disha”, Corporate Office, 3rd Floor. Plot No. 5 &
6, 2nd Stage, Peenya Industrial Area IV, Peenya,
Bengaluru - 560 058, Karnataka.",Bengaluru,Karnataka,India,XBRL_RegisteredOffice
