Company_Name,Sector,Indicator_ID,Value,Unit,Source_URL,Data_Year,Confidence,Data_Tier,Extraction_Method
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,Air_Emissions_NOx,2023.0,UNKNOWN,"ALEMBIC PHARMACEUTICALS LIMITED_2022_View OurSustainability Report.pdf, page 128",FY 2023-24,HIGH,Tier 1,PDF_Extraction
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,Air_Emissions_PM,1907.0,UNKNOWN,"ALEMBIC PHARMACEUTICALS LIMITED_2022_View OurSustainability Report.pdf, page 17",FY 2023-24,HIGH,Tier 1,PDF_Extraction
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,Air_Emissions_SOx,2023.0,UNKNOWN,"ALEMBIC PHARMACEUTICALS LIMITED_2022_View OurSustainability Report.pdf, page 128",FY 2023-24,HIGH,Tier 1,PDF_Extraction
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,energy_consumption,201587.0,gj,"ALEMBIC PHARMACEUTICALS LIMITED_2022_View OurSustainability Report.pdf, page 2",FY 2023-24,HIGH,Tier 1,PDF_Extraction
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,ghg_scope1,2023.0,UNKNOWN,"ALEMBIC PHARMACEUTICALS LIMITED_2022_View OurSustainability Report.pdf, page 5",FY 2023-24,HIGH,Tier 1,PDF_Extraction
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,ghg_scope2,2023.0,UNKNOWN,"ALEMBIC PHARMACEUTICALS LIMITED_2022_View OurSustainability Report.pdf, page 13",FY 2023-24,HIGH,Tier 1,PDF_Extraction
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,ghg_scope3,2023.0,UNKNOWN,"ALEMBIC PHARMACEUTICALS LIMITED_2022_View OurSustainability Report.pdf, page 13",FY 2023-24,HIGH,Tier 1,PDF_Extraction
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,hazardous_waste,1.0,UNKNOWN,"ALEMBIC PHARMACEUTICALS LIMITED_2022_View OurSustainability Report.pdf, page 57",FY 2023-24,HIGH,Tier 1,PDF_Extraction
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,renewable_energy_pct,201587.0,gj,"ALEMBIC PHARMACEUTICALS LIMITED_2022_View OurSustainability Report.pdf, page 2",FY 2023-24,HIGH,Tier 1,PDF_Extraction
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,waste_generated,2.0,UNKNOWN,"ALEMBIC PHARMACEUTICALS LIMITED_2022_View OurSustainability Report.pdf, page 24",FY 2023-24,HIGH,Tier 1,PDF_Extraction
