Company_Name,Sector,Indicator_ID,Value,Unit,Source_URL,Data_Year,Confidence,Data_Tier,Extraction_Method
Larsen & Toubro Limited,,ghg_scope1,635646.0,tCO2e,https://www.larsentoubro.com/media/kskb1y5t/integrated-annual-report-2023-24.pdf,2023-24,0.95,Tier 1,Manual Search
Hindustan,Unknown,biodiversity_actions,rvices 20 Figure 1: Biodiversity Policy of Hindustan Zinc Limited 10 (A screening result of ENCORE tool) Figure 2: Scope of Business Value chain covered in the report 11 Table 3: Metal And Mining Sector Impact on Selecte,Description,"Hindustan_Zinc_Final-TNFD-Report.pdf, page 2",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Hindustan,Unknown,protected_area_proximity,"the only integrated protected areas and strive to achieve No Net Deforestation zinc, lead, and silver producer. It is the world’s second-largest in operating sites by 2050 against the baseline of 2020. integrated zinc pr",Description,"Hindustan_Zinc_Final-TNFD-Report.pdf, page 5",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Hindustan,Unknown,air_emissions_pm,4.2,UNKNOWN,"Hindustan_Zinc_Final-TNFD-Report.pdf, page 7",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Hindustan,Unknown,water_withdrawal,2014.0,KL,"Hindustan_Zinc_Final-TNFD-Report.pdf, page 19",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Hindustan,Unknown,green_cover,11000.0,hectares,"Hindustan_Zinc_Final-TNFD-Report.pdf, page 19",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Hindustan,Unknown,ghg_scope1,2.0,UNKNOWN,"Hindustan_Zinc_Final-TNFD-Report.pdf, page 22",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Hindustan,Unknown,ghg_scope2,2.0,UNKNOWN,"Hindustan_Zinc_Final-TNFD-Report.pdf, page 22",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
hindalco-TNFD-2024-report,Unknown,water_withdrawal,3.0,UNKNOWN,"hindalco-TNFD-2024-report.pdf, page 73",FY 2023-24,HIGH,Tier 1,PDF_Extraction
Hindustan,Unknown,water_consumption,5.0,UNKNOWN,"Hindustan_Zinc_Final-TNFD-Report.pdf, page 22",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Hindustan,Unknown,waste_generated,20.24,tonnes,"Hindustan_Zinc_Final-TNFD-Report.pdf, page 23",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Hindustan,Unknown,hazardous_waste,20.24,tonnes,"Hindustan_Zinc_Final-TNFD-Report.pdf, page 23",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
itc-nature-report,Unknown,biodiversity_actions,roach to Nature and Biodiversity 48 Annex 1: TNFD Core Disclosure Metrics Paperboards & Specialty 50 Annex 2: Key Terms 38 51 Annex 3: TNFD Index Papers Business,Description,"itc-nature-report.pdf, page 2",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
itc-nature-report,Unknown,facility_locations, Period third-party manufacturing units. ITC’s where such information is material. and opportunities associated with its first TNFD report focuses on the direct Metrics and targets provided in ITC’s operations. In FY 202,Description,"itc-nature-report.pdf, page 9",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
itc-nature-report,Unknown,protected_area_proximity,"s interactions with Protected Areas, Tiger Opportunities, Risks, Step 4 : Offset and progress in line with nature and ecosystem services, addressing Corridors, and areas with and Exposure) and SBTN Step 5 : Positive TNFD",Description,"itc-nature-report.pdf, page 16",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
itc-nature-report,Unknown,ghg_scope1,50.0,UNKNOWN,"itc-nature-report.pdf, page 46",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
itc-nature-report,Unknown,air_emissions_pm,40.0,UNKNOWN,"itc-nature-report.pdf, page 47",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
Hindustan,Unknown,water_discharge,3.0,m3,"Hindustan_Zinc_Final-TNFD-Report.pdf, page 23",UNKNOWN_YEAR,HIGH,Tier 1,PDF_Extraction
hindalco-TNFD-2024-report,Unknown,waste_generated,2.2,UNKNOWN,"hindalco-TNFD-2024-report.pdf, page 72",FY 2023-24,HIGH,Tier 1,PDF_Extraction
hindalco-TNFD-2024-report,Unknown,water_discharge,2.1,UNKNOWN,"hindalco-TNFD-2024-report.pdf, page 71",FY 2023-24,HIGH,Tier 1,PDF_Extraction
hindalco-TNFD-2024-report,Unknown,renewable_energy_pct,300.0,mw,"hindalco-TNFD-2024-report.pdf, page 70",FY 2023-24,HIGH,Tier 1,PDF_Extraction
Tejas Networks Limited,Unknown,air_emissions_sox,3.0,UNKNOWN,"Tejas Networks Limited_2025_Know More.pdf, page 131",FY 2024-25,HIGH,Tier 1,PDF_Extraction
Tejas Networks Limited,Unknown,protected_area_proximity,"reserves, wetlands, biodiversity hotspots, forests, coastal regulation zones etc.) where environmental approvals / clearances are required, please specify details in the following format: Whether the conditions Sl. Locat",Description,"Tejas Networks Limited_2025_Know More.pdf, page 132",FY 2024-25,HIGH,Tier 1,PDF_Extraction
Tejas Networks Limited,Unknown,ghg_scope3,3.0,UNKNOWN,"Tejas Networks Limited_2025_Know More.pdf, page 134",FY 2024-25,HIGH,Tier 1,PDF_Extraction
