Company_Name,BSE_Code,NSE_Symbol,Sector,Market_Cap_Cr,Revenue_Cr,Website
JSW Steel Ltd.,JSWSTEEL,JSWSTEEL,Steel & Iron,208845.30859159,83538.12,
Tata Steel Ltd.,TATASTEEL,TATASTEEL,Steel & Iron,193707.818995962,77483.13,
Jindal Steel Ltd.,JINDALSTEL,JINDALSTEL,Steel & Iron,89233.672531182,35693.47,
Steel Authority of India Ltd.,SAIL,SAIL,Steel & Iron,57947.001506023,23178.8,
NMDC Steel Ltd.,NSLNISP,NSLNISP,Steel & Iron,17578.2085960115,7031.28,
UltraTech Cement Ltd.,ULTRACEMCO,ULTRACEMCO,Cement,288793.80780772597,115517.52,
Grasim Industries Ltd.,GRASIM,GRASIM,Cement,152681.77331541548,61072.71,
Ambuja Cements Ltd.,AMBUJACEM,AMBUJACEM,Cement,124610.41801582501,49844.17,
Shree Cement Ltd.,SHREECEM,SHREECEM,Cement,94681.7797370795,37872.71,
ACC Ltd.,ACC,ACC,Cement,47116.244198177505,18846.5,
Dalmia Bharat Ltd.,DALBHARAT,DALBHARAT,Cement,37219.49925642,14887.8,
J.K. Cement Ltd.,JKCEMENT,JKCEMENT,Cement,32034.053254972,12813.62,
The Ramco Cements Ltd.,RAMCOCEM,RAMCOCEM,Cement,20218.251307882,8087.3,
Nuvoco Vistas Corporation Ltd.,NUVOCO,NUVOCO,Cement,11922.0750094535,4768.83,
Birla Corporation Ltd.,BIRLACORPN,BIRLACORPN,Cement,11623.0340624155,4649.21,
JK Lakshmi Cement Ltd.,JKLAKSHMI,JKLAKSHMI,Cement,10033.0692301315,4013.23,
Star Cement Ltd.,STARCEMENT,STARCEMENT,Cement,8554.700620531501,3421.88,
Prism Johnson Ltd.,PRSMJOHNSN,PRSMJOHNSN,Cement,8485.2728869205,3394.11,
India Cements Ltd.,INDIACEM,INDIACEM,Cement,7098.9126306325,2839.57,
Orient Cement Ltd.,ORIENTCEM,ORIENTCEM,Cement,4810.6883903945,1924.28,
JSW Cement Ltd.,544480,JSWCEMENT,Cement,0.0,0.0,
Adani Enterprises Ltd.,ADANIENT,ADANIENT,Mining & Minerals,357247.51587887853,142899.01,
Hindustan Zinc Ltd.,HINDZINC,HINDZINC,Mining & Minerals,181671.804668943,72668.72,
Hindalco Industries Ltd.,HINDALCO,HINDALCO,Mining & Minerals,134624.8729453465,53849.95,
Vedanta Ltd.,VEDL,VEDL,Mining & Minerals,127007.464902381,50802.99,
NMDC Ltd.,NMDC,NMDC,Mining & Minerals,69587.307520615,27834.92,
Jindal Stainless Ltd.,JSL,JSL,Mining & Minerals,56012.5207915725,22405.01,
Lloyds Metals And Energy Ltd.,LLOYDSME,LLOYDSME,Mining & Minerals,32197.3514399055,12878.94,
National Aluminium Co. Ltd.,NATIONALUM,NATIONALUM,Mining & Minerals,30442.256768958498,12176.9,
Hindustan Copper Ltd.,HINDCOPPER,HINDCOPPER,Mining & Minerals,30154.491717645004,12061.8,
Jai Balaji Industries Ltd.,JAIBALAJI,JAIBALAJI,Mining & Minerals,15997.3796024815,6398.95,
Gujarat Mineral Development Corporation Ltd.,GMDCLTD,GMDCLTD,Mining & Minerals,13019.5569512195,5207.82,
Sarda Energy and Minerals Ltd.,SARDAEN,SARDAEN,Mining & Minerals,8176.280105297499,3270.51,
MOIL Ltd.,MOIL,MOIL,Mining & Minerals,7590.147635497,3036.06,
Gravita India Ltd.,GRAVITA,GRAVITA,Mining & Minerals,6988.462064252,2795.38,
Indian Metals & Ferro Alloys Ltd.,IMFA,IMFA,Mining & Minerals,3513.0033365345,1405.2,
Lloyds Enterprises Ltd.,512463,LLOYDSENT,Mining & Minerals,0.0,0.0,
Pidilite Industries Ltd.,PIDILITIND,PIDILITIND,Chemicals & Fertilizers,146204.9756783405,58481.99,
Solar Industries India Ltd.,SOLARINDS,SOLARINDS,Chemicals & Fertilizers,73755.542429169,29502.22,
SRF Ltd.,SRF,SRF,Chemicals & Fertilizers,71289.831696779,28515.93,
Linde India Ltd.,LINDEINDIA,LINDEINDIA,Chemicals & Fertilizers,59459.198419865,23783.68,
PI Industries Ltd.,PIIND,PIIND,Chemicals & Fertilizers,54823.477577136495,21929.39,
Fertilisers and Chemicals Travancore Ltd.,FACT,FACT,Chemicals & Fertilizers,48631.242116993,19452.5,
UPL Ltd.,UPL,UPL,Chemicals & Fertilizers,38700.190577629,15480.08,
Gujarat Fluorochemicals Ltd.,FLUOROCHEM,FLUOROCHEM,Chemicals & Fertilizers,37426.891031504,14970.76,
Coromandel International Ltd.,COROMANDEL,COROMANDEL,Chemicals & Fertilizers,35301.956243875,14120.78,
Deepak Nitrite Ltd.,DEEPAKNTR,DEEPAKNTR,Chemicals & Fertilizers,31631.0404687745,12652.42,
Tata Chemicals Ltd.,TATACHEM,TATACHEM,Chemicals & Fertilizers,27257.52139647,10903.01,
Aarti Industries Ltd.,AARTIIND,AARTIIND,Chemicals & Fertilizers,24148.151656029,9659.26,
Sumitomo Chemical India Ltd.,SUMICHEM,SUMICHEM,Chemicals & Fertilizers,20250.540754667498,8100.22,
Atul Ltd.,ATUL,ATUL,Chemicals & Fertilizers,18213.308218279,7285.32,
Vinati Organics Ltd.,VINATIORGA,VINATIORGA,Chemicals & Fertilizers,17276.5703040285,6910.63,
Navin Fluorine International Ltd.,NAVINFLUOR,NAVINFLUOR,Chemicals & Fertilizers,16376.796182397,6550.72,
Himadri Speciality Chemical Ltd.,HSCL,HSCL,Chemicals & Fertilizers,16354.26207228,6541.7,
BASF India Ltd.,BASF,BASF,Chemicals & Fertilizers,16035.4119488705,6414.16,
Chambal Fertilizers & Chemicals Ltd.,CHAMBLFERT,CHAMBLFERT,Chemicals & Fertilizers,15827.214478971498,6330.89,
Clean Science and Technology Ltd.,CLEAN,CLEAN,Chemicals & Fertilizers,14706.6505548965,5882.66,
Fine Organic Industries Ltd.,FINEORG,FINEORG,Chemicals & Fertilizers,13612.4559057555,5444.98,
Aether Industries Ltd.,AETHER,AETHER,Chemicals & Fertilizers,11201.614328688,4480.65,
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,ALKYLAMINE,Chemicals & Fertilizers,10888.1271424045,4355.25,
PCBL Chemical Ltd.,PCBL,PCBL,Chemicals & Fertilizers,10304.7341205295,4121.89,
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,GNFC,GNFC,Chemicals & Fertilizers,10148.226575316501,4059.29,
Gujarat State Fertilizers & Chemicals Ltd.,GSFC,GSFC,Chemicals & Fertilizers,9566.4452305185,3826.58,
Anupam Rasayan India Ltd.,ANURAS,ANURAS,Chemicals & Fertilizers,9541.5771228885,3816.63,
Rashtriya Chemicals & Fertilizers Ltd.,RCF,RCF,Chemicals & Fertilizers,8561.225028524499,3424.49,
Archean Chemical Industries Ltd.,ACI,ACI,Chemicals & Fertilizers,8032.406702804,3212.96,
