Company_Name,BSE_Code,NSE_Symbol,Sector,Market_Cap_Cr,Revenue_Cr,Website,Source
JSW Steel Ltd.,JSWSTEEL,JSWSTEEL,Steel & Iron,208845.30859159,83538.12,,Original
Tata Steel Ltd.,TATASTEEL,TATASTEEL,Steel & Iron,193707.818995962,77483.13,,Original
Jindal Steel Ltd.,JINDALSTEL,JINDALSTEL,Steel & Iron,89233.672531182,35693.47,,Original
Steel Authority of India Ltd.,SAIL,SAIL,Steel & Iron,57947.001506023,23178.8,,Original
NMDC Steel Ltd.,NSLNISP,NSLNISP,Steel & Iron,17578.2085960115,7031.28,,Original
UltraTech Cement Ltd.,ULTRACEMCO,ULTRACEMCO,Cement,288793.807807726,115517.52,,Original
Grasim Industries Ltd.,GRASIM,GRASIM,Cement,152681.77331541548,61072.71,,Original
Ambuja Cements Ltd.,AMBUJACEM,AMBUJACEM,Cement,124610.418015825,49844.17,,Original
Shree Cement Ltd.,SHREECEM,SHREECEM,Cement,94681.7797370795,37872.71,,Original
ACC Ltd.,ACC,ACC,Cement,47116.24419817751,18846.5,,Original
Dalmia Bharat Ltd.,DALBHARAT,DALBHARAT,Cement,37219.49925642,14887.8,,Original
J.K. Cement Ltd.,JKCEMENT,JKCEMENT,Cement,32034.053254972,12813.62,,Original
The Ramco Cements Ltd.,RAMCOCEM,RAMCOCEM,Cement,20218.251307882,8087.3,,Original
Nuvoco Vistas Corporation Ltd.,NUVOCO,NUVOCO,Cement,11922.0750094535,4768.83,,Original
Birla Corporation Ltd.,BIRLACORPN,BIRLACORPN,Cement,11623.0340624155,4649.21,,Original
JK Lakshmi Cement Ltd.,JKLAKSHMI,JKLAKSHMI,Cement,10033.0692301315,4013.23,,Original
Star Cement Ltd.,STARCEMENT,STARCEMENT,Cement,8554.700620531501,3421.88,,Original
Prism Johnson Ltd.,PRSMJOHNSN,PRSMJOHNSN,Cement,8485.2728869205,3394.11,,Original
India Cements Ltd.,INDIACEM,INDIACEM,Cement,7098.9126306325,2839.57,,Original
Orient Cement Ltd.,ORIENTCEM,ORIENTCEM,Cement,4810.6883903945,1924.28,,Original
JSW Cement Ltd.,544480,JSWCEMENT,Cement,0.0,0.0,,Original
Adani Enterprises Ltd.,ADANIENT,ADANIENT,Mining & Minerals,357247.51587887853,142899.01,,Original
Hindustan Zinc Ltd.,HINDZINC,HINDZINC,Mining & Minerals,181671.804668943,72668.72,,Original
Hindalco Industries Ltd.,HINDALCO,HINDALCO,Mining & Minerals,134624.8729453465,53849.95,,Original
Vedanta Ltd.,VEDL,VEDL,Mining & Minerals,127007.464902381,50802.99,,Original
NMDC Ltd.,NMDC,NMDC,Mining & Minerals,69587.307520615,27834.92,,Original
Jindal Stainless Ltd.,JSL,JSL,Mining & Minerals,56012.5207915725,22405.01,,Original
Lloyds Metals And Energy Ltd.,LLOYDSME,LLOYDSME,Mining & Minerals,32197.3514399055,12878.94,,Original
National Aluminium Co. Ltd.,NATIONALUM,NATIONALUM,Mining & Minerals,30442.256768958498,12176.9,,Original
Hindustan Copper Ltd.,HINDCOPPER,HINDCOPPER,Mining & Minerals,30154.491717645004,12061.8,,Original
