Company_Name,Revenue_INR,XBRL_Tag,Unit,Decimals,Source,FY_Year,Confidence,Candidates_Found,Revenue_Cr
360 ONE WAM LIMITED,32950930124.0,Turnover,INR,0,BRSR XBRL,2023-24,High,7,3295.0930124
3M INDIA LIMITED,44455563083.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,10,4445.5563083
Aarti Industries Limited,80785789829.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,7,8078.5789829
Aavas Financiers Limited,23584150416.58,Turnover,INR,2,BRSR XBRL,2023-24,High,5,2358.415041658
ABB India Limited,162308598603.16,AmountOfTotalSales,INR,2,BRSR XBRL,2023-24,High,11,16230.859860316
ACC Limited,205940000000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,9,20594.0
Adani Energy Solutions Limited,244465500000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,24446.55
Adani Enterprises Limited,978947500000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,97894.75
Adani Ports and Special Economic Zone Limited,323830800000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,7,32383.08
ADANI POWER LIMITED,602810000000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,60281.0
Adani Total Gas Limited,54116800000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,11,5411.68
Aditya Birla Capital Limited,405899800000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,40589.98
Aditya Birla Fashion and Retail Limited,,,,,BRSR XBRL,2023-24,Not Found,0,
Aditya Birla Sun Life AMC Limited,16590874554.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,1659.0874554
Aegis Logistics Limited,29803505000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,2980.3505
Aether Industries Limited,,,,,BRSR XBRL,2023-24,Not Found,0,
AIA ENGINEERING LIMITED,40620415000.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,3,4062.0415
Ajanta Pharma Limited,46481000000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,11,4648.1
Akzo Nobel India Limited,40912110000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,4091.211
ALEMBIC PHARMACEUTICALS LIMITED,60326323142.92,Turnover,INR,2,BRSR XBRL,2023-24,High,7,6032.632314292
Alkem Laboratories Limited,105511325785.11,TotalRevenueOfTheCompany,INR,2,BRSR XBRL,2023-24,High,9,10551.132578511
ALKYL AMINES CHEMICALS LIMITED,16016200000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,9,1601.62
ALOK INDUSTRIES LIMITED,38018408982.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,3801.8408982
Amara Raja Energy  Mobility Limited,124048988372.0,Turnover,INR,0,BRSR XBRL,2023-24,High,1,12404.8988372
Amber Enterprises India Limited,99730156559.87,TotalRevenueOfTheCompany,INR,2,BRSR XBRL,2023-24,High,7,9973.015655987
Ambuja Cements Limited,188570000000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,9,18857.0
Anand Rathi Wealth Limited,9050699000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,3,905.0699
Anant Raj Limited,12285977135.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,1228.5977135
Angel One Limited,,,,,BRSR XBRL,2023-24,Not Found,0,
Anupam Rasayan India Limited,15053160000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,10,1505.316
APAR Industries Limited,185812116910.3,AmountOfTotalSales,INR,1,BRSR XBRL,2023-24,High,11,18581.21169103
APL Apollo Tubes Limited,206895405544.82,RevenueFromOperations,INR,2,BRSR XBRL,2023-24,High,3,20689.540554482002
Apollo Tyres Limited,178706006350.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,17870.600635
Aptus Value Housing Finance India Limited,17980000000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,1798.0
Archean Chemical Industries Limited,13295831000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,3,1329.5831
ARVIND LIMITED,86219527161.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,11,8621.9527161
Asahi India Glass Limited,43478256667.0,Turnover,INR,0,BRSR XBRL,2023-24,High,11,4347.8256667
Ashok Leyland Limited,452760000000.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,8,45276.0
Asian Paints Limited,371727500000.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,11,37172.75
Aster DM Healthcare Limited,41384600000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,4138.46
Astral Limited,64156831175.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,7,6415.6831175
AstraZeneca Pharma India Limited,17162916656.6,Turnover,INR,1,BRSR XBRL,2023-24,High,11,1716.29166566
Atul Limited,50746806729.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,5074.6806729
AUROBINDO PHARMA LIMITED,344989947647.0,AmountOfTotalSales,INR,0,BRSR XBRL,2023-24,High,11,34498.9947647
Authum Investment  Infrastructure Limited,,,,,BRSR XBRL,2023-24,Not Found,0,
AU Small Finance Bank Limited,185900420368.0,Turnover,INR,0,BRSR XBRL,2023-24,High,4,18590.0420368
Avenue Supermarts Limited,577900000000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,57790.0
Axis Bank Limited,1479340963169.0,Turnover,INR,0,BRSR XBRL,2023-24,High,9,147934.0963169
Bajaj Auto Limited,514310000000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,9,51431.0
BAJAJ ELECTRICALS LIMITED,51574988974.96,AmountOfTotalSales,INR,2,BRSR XBRL,2023-24,High,11,5157.498897496
Bajaj Finance Limited,697247840916.98,Turnover,INR,2,BRSR XBRL,2023-24,High,3,69724.78409169799
Bajaj Finserv Limited,1338221200000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,7,133822.12
Bajaj Holdings  Investment Limited,31756900000.0,AmountOfTotalSalesForShareOfRelatedPartyTransactions,INR,0,BRSR XBRL,2023-24,High,7,3175.69
Balkrishna Industries Limited,104128842888.19,AmountOfTotalSales,INR,2,BRSR XBRL,2023-24,High,10,10412.884288819001
Balrampur Chini Mills Limited,55937401429.73,Turnover,INR,2,BRSR XBRL,2023-24,High,11,5593.740142973001
Bandhan Bank Limited,249148287054.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,24914.8287054
Bank of Baroda,12280845000000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,3,1228084.5
BANK OF INDIA,798200000000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,79820.0
BANK OF MAHARASHTRA,2349300000000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,234930.0
BASF India Limited,151623500000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,15162.35
BATA INDIA LIMITED,34880260951.56,RevenueFromOperations,INR,2,BRSR XBRL,2023-24,High,9,3488.026095156
BEML Limited,39650000000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,3,3965.0
Bharat Dynamics Limited,33450516000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,3345.0516
BHARAT ELECTRONICS LIMITED,230240983334.0,Turnover,INR,0,BRSR XBRL,2023-24,High,5,23024.0983334
Bharat Forge Limited,89686340000.0,RevenueFromOperations,INR,0,BRSR XBRL,2023-24,High,3,8968.634
BHARAT HEAVY ELECTRICALS LIMITED,288428700000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,9,28842.87
Bharti Airtel Limited,1089438519731.0,Turnover,INR,0,BRSR XBRL,2023-24,High,7,108943.8519731
Bharti Hexacom Limited,87297000000.0,TotalRevenueOfTheCompany,INR,0,BRSR XBRL,2023-24,High,5,8729.7
Bikaji Foods International Limited,25368626000.0,Turnover,INR,0,BRSR XBRL,2023-24,High,9,2536.8626
