Company_Name,Registered_Office_Address,Corporate_Office_Address,Primary_Address
360 ONE WAM LIMITED,"360 ONE Centre, Kamala City, Senapati Bapat Marg, Lower Parel, Mumbai – 400013","360 ONE Centre, Kamala City, Senapati Bapat Marg, Lower Parel, Mumbai – 400013","360 ONE Centre, Kamala City, Senapati Bapat Marg, Lower Parel, Mumbai – 400013"
3M INDIA LIMITED,"Plot Nos. 48-51, Electronics City, Hosur Road, Bengaluru - 560 100","Marksquare, 5th Floor, St. Marks Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001","Marksquare, 5th Floor, St. Marks Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001"
Aarti Industries Limited,"Plot Nos. 801, 801/23, G.I.D.C. Estate, Phase-III, Vapi, Dist. Valsad, Gujarat-396195","71, 2nd Floor, Udyog Kshetra, Mulund-Goregaon Link Road, Salpa Devi Pada, Mulund West, Mumbai - 400 080, Maharashtra","71, 2nd Floor, Udyog Kshetra, Mulund-Goregaon Link Road, Salpa Devi Pada, Mulund West, Mumbai - 400 080, Maharashtra"
Aavas Financiers Limited,"201-202,2nd Floor, Southend Square, Mansarovar Industrial Area, Jaipur - 302020","201-202,2nd Floor, Southend Square, Mansarovar Industrial Area, Jaipur - 302020","201-202,2nd Floor, Southend Square, Mansarovar Industrial Area, Jaipur - 302020"
ABB India Limited,"“Disha”, Corporate Office, 3rd Floor. Plot No. 5 &
6, 2nd Stage, Peenya Industrial Area IV, Peenya,
Bengaluru - 560 058, Karnataka.","“Disha”, Corporate Office, 3rd Floor. Plot No. 5 &
6, 2nd Stage, Peenya Industrial Area IV, Peenya,
Bengaluru - 560 058, Karnataka.","“Disha”, Corporate Office, 3rd Floor. Plot No. 5 &
6, 2nd Stage, Peenya Industrial Area IV, Peenya,
Bengaluru - 560 058, Karnataka."
ACC Limited,"Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S.G. Highway,
Ahmedabad – 382421","Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S.G. Highway,
Ahmedabad – 382421","Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S.G. Highway,
Ahmedabad – 382421"
Adani Energy Solutions Limited,"“Adani Corporate House”, Shantigram, Near VaishnoDevi Circle, S. G. Highway, Khodiyar, Ahmedabad – 382421, Gujarat, India","“Adani Corporate House”, Shantigram, Near VaishnoDevi Circle, S. G. Highway, Khodiyar, Ahmedabad – 382421, Gujarat, India.","“Adani Corporate House”, Shantigram, Near VaishnoDevi Circle, S. G. Highway, Khodiyar, Ahmedabad – 382421, Gujarat, India."
Adani Enterprises Limited,"Adani Corporate House, Shantigram, Near Vaishnodevi Circle, S. G. Highway, Khodiyar, Ahmedabad –382421, Gujarat, India.","Adani Corporate House, Shantigram, Near Vaishnodevi Circle, S. G. Highway, Khodiyar, Ahmedabad –382421, Gujarat, India.","Adani Corporate House, Shantigram, Near Vaishnodevi Circle, S. G. Highway, Khodiyar, Ahmedabad –382421, Gujarat, India."
Adani Ports and Special Economic Zone Limited,"Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S. G. Highway, Khodiyar, Ahmedabad-382421 Gujarat","Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S. G. Highway, Khodiyar, Ahmedabad-382421 Gujarat","Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S. G. Highway, Khodiyar, Ahmedabad-382421 Gujarat"
ADANI POWER LIMITED,"Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S. G. Highway, Khodiyar, NA Ahmedabad Ahmedabad GJ 382421 IN","Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S. G. Highway, Khodiyar, NA Ahmedabad Ahmedabad GJ 382421 IN","Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S. G. Highway, Khodiyar, NA Ahmedabad Ahmedabad GJ 382421 IN"
Adani Total Gas Limited,"“Adani Corporate House”, Shantigram, Near VaishnoDevi
Circle, S. G. Highway, Khodiyar, Ahmedabad – 382421,
Gujarat, India.","“Adani Corporate House”, Shantigram, Near VaishnoDevi
Circle, S. G. Highway, Khodiyar, Ahmedabad – 382421,
Gujarat, India.","“Adani Corporate House”, Shantigram, Near VaishnoDevi
Circle, S. G. Highway, Khodiyar, Ahmedabad – 382421,
Gujarat, India."
Aditya Birla Capital Limited,"Indian Rayon Compound, Veraval – 362266, Gujarat","18th floor, One World Centre, Jupiter Mills Compound, 841, Senapati Bapat, Mumbai – 400013, 
Maharashtra","18th floor, One World Centre, Jupiter Mills Compound, 841, Senapati Bapat, Mumbai – 400013, 
Maharashtra"
Aditya Birla Fashion and Retail Limited,"Piramal Agastya Corporate Park, Building ‘A’, 4th and 5th Floor, Unit No. 401, 403, 501, 502, L.B.S. Road, Kurla, Mumbai, Maharashtra - 400 070","KH No 118/110/1 Building2 Divyashree Technopolis, Yemalur Post, HAL Old Airport Rd, Bengaluru, Karnataka - 560 037","KH No 118/110/1 Building2 Divyashree Technopolis, Yemalur Post, HAL Old Airport Rd, Bengaluru, Karnataka - 560 037"
Aditya Birla Sun Life AMC Limited,"One World Center, Tower 1, 17th Floor, Jupiter Mills, Senapati Bapat Marg Elphinstone Road, Mumbai - 400013","One World Center, Tower 1, 17th Floor, Jupiter Mills, Senapati Bapat Marg, Elphinstone Road, Mumbai - 400013","One World Center, Tower 1, 17th Floor, Jupiter Mills, Senapati Bapat Marg, Elphinstone Road, Mumbai - 400013"
Aegis Logistics Limited,"502, 5th Floor, Skylon Co. Op. Housing Society Limited., GIDC, Char Rasta, Vapi- 396195, Dist. Valsad, Gujarat State, India","1202, Tower B, Peninsula Business Park, G K MARG, Lower Parel (WEST) Mumbai-400013 MH","1202, Tower B, Peninsula Business Park, G K MARG, Lower Parel (WEST) Mumbai-400013 MH"
Aether Industries Limited,"Aether Industries Limited, Plot No. 8203, GIDC Sachin, Surat-394230, Gujarat.","Aether Industries Limited, Plot No. 8203, GIDC Sachin, Surat-394230, Gujarat.","Aether Industries Limited, Plot No. 8203, GIDC Sachin, Surat-394230, Gujarat."
AIA ENGINEERING LIMITED,"115, G.V.M.M. ESTATE, ODAV ROAD, ODHAV, 
AHMEDABAD - 382415","11/12, SIGMA COPRORATES, B/H. HOF 
SHOWROOM, OFF. S.G. HIGHWAY, SINDHU BHAVAN 
ROAD, BODAKDEV, AHMEDABAD - 380054","11/12, SIGMA COPRORATES, B/H. HOF 
SHOWROOM, OFF. S.G. HIGHWAY, SINDHU BHAVAN 
ROAD, BODAKDEV, AHMEDABAD - 380054"
Ajanta Pharma Limited,"Ajanta House 98, Govt Industrial Area, Charkop, Kandivli (West), Mumbai- 400067, Maharashtra, India.",Same as above,Same as above
Akzo Nobel India Limited,"801A, South City Business Park, 770, Anandapur, Eastern Metropolitan Bypass, Near Fortis Hospital, E.K.T., Kolkata – 700 107, West Bengal","9th Floor, Magnum Towers 1, Sector 58, Gurugram 122 011, India","9th Floor, Magnum Towers 1, Sector 58, Gurugram 122 011, India"
ALEMBIC PHARMACEUTICALS LIMITED,"ALEMBIC ROAD, VADODARA, Gujarat, India, 390003","ALEMBIC ROAD, VADODARA, Gujarat, India, 390003","ALEMBIC ROAD, VADODARA, Gujarat, India, 390003"
Alkem Laboratories Limited,"Alkem House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013, Maharashtra, India","Alkem House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013, Maharashtra, India","Alkem House, Senapati Bapat Marg, Lower Parel, Mumbai - 400 013, Maharashtra, India"
ALKYL AMINES CHEMICALS LIMITED,"401-407 Nirman Vyapar Kendra, Sector 17, Vashi, Navi Mumbai - 400703","207A, Kakad Chambers, 132, Dr. Annie Besant Road, Worli, Mumbai - 400018","207A, Kakad Chambers, 132, Dr. Annie Besant Road, Worli, Mumbai - 400018"
ALOK INDUSTRIES LIMITED,"Survey Nos. 17/5/1 & 521/1, Village Rakholi/ Sayli, Silvassa, Union Territory of Dadra and Nagar Haveli and Daman and Diu – 396230","Dhirubhai Ambani Knowledge City (DAKC), Building No. 24, 5th and 6th floor, MIDC, Plot no. 1 of 2, TTC Industrial area, Kopar Khairane, Navi Mumbai - 400 710.","Dhirubhai Ambani Knowledge City (DAKC), Building No. 24, 5th and 6th floor, MIDC, Plot no. 1 of 2, TTC Industrial area, Kopar Khairane, Navi Mumbai - 400 710."
Amara Raja Energy  Mobility Limited,"Renignuta-Cuddapah Road, Karakambadi, Tirupati, Andhra Pradesh – 517520.","TERMINAL A, 1-18/1/AMR/NR, Nanakramguda, Gachibowli, Hyderabad – 500032.","TERMINAL A, 1-18/1/AMR/NR, Nanakramguda, Gachibowli, Hyderabad – 500032."
Amber Enterprises India Limited,C – 1 Phase – II Focal Point Rajpura Town Punjab – 140401,Universal Trade Tower 1st Floor Sector – 49 Sohna Road Gurgaon – 122018,Universal Trade Tower 1st Floor Sector – 49 Sohna Road Gurgaon – 122018
Ambuja Cements Limited,"Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S.G. Highway,
Ahmedabad – 382421","Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S.G. Highway,
Ahmedabad – 382421","Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S.G. Highway,
Ahmedabad – 382421"
Anand Rathi Wealth Limited,"Express Zone, A Wing, 10th Floor, Western Express Highway, Goregaon (E), Mumbai - 400063","Floor No. 2&3, Block B & C, E Wing, Trade Link, Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai - 400013","Floor No. 2&3, Block B & C, E Wing, Trade Link, Kamala Mills Compound, Senapati Bapat Marg, Lower Parel, Mumbai - 400013"
Anant Raj Limited,"Plot No. CP-1, Sector-8 IMT Manesar, Gurugram-122051, Haryana, India","H-65, Connaught Circus, New Delhi-110001","H-65, Connaught Circus, New Delhi-110001"
Angel One Limited,"601, 6th Floor, Ackruti Star, Central Road, MIDC, Andheri East,Mumbai-400093","601, 6th Floor, Ackruti Star, Central Road, MIDC, Andheri East,Mumbai-400093","601, 6th Floor, Ackruti Star, Central Road, MIDC, Andheri East,Mumbai-400093"
Anupam Rasayan India Limited,1101 to 1107 11th Floor Icon Rio Behind Icon Business Centre Dumas Road Surat 395007 Gujarat India,10th Floor Icon Rio Behind Icon Business Centre Dumas Road Surat 395007 Gujarat India,10th Floor Icon Rio Behind Icon Business Centre Dumas Road Surat 395007 Gujarat India
APAR Industries Limited,"301 Panorama Complex, RC Dutt Road, Vadodara, Gujarat - 390007, India","APAR House', Bldg. No. 5, Corporate Park, Sion - Trombay Road, Chembur, Mumbai – 400071, Maharashtra, India","APAR House', Bldg. No. 5, Corporate Park, Sion - Trombay Road, Chembur, Mumbai – 400071, Maharashtra, India"
APL Apollo Tubes Limited,"37, Hargobind Enclave, Vikas Marg, Delhi 110092","SG Centre, 37C, Block B, Sector 132, Noida, Uttar Pradesh - 201304","SG Centre, 37C, Block B, Sector 132, Noida, Uttar Pradesh - 201304"
Apollo Tyres Limited,"3rd Floor, Areekal Mansion, Pampilly Nagar, Kochi-682036 (Kerala), India","7, Apollo House, Institutional Area, Sector-32, Gurugram-122001, Haryana","7, Apollo House, Institutional Area, Sector-32, Gurugram-122001, Haryana"
Aptus Value Housing Finance India Limited,"NO. 8B, DOSHI TOWERS, 8TH FLOOR, NO:205, POONAMALLEE HIGH ROAD, KILPAUK, CHENNAI, Tamil Nadu, India, 600010","NO. 8B, DOSHI TOWERS, 8TH FLOOR, NO:205, POONAMALLEE HIGH ROAD, KILPAUK, CHENNAI, Tamil Nadu, India, 600010","NO. 8B, DOSHI TOWERS, 8TH FLOOR, NO:205, POONAMALLEE HIGH ROAD, KILPAUK, CHENNAI, Tamil Nadu, India, 600010"
Archean Chemical Industries Limited,"No.2, North Crescent Road, T Nagar Chennai, Tamil Nadu-600017","No.2, North Crescent Road, T Nagar Chennai, Tamil Nadu-600017","No.2, North Crescent Road, T Nagar Chennai, Tamil Nadu-600017"
ARVIND LIMITED,"NARODA ROAD, AHMEDABAD","NARODA ROAD, AHMEDABAD","NARODA ROAD, AHMEDABAD"
Asahi India Glass Limited,"A-2/10, 1st Floor, WHS DDA Marble Market, Kirti Nagar,
New Delhi-110 015","3rd Floor, Tower – D, Global Business Park, Mehrauli-Gurgaon Road, Gurgaon – 122002, Haryana","3rd Floor, Tower – D, Global Business Park, Mehrauli-Gurgaon Road, Gurgaon – 122002, Haryana"
Ashok Leyland Limited,"No. 1, Sardar Patel Road, Guindy,
Chennai – 600 032","No. 1, Sardar Patel Road, Guindy,
Chennai – 600 032","No. 1, Sardar Patel Road, Guindy,
Chennai – 600 032"
Asian Paints Limited,"6A & 6B, Shantinagar, Santacruz (East), Mumbai – 400 055, Maharashtra, India","6A & 6B, Shantinagar, Santacruz (East), 
Mumbai – 400 055, Maharashtra, India","6A & 6B, Shantinagar, Santacruz (East), 
Mumbai – 400 055, Maharashtra, India"
Aster DM Healthcare Limited,"Awfis, 2nd Floor, Renaissance Centra, 27 & 27/1, Mission Road Sampangi Rama Nagar, Bengaluru, Karnataka 560027","Awfis, 2nd Floor, Renaissance Centra, 27 & 27/1, Mission Road, Sampangi Rama Nagar, Bengaluru, Karnataka 560027","Awfis, 2nd Floor, Renaissance Centra, 27 & 27/1, Mission Road, Sampangi Rama Nagar, Bengaluru, Karnataka 560027"
Astral Limited,"“Astral House’’, 207/1, Behind Rajpath Club, Off. S. G. Highway, Ahmedabad-380059, Gujarat, India.","“Astral House’’, 207/1, Behind Rajpath Club, Off. S. G. Highway, Ahmedabad-380059, Gujarat, India.","“Astral House’’, 207/1, Behind Rajpath Club, Off. S. G. Highway, Ahmedabad-380059, Gujarat, India."
AstraZeneca Pharma India Limited,"Block N1, 12th Floor, Manyata Embassy Business Park, Rachenahalli, Outer Ring Road, Bengaluru – 560 045, Karnataka, India","Block N1, 12th Floor, Manyata Embassy Business Park, Rachenahalli, Outer Ring Road, Bengaluru – 560 045, Karnataka, India","Block N1, 12th Floor, Manyata Embassy Business Park, Rachenahalli, Outer Ring Road, Bengaluru – 560 045, Karnataka, India"
Atul Limited,"Atul House, G I Patel Marg, Ahmedabad 380 014, Gujarat, India","Atul 396 020, Gujarat, India","Atul 396 020, Gujarat, India"
AUROBINDO PHARMA LIMITED,"Plot no.2, Maithrivihar, Behind Maithrivanam, Ameerpet, Hyderabad - 500038, Telangana, India","Galaxy, Floor 22-24; Plot No 1, Sy No 83/1, Hyderabad Knowledge City, Raidurg Panmaktha, Hyderabad - 500032, Telangana, India","Galaxy, Floor 22-24; Plot No 1, Sy No 83/1, Hyderabad Knowledge City, Raidurg Panmaktha, Hyderabad - 500032, Telangana, India"
Authum Investment  Infrastructure Limited,"707, Raheja Centre, Free Press Journal Marg, Nariman Point, Mumbai 400021","The Ruby, 11th Floor, North-West Wing, Plot No. 29, Senapati Bapat Marg, Dadar (West), Mumbai 400 028","The Ruby, 11th Floor, North-West Wing, Plot No. 29, Senapati Bapat Marg, Dadar (West), Mumbai 400 028"
AU Small Finance Bank Limited,"19-A, Dhuleshwar Garden, Ajmer Road, Jaipur – 302001,
Rajasthan","5th Floor, E-Wing, Kanakia Zillion, Junction of CST Road & LBS Road, Kurla (West), Mumbai – 400070, Maharashtra","5th Floor, E-Wing, Kanakia Zillion, Junction of CST Road & LBS Road, Kurla (West), Mumbai – 400070, Maharashtra"
Avenue Supermarts Limited,"Anjaneya CHS Ltd, Orchard Avenue, Opp. Hiranandani Foundation School, Powai, Mumbai- 400076","B-72/72A, Wagle Industrial Estate, Road No. 33, Kamgar Hospital Road, Thane- 400604","B-72/72A, Wagle Industrial Estate, Road No. 33, Kamgar Hospital Road, Thane- 400604"
Axis Bank Limited,"“TRISHUL”, Third Floor, Opp. Samartheshwar Temple, Law Garden, Ellisbridge, 
Ahmedabad - 380 006, Gujarat","‘Axis House’, C-2, Pandurang Budhkar Marg, Worli, Mumbai – 400 025, Maharashtra","‘Axis House’, C-2, Pandurang Budhkar Marg, Worli, Mumbai – 400 025, Maharashtra"
