Company_Name,Sector,Indicator_Name,Value,Zero_Type,Data_Source,Confidence
360 ONE WAM LIMITED,Chemicals & Fertilizers,Revenue_Cr,3295.0930124,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Base_MSA_Loss,0.55,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,V7_Direct_EIF,0.0374641669027132,NON_ZERO,V7 Methodology (PhD-validated),TIER_1_VALIDATED
360 ONE WAM LIMITED,Chemicals & Fertilizers,V7_Scope3_Factor,0.005225,NON_ZERO,V7 Methodology (PhD-validated),TIER_1_VALIDATED
360 ONE WAM LIMITED,Chemicals & Fertilizers,MSA_Intensity_Direct,0.0104861535860011,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,MSA_Intensity_Scope3,0.005225,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,MSA_Intensity_V7_Total,0.0157111535860011,NON_ZERO,Calculated (Formula-based),TIER_2_CALCULATED
360 ONE WAM LIMITED,Chemicals & Fertilizers,Scope3_Biodiversity_MSA,17.21686098979,NON_ZERO,V7 Recalculated (V7_Scope3_Factor × Revenue),TIER_1_VALIDATED
360 ONE WAM LIMITED,Chemicals & Fertilizers,Data_Tier,Tier 2,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Confidence,75%,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Scope1_GHG_tCO2e,0.21,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Scope2_GHG_tCO2e,381.07,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Scope3_GHG_tCO2e,1200.0,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Water_Consumption_KL,14350.0,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Waste_Generated_MT,36.2,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Hazardous_Air_Pollutants,,NOT_DISCLOSED,BRSR FY 2023-24 / Gemini Extraction,TIER_3_IMPUTED
360 ONE WAM LIMITED,Chemicals & Fertilizers,Total_GHG_Emissions_tCO2e,1581.28,NON_ZERO,Calculated (Formula-based),TIER_2_CALCULATED
360 ONE WAM LIMITED,Chemicals & Fertilizers,GHG_Emissions_Normalized,479.88933667407025,NON_ZERO,Calculated (Formula-based),TIER_2_CALCULATED
360 ONE WAM LIMITED,Chemicals & Fertilizers,Water_Consumption_Normalized,4354.960526455092,NON_ZERO,Calculated (Formula-based),TIER_2_CALCULATED
360 ONE WAM LIMITED,Chemicals & Fertilizers,Waste_Generated_Normalized,10.98603282631877,NON_ZERO,Calculated (Formula-based),TIER_2_CALCULATED
360 ONE WAM LIMITED,Chemicals & Fertilizers,Pollution_Index,,NOT_DISCLOSED,BRSR FY 2023-24 / Gemini Extraction,TIER_3_IMPUTED
360 ONE WAM LIMITED,Chemicals & Fertilizers,Data_Quality_Flag,OK,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Land_Owned_ha,0.0,VALID_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Land_Leased_ha,5.0,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Total_Land_ha,5.0,NON_ZERO,Calculated (Formula-based),TIER_2_CALCULATED
360 ONE WAM LIMITED,Chemicals & Fertilizers,Land_Degraded_Reported_ha,0.0,VALID_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Land_Degraded_HA_Calculated,1.1,NON_ZERO,DHE Proxy (100% coverage via Degraded Hectare Equivalents),TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Land_Degradation_Pct,22.000000000000004,NON_ZERO,Calculated (Formula-based),TIER_2_CALCULATED
360 ONE WAM LIMITED,Chemicals & Fertilizers,Land_Restored_ha,0.0,VALID_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Land_Data_Quality,MSA_PROXY_HIGH,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Renewable_Energy_Pct,,NOT_DISCLOSED,BRSR FY 2023-24 / Gemini Extraction,TIER_3_IMPUTED
360 ONE WAM LIMITED,Chemicals & Fertilizers,Land_Degradation_Ratio,0.22,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Land_Restoration_Ratio,0.0,VALID_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Net_Land_Impact,0.22,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Distance_To_Protected_Area_km,0.0,VALID_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Land_Degraded_HA_Reported,1.1,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Land_Intensity,1.5174078489390566,NON_ZERO,Calculated (Formula-based),TIER_2_CALCULATED
360 ONE WAM LIMITED,Chemicals & Fertilizers,PA_Proximity_Score,0.0,VALID_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Renewable_Energy_GJ,6922.84,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Total_Energy_GJ,8335.0,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Water_Intensity,4354.960526455092,NON_ZERO,Calculated (Formula-based),TIER_2_CALCULATED
360 ONE WAM LIMITED,Chemicals & Fertilizers,Water_Stress_Category,Low-Medium (1-2),NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Water_Stress_Score,1.6740104458720415,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Water_Recycling_Pct,0.0,VALID_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Water_Discharge_ML,0.0,VALID_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Waste_Recycled_Pct,90.0,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
360 ONE WAM LIMITED,Chemicals & Fertilizers,Plastic_Waste_MT,1.89,NON_ZERO,BRSR FY 2023-24 / Gemini Extraction,TIER_1_DIRECT
