Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag
360 ONE WAM LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,1965.0,0.55,0.0374641669027132,0.005225,0.0104861535860011,0.005225,0.0157111535860011,0.010267125,Tier 2,75%,0.21,381.07,,14350.0,36.2,,381.28,194.04,7302.8,18.42,,OK
3M INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,4116.0,0.62,0.0374641669027132,0.005225,0.0056432904469587,0.005225,0.0108682904469587,0.0215061,Tier 2,75%,4550.0,10774.0,551734.0,88437.0,4531.55,0.0,567058.0,137769.19,21486.15,1100.96,0.0,OK
ACC Limited,Cement Manufacturing,Bangalore,Karnataka,19959.0,0.48,0.0777832037429109,0.0033,0.0018706316847836,0.0033,0.0051706316847836,0.0658647,Tier 2,75%,13488976.0,625212.0,,4799919.85,477485.5,0.0,14114188.0,707159.08,240488.99,23923.32,0.0,OK
ADANI POWER LIMITED,Power Generation,Chennai,Tamil Nadu,50351.0,0.52,0.1562256571307733,0.0054449999999999,0.0016134206213978,0.0054449999999999,0.0070584206213977,0.274161194999995,Tier 2,75%,86427664.95,1366.59,24135597.0,752186371.0,15451984.18988,0.0,110564628.54,2727.651883775893,219.7175825703561,4130.940795614784,0.0,OK
AIA ENGINEERING LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,4874.0,0.58,0.0374641669027132,0.005225,0.0044581897422186,0.005225,0.0096831897422186,0.0254666499999999,Tier 2,75%,28902.21,147511.55,120225.78,249578.0,134380.48,0.0,296639.54,60861.62,51205.99,27570.88,0.0,OK
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals & Healthcare,Hyderabad,Telangana,6230.0,0.45,0.0144770016599194,0.003465,0.0010456903285656,0.003465,0.0045106903285656,0.02158695,Tier 2,75%,80278.03,77965.98,,769226.41,43512.18,0.0,158244.01,25400.32,123471.33,6984.3,0.0,OK
ALKYL AMINES CHEMICALS LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,1444.0,0.42,0.0374641669027132,0.005225,0.0108967798470495,0.005225,0.0161217798470495,0.0075448999999999,Tier 2,75%,360680.0,24352.0,293070.0,771103.0,14128.354,0.0,678102.0,469599.72,534004.85,9784.18,0.0,OK
ALOK INDUSTRIES LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,5507.0,0.51,0.0374641669027132,0.005225,0.003469534251023,0.005225,0.008694534251023,0.0287740749999999,Tier 2,75%,969200.0,0.0,,1604504.0,14305.02,0.0,969200.0,175994.19,291357.18,2597.61,0.0,OK
APAR Industries Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,16198.0,0.55,0.0374641669027132,0.005225,0.0012720886403563,0.005225,0.0064970886403563,0.0846345499999999,Tier 2,75%,39329.0,122479.0,4667283.0,363693.0,12327.08,0.0,4829091.0,298128.84,22452.96,761.02,0.0,OK
APL Apollo Tubes Limited,Steel & Iron,Delhi,Delhi,18123.0,0.62,0.0840934065650114,0.0096249999999999,0.0028768919091931,0.0096249999999999,0.012501891909193,0.1744338749999981,Tier 2,75%,31243.0,124341.0,1163120.0,907155.0,143644.0,0.0,1318704.0,8584.8921260277,50055.45439496772,7926.0608067097055,0.0,OK
ARVIND LIMITED,Textiles & Apparel,Bangalore,Karnataka,7738.0,0.48,0.04,0.006,0.0024812613078314,0.006,0.0084812613078314,0.046428,Tier 2,75%,253283.0,190808.0,,2684426.0,34493.0,0.0,444091.0,57390.93,346914.71,4457.61,0.0,OK
AU Small Finance Bank Limited,Financial Services,Chennai,Tamil Nadu,12560.0,0.52,0.0011797441546504,0.000297,4.88429108613223e-05,0.000297,0.0003458429108613,0.00373032,Tier 2,75%,316.89,28075.87,,566264.79,162.86,,28392.76,2260.57,45084.78,12.97,,OK
AUROBINDO PHARMA LIMITED,Pharmaceuticals & Healthcare,Kolkata,West Bengal,29002.0,0.58,0.0144770016599194,0.003465,0.0002895200662972,0.003465,0.0037545200662972,0.10049193,Tier 2,75%,750616.0,474772.0,360221.0,5543209.0,55538.0,0.0,1585609.0,54672.4,191131.96,1914.97,0.0,OK
Aarti Industries Limited,Chemicals & Fertilizers,Hyderabad,Telangana,6373.0,0.45,0.0374641669027132,0.005225,0.002645359345084,0.005225,0.007870359345084,0.033298925,Tier 2,75%,620823.0,171010.0,1941181.0,2931534.0,468736.07,0.0,2733014.0,428842.62,459992.78,73550.3,0.0,OK
Aavas Financiers Limited,Financial Services,Pune,Maharashtra,1608.0,0.42,0.0011797441546504,0.000297,0.000308142129946,0.000297,0.000605142129946,0.000477576,Tier 2,75%,33.02,2746.2,14430.15,119033.79,12.96,,17209.37,10702.34,74025.99,8.06,,OK
Adani Energy Solutions Limited,Power Generation,Ahmedabad,Gujarat,16717.0,0.51,0.1562256571307733,0.0054449999999999,0.0047661114516177,0.0054449999999999,0.0102111114516176,0.0910240649999983,Tier 2,75%,1340619.0,420669.0,2164885.0,257504976.0,3789.36,0.0,3926173.0,234861.1,15.4,226.68,0.0,OK
Adani Enterprises Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,96420.0,0.55,0.0374641669027132,0.005225,0.0002137035033861,0.005225,0.0054387035033861,0.5037944999999999,Tier 2,75%,1255719.0,419927.0,9365982.0,5852818.0,247572956.0,0.0,11041628.0,114515.95,60701.29,2567651.48,0.0,OK
Adani Ports and Special Economic Zone Limited,Transportation & Logistics,Delhi,Delhi,26710.0,0.62,0.065,0.0125,0.0015087982029202,0.0125,0.0140087982029202,0.333875,Tier 2,75%,150398.25,323098.43,2005650.0,7795719.0,12344.53594,0.0,2479146.68,92817.17,291865.18,462.17,0.0,OK
Adani Total Gas Limited,Oil & Gas,Bangalore,Karnataka,4819.0,0.48,0.0971185610539406,0.0154274999999999,0.0096735649109548,0.0154274999999999,0.0251010649109547,0.0743451224999995,Tier 2,75%,80662.0,45200.0,2074877.0,107708.0,139.77,0.0,2200739.0,456679.6,22350.7,29.0,0.0,OK
Aditya Birla Capital Limited,Financial Services,Chennai,Tamil Nadu,35223.0,0.52,0.0011797441546504,0.000297,1.7416658445283144e-05,0.000297,0.0003144166584452,0.010461231,Tier 2,75%,39.6,5541.77,,677104.0,96.23,,5581.370000000001,158.46,19223.35,2.73,,OK
Aditya Birla Fashion and Retail Limited,Pharmaceuticals & Healthcare,Kolkata,West Bengal,13995.0,0.58,0.0144770016599194,0.003465,0.0005999757744018,0.003465,0.0040649757744018,0.048492675,Tier 2,75%,3024.0,106953.0,1584928.0,204591.0,5156.31,0.0,1694905.0,121107.9,14618.86,368.44,0.0,OK
Aditya Birla Sun Life AMC Limited,Financial Services,Hyderabad,Telangana,1640.0,0.45,0.0011797441546504,0.000297,0.000323710286337,0.000297,0.000620710286337,0.00048708,Tier 2,75%,0.25,0.0,,2851.2,1.9497,,0.25,0.15,21746.951219512193,30.48780487804878,,OK
Aegis Logistics Limited,Chemicals & Fertilizers,Pune,Maharashtra,7144.0,0.42,0.0374641669027132,0.005225,0.0022025406073823,0.005225,0.0074275406073823,0.0373274,Tier 2,75%,,,,13388.0,14.96,0.0,,,1874.020156774916,2.085666293393057,0.0,PARTIAL ENV DATA
Aether Industries Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,651.0,0.51,0.0374641669027132,0.005225,0.0293498081726324,0.005225,0.0345748081726324,0.0034014749999999,Tier 2,75%,7718.84,16496.52,561.77,183505.0,5061.54,0.0,24777.13,38060.11,281881.72,7775.02,0.0,OK
Ajanta Pharma Limited,Pharmaceuticals & Healthcare,Mumbai,Maharashtra,4302.0,0.55,0.0144770016599194,0.003465,0.0018508486548014,0.003465,0.0053158486548014,0.01490643,Tier 2,75%,6392.0,43598.47,10789.88,490670.4,3071.09,0.0,60780.35,14128.39,114056.35,713.87,0.0,OK
Akzo Nobel India Limited,Chemicals & Fertilizers,Delhi,Delhi,3962.0,0.62,0.0374641669027132,0.005225,0.0058626409590313,0.005225,0.0110876409590313,0.0207014499999999,Tier 2,75%,304.0,8133.0,777.0,130360.0,3398.4,0.0,9214.0,2325.59,32902.57,857.75,0.0,OK
Alkem Laboratories Limited,Pharmaceuticals & Healthcare,Bangalore,Karnataka,12664.0,0.48,0.0144770016599194,0.003465,0.0005487176876785,0.003465,0.0040137176876785,0.04388076,Tier 2,75%,33018.0,76079.0,,684761.0,5578.0,0.0,109097.0,8614.73,54071.46,440.46,0.0,OK
Amara Raja Energy  Mobility Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,11260.0,0.52,0.0374641669027132,0.005225,0.001730139146484,0.005225,0.006955139146484,0.0588335,Tier 2,75%,6816.0,230765.0,451864.0,941500.0,27573.26,1.73,689445.0,61229.57,83614.56,2448.78,1.73,OK
Amber Enterprises India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,6705.0,0.58,0.0374641669027132,0.005225,0.0032407482182809,0.005225,0.0084657482182809,0.035033625,Tier 2,75%,8150.35,57550.75,0.0,277748.68,26753.35,0.0,65701.1,9798.82,41424.11,3990.06,0.0,OK
Ambuja Cements Limited,Cement Manufacturing,Hyderabad,Telangana,33160.0,0.45,0.0777832037429109,0.0033,0.0010555621738332,0.0033,0.0043555621738332,0.109428,Tier 2,75%,14756978.0,485448.0,,4703097.26,283850.79,0.0,15242426.0,459663.03,141830.44,8560.04,0.0,OK
Anand Rathi Wealth Limited,Financial Services,Pune,Maharashtra,752.0,0.42,0.0011797441546504,0.000297,0.0006588996608419,0.000297,0.0009558996608419,0.000223344,Tier 2,75%,12.21,789.87,,774.24,0.0,,802.08,1066.6,1029.57,0.0,,OK
Anant Raj Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,1484.0,0.51,0.0374641669027132,0.005225,0.0128751516983717,0.005225,0.0181001516983717,0.0077539,Tier 2,75%,5.61,23383.67,0.0,39510.0,937.445,0.0,23389.28,15760.97,26623.99,631.7,0.0,OK
Anupam Rasayan India Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,1466.0,0.55,0.0374641669027132,0.005225,0.0140554514300765,0.005225,0.0192804514300765,0.0076598499999999,Tier 2,75%,84581.0,32046.0,236144.0,517048.0,30489.01,0.0,352771.0,240635.06,352693.04,20797.41,0.0,OK
Apollo Tyres Limited,Chemicals & Fertilizers,Delhi,Delhi,25378.0,0.62,0.0374641669027132,0.005225,0.0009152724201939,0.005225,0.0061402724201939,0.1326000499999999,Tier 2,75%,257515.55,241414.3,176362.23,1888750.0,32091.05,0.0,675292.08,26609.35,74424.7,1264.52,0.0,OK
Aptus Value Housing Finance India Limited,Financial Services,Bangalore,Karnataka,1514.0,0.48,0.0011797441546504,0.000297,0.0003740272088719,0.000297,0.0006710272088719,0.000449658,Tier 2,75%,,,,0.0,0.0,,,,0.0,0.0,,PARTIAL ENV DATA
Asahi India Glass Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,4342.0,0.52,0.0374641669027132,0.005225,0.0044867265751752,0.005225,0.0097117265751752,0.02268695,Tier 2,75%,260368.0,146799.0,,650486.0,32430.48,0.0,407167.0,93774.07,149812.53,7469.02,0.0,OK
Ashok Leyland Limited,Chemicals & Fertilizers,Kolkata,West Bengal,45791.0,0.58,0.0374641669027132,0.005225,0.0004745302964244,0.005225,0.0056995302964244,0.2392579749999999,Tier 2,75%,30986.68,69608.31,144225.0,878006.81,165363.86,0.0,244819.99,5346.47,19174.22,3611.27,0.0,OK
Asian Paints Limited,Chemicals & Fertilizers,Hyderabad,Telangana,35494.0,0.45,0.0374641669027132,0.005225,0.0004749781683163,0.005225,0.0056999781683163,0.18545615,Tier 2,75%,87435.0,52727.0,3220000.0,1365903.0,19490.4,0.0,3360162.0,94668.45,38482.64,549.12,0.0,OK
Aster DM Healthcare Limited,Pharmaceuticals & Healthcare,Pune,Maharashtra,13226.0,0.42,0.0144770016599194,0.003465,0.0004597263494001,0.003465,0.0039247263494001,0.04582809,Tier 2,75%,3058.0,46335.0,1377.0,1235522.62,2587.0,,50770.0,3838.65,93416.2,195.6,,OK
