Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence
360 ONE WAM LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,3295.445710455764,0.55,0.0374641669027132,0.005225,0.0062526570324359,0.005225,0.0114776570324359,0.0172187038371313,Tier 2,75%
3M INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,4445.508799939179,0.62,0.0374641669027132,0.005225,0.0052249999999999,0.005225,0.0104499999999999,0.0232277834796822,Tier 2,75%
ACC Limited,Cement,Bangalore,Karnataka,20594.00124165761,0.48,0.0777832037429109,0.0033,0.0018129520999092,0.0033,0.0051129520999092,0.0679602040974701,Tier 2,75%
ADANI POWER LIMITED,Power Generation,Chennai,Tamil Nadu,58905.83006002567,0.52,0.1562256571307733,0.0054449999999999,0.0013791052876297,0.0054449999999999,0.0068241052876296,0.3207422446768339,Tier 2,75%
AIA ENGINEERING LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,0.034864476000168,0.58,0.0374641669027132,0.005225,623.2480535049185,0.005225,623.2532785049185,1.821668871008778e-07,Tier 2,75%
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals,Hyderabad,Telangana,6032.6313010353215,0.45,0.0144770016599194,0.003465,0.0010799020231595,0.003465,0.0045449020231595,0.0209030674580873,Tier 2,75%
ALKYL AMINES CHEMICALS LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,1571.8203602045098,0.42,0.0374641669027132,0.005225,0.0100106542054794,0.005225,0.0152356542054794,0.0082127613820685,Tier 2,75%
ALOK INDUSTRIES LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.0003629310000001,0.51,0.0374641669027132,0.005225,52645.61340965216,0.005225,52645.61863465216,1.896314475000522e-09,Tier 2,75%
APAR Industries Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,18581.21156132749,0.55,0.0374641669027132,0.005225,0.0011089315531704,0.005225,0.0063339315531704,0.0970868304079361,Tier 2,75%
APL Apollo Tubes Limited,Chemicals & Fertilizers,Delhi,Delhi,20689.643352161795,0.62,0.0374641669027132,0.005225,0.0011226768429169,0.005225,0.0063476768429169,0.1081033865150453,Tier 2,75%
ARVIND LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,7629.580764488286,0.48,0.0374641669027132,0.005225,0.0023569840425574,0.005225,0.0075819840425574,0.0398645594944512,Tier 2,75%
AU Small Finance Bank Limited,Financial Services,Chennai,Tamil Nadu,18589.90789146129,0.52,0.0011797441546504,0.000297,3.2999999999999216e-05,0.000297,0.0003299999999999,0.005521202643764,Tier 2,75%
AUROBINDO PHARMA LIMITED,Pharmaceuticals,Kolkata,West Bengal,31723.7664543013,0.58,0.0144770016599194,0.003465,0.0002646804557349,0.003465,0.0037296804557349,0.109922850764154,Tier 2,75%
Aarti Industries Limited,Chemicals & Fertilizers,Hyderabad,Telangana,8046.015833447909,0.45,0.0374641669027132,0.005225,0.0020953072247431,0.005225,0.0073203072247431,0.0420404327297653,Tier 2,75%
