Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence
360 ONE WAM LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,3295.445710455764,0.55,0.0374641669027132,0.005225,0.006252657032435993,0.005225,0.011477657032435994,0.017218703837131366,Tier 2,75%
3M INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,4445.508799939179,0.62,0.0374641669027132,0.005225,0.005224999999999994,0.005225,0.010449999999999994,0.02322778347968221,Tier 2,75%
ACC Limited,Cement,Bangalore,Karnataka,20594.00124165761,0.48,0.0777832037429109,0.0033,0.0018129520999092675,0.0033,0.005112952099909267,0.06796020409747011,Tier 2,75%
ADANI POWER LIMITED,Power Generation,Chennai,Tamil Nadu,58905.83006002567,0.52,0.1562256571307733,0.0054449999999999,0.0013791052876297712,0.0054449999999999,0.0068241052876296705,0.3207422446768339,Tier 2,75%
AIA ENGINEERING LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,0.034864476000168,0.58,0.0374641669027132,0.005225,623.2480535049185,0.005225,623.2532785049185,1.821668871008778e-07,Tier 2,75%
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals,Hyderabad,Telangana,6032.6313010353215,0.45,0.0144770016599194,0.003465,0.0010799020231595598,0.003465,0.00454490202315956,0.02090306745808739,Tier 2,75%
ALKYL AMINES CHEMICALS LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,1571.8203602045098,0.42,0.0374641669027132,0.005225,0.010010654205479478,0.005225,0.015235654205479478,0.008212761382068563,Tier 2,75%
ALOK INDUSTRIES LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.0003629310000001,0.51,0.0374641669027132,0.005225,52645.61340965216,0.005225,52645.61863465216,1.8963144750005226e-09,Tier 2,75%
APAR Industries Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,18581.21156132749,0.55,0.0374641669027132,0.005225,0.0011089315531704847,0.005225,0.006333931553170484,0.09708683040793613,Tier 2,75%
APL Apollo Tubes Limited,Steel & Iron,Delhi,Delhi,20689.643352161795,0.62,0.0840934065650114,0.0096249999999999,0.002520000523105167,0.0096249999999999,0.012145000523105066,0.1991378172645552,Tier 2,75%
ARVIND LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,7629.580764488286,0.48,0.0374641669027132,0.005225,0.002356984042557473,0.005225,0.007581984042557473,0.03986455949445129,Tier 2,75%
AU Small Finance Bank Limited,Financial Services,Chennai,Tamil Nadu,18589.90789146129,0.52,0.0011797441546504,0.000297,3.2999999999999216e-05,0.000297,0.00032999999999999924,0.005521202643764003,Tier 2,75%
AUROBINDO PHARMA LIMITED,Pharmaceuticals,Kolkata,West Bengal,31723.7664543013,0.58,0.0144770016599194,0.003465,0.0002646804557349394,0.003465,0.0037296804557349398,0.10992285076415402,Tier 2,75%
