Company_Name,Sector,Sector_Original,Revenue_Cr
360 ONE WAM LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,3295.445710455764
3M INDIA LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,4445.508799939179
ACC Limited,Cement,Cement,20594.00124165761
ADANI POWER LIMITED,Power Generation,Power Generation,58905.83006002567
AIA ENGINEERING LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,0.034864476000168
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals,Pharmaceuticals,6032.6313010353215
ALKYL AMINES CHEMICALS LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,1571.8203602045098
ALOK INDUSTRIES LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0003629310000001
APAR Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,18581.21156132749
APL Apollo Tubes Limited,Steel & Iron,Chemicals & Fertilizers,20689.643352161795
ARVIND LIMITED,Chemicals & Fertilizers,Chemicals & Fertilizers,7629.580764488286
AU Small Finance Bank Limited,Financial Services,Financial Services,18589.90789146129
AUROBINDO PHARMA LIMITED,Pharmaceuticals,Pharmaceuticals,31723.7664543013
Aarti Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,8046.015833447909
Aavas Financiers Limited,Financial Services,Chemicals & Fertilizers,2358.276986442422
Adani Energy Solutions Limited,Chemicals & Fertilizers,Power Generation,24446.54528252705
Adani Enterprises Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,41308.111387490135
Adani Ports and Special Economic Zone Limited,Cement,Chemicals & Fertilizers,30561.93548387097
Adani Total Gas Limited,Oil & Gas,Chemicals & Fertilizers,5411.674412959513
Aditya Birla Capital Limited,Financial Services,Chemicals & Fertilizers,40585.55147058824
Aditya Birla Fashion and Retail Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0014972999999271
Aditya Birla Sun Life AMC Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1659.129916567342
Aegis Logistics Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,2976.7790765536674
Aether Industries Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0008328340012372
Ajanta Pharma Limited,Pharmaceuticals,Pharmaceuticals,4648.091193438521
Akzo Nobel India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,4091.2610032877296
Alkem Laboratories Limited,Pharmaceuticals,Chemicals & Fertilizers,10551.182898481458
Amara Raja Energy  Mobility Limited,Chemicals & Fertilizers,Power Generation,0.0012404889999999
Amber Enterprises India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,9972.90478956304
Ambuja Cements Limited,Cement,Cement,18857.00072182446
Anand Rathi Wealth Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,905.1129317980512
Anant Raj Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1228.597134563935
Anupam Rasayan India Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,1436.9742026988515
Apollo Tyres Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,17870.583886533117
Aptus Value Housing Finance India Limited,Financial Services,Chemicals & Fertilizers,1750.0013883052864
Asahi India Glass Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,4311.6100731346005
Ashok Leyland Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,38752.43620236856
Asian Paints Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,29552.67592538788
Aster DM Healthcare Limited,Pharmaceuticals,Chemicals & Fertilizers,4138.456776832813
AstraZeneca Pharma India Limited,Pharmaceuticals,Pharmaceuticals,1716.2616962347486
Astral Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,5296.010351035105
Atul Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,5074.68122914792
Avenue Supermarts Limited,Chemicals & Fertilizers,Chemicals & Fertilizers,0.0057789810000077
Axis Bank Limited,Financial Services,Financial Services,14461.24892696344
