Company_Name,Sector,City,State,Base_MSA_Loss,Sector_EIF,Weighted_MSA_Loss,Data_Tier,Confidence,Revenue_Cr,MSA_Intensity
360 ONE WAM LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,32954457104.55764,2.0027639900301112e-08
3M INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,44455087999.39179,1.6735992064849335e-08
ACC Limited,Cement,Bangalore,Karnataka,0.48,1.0,0.48,Tier 2,75%,205940012416.57614,2.3307758136337993e-09
ADANI POWER LIMITED,Power Generation,Chennai,Tamil Nadu,0.52,2.5,1.3,Tier 2,75%,589058300600.2567,2.206912284701338e-09
AIA ENGINEERING LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,348644.76000168,0.0019963013354815547
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals,Hyderabad,Telangana,0.45,0.5,0.225,Tier 2,75%,60326313010.35322,3.7297157537439e-09
ALKYL AMINES CHEMICALS LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,15718203602.0451,3.2064732889350307e-08
ALOK INDUSTRIES LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,3629.3100000017052,0.16862709440629553
APAR Industries Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,185812115613.27493,3.551975057286565e-09
APL Apollo Tubes Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,206896433521.61795,3.5960020544397726e-09
ARVIND LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,76295807644.88286,7.549562915448502e-09
AU Small Finance Bank Limited,Financial Services,Chennai,Tamil Nadu,0.52,0.01,0.0052,Tier 2,75%,185899078914.6129,2.7972166566723343e-11
AUROBINDO PHARMA LIMITED,Pharmaceuticals,Kolkata,West Bengal,0.58,0.5,0.29,Tier 2,75%,317237664543.013,9.141411390029952e-10
Aarti Industries Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,80460158334.4791,6.7113961888463895e-09
Aavas Financiers Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,23582769864.42423,2.1371535358122154e-08
Adani Energy Solutions Limited,Power Generation,Ahmedabad,Gujarat,0.51,2.5,1.275,Tier 2,75%,244465452825.27054,5.215460856595122e-09
Adani Enterprises Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,413081113874.90137,1.597749153450468e-09
Adani Ports and Special Economic Zone Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,305619354838.70966,2.4344007937345635e-09
Adani Total Gas Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,54116744129.59512,1.0643655845603609e-08
Aditya Birla Capital Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,405855514705.8824,1.5374929682850406e-09
Aditya Birla Fashion and Retail Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,14972.999999271226,0.046483670609355245
Aditya Birla Sun Life AMC Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,16591299165.67342,3.254717997715534e-08
Aegis Logistics Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,29767790765.536674,1.6931051550641118e-08
Aether Industries Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,8328.340012372964,0.0734840315225825
Ajanta Pharma Limited,Pharmaceuticals,Mumbai,Maharashtra,0.55,0.5,0.275,Tier 2,75%,46480911934.38521,5.9164071563011465e-09
Akzo Nobel India Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,40912610032.8773,1.8185102329138203e-08
Alkem Laboratories Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,105511828984.81458,5.459103548313041e-09
Amara Raja Energy  Mobility Limited,Power Generation,Chennai,Tamil Nadu,0.52,2.5,1.3,Tier 2,75%,12404.889999999374,0.10479738232262162
Amber Enterprises India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,99729047895.63042,6.978909502158146e-09
Ambuja Cements Limited,Cement,Hyderabad,Telangana,0.45,1.0,0.45,Tier 2,75%,188570007218.2446,2.3863816236650247e-09
Anand Rathi Wealth Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,9051129317.980513,5.5683659164915394e-08
Anant Raj Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,12285971345.63935,4.981291122880704e-08
Anupam Rasayan India Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,14369742026.988518,4.5929843330549824e-08
Apollo Tyres Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,178705838865.33118,4.163266319242441e-09
Aptus Value Housing Finance India Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,17500013883.052864,3.291425960283394e-08
Asahi India Glass Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,43116100731.34601,1.4472551771045085e-08
Ashok Leyland Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,387524362023.6856,1.7960161171943564e-09
Asian Paints Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,295526759253.8788,1.8272456997239332e-09
Aster DM Healthcare Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,41384567768.32813,1.2178452673987195e-08
AstraZeneca Pharma India Limited,Pharmaceuticals,Ahmedabad,Gujarat,0.51,0.5,0.255,Tier 2,75%,17162616962.347483,1.4857873980374694e-08
Astral Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,52960103510.351036,1.2462211292147553e-08
Atul Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,50746812291.479195,1.4661019409980234e-08
Authum Investment  Infrastructure Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,,
Avenue Supermarts Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,57789.81000007717,0.010797751368263138
Axis Bank Limited,Financial Services,Kolkata,West Bengal,0.58,0.01,0.0058,Tier 2,75%,144612489269.6344,4.0107185965008336e-11
BAJAJ ELECTRICALS LIMITED,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,48282987302.676735,1.1184063583614745e-08
BANK OF INDIA,Financial Services,Pune,Maharashtra,0.42,0.01,0.0042,Tier 2,75%,798157766778.279,5.262117559731423e-12
BANK OF MAHARASHTRA,Financial Services,Ahmedabad,Gujarat,0.51,0.01,0.0051,Tier 2,75%,284006628819.50244,1.795732733844482e-11
BASF India Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,151623751271.3301,4.352880036709635e-09
BATA INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,34881348036.885635,2.132945089201397e-08
BEML Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,38392299959.09212,1.5003008431736083e-08
BHARAT ELECTRONICS LIMITED,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,23658.00999990466,0.026375844798548764
