Company_Name,Sector,City,State,Base_MSA_Loss,Sector_EIF,Weighted_MSA_Loss,Data_Tier,Confidence,Revenue_Cr,MSA_Intensity
360 ONE WAM LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,3295.445710455764,0.20027639900301109
3M INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,4445.508799939179,0.16735992064849337
ACC Limited,Cement,Bangalore,Karnataka,0.48,1.0,0.48,Tier 2,75%,20594.00124165761,0.023307758136337998
ADANI POWER LIMITED,Power Generation,Chennai,Tamil Nadu,0.52,2.5,1.3,Tier 2,75%,58905.83006002567,0.02206912284701338
AIA ENGINEERING LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.034864476000168,19963.013354815546
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals,Hyderabad,Telangana,0.45,0.5,0.225,Tier 2,75%,6032.6313010353215,0.03729715753743901
ALKYL AMINES CHEMICALS LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,1571.8203602045098,0.3206473288935031
ALOK INDUSTRIES LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.0003629310000001705,1686270.9440629554
APAR Industries Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,18581.211561327495,0.03551975057286564
APL Apollo Tubes Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,20689.643352161795,0.03596002054439773
ARVIND LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,7629.580764488286,0.07549562915448502
AU Small Finance Bank Limited,Financial Services,Chennai,Tamil Nadu,0.52,0.01,0.0052,Tier 2,75%,18589.90789146129,0.00027972166566723344
AUROBINDO PHARMA LIMITED,Pharmaceuticals,Kolkata,West Bengal,0.58,0.5,0.29,Tier 2,75%,31723.7664543013,0.009141411390029951
Aarti Industries Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,8046.015833447909,0.06711396188846389
Aavas Financiers Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,2358.2769864424226,0.21371535358122157
Adani Energy Solutions Limited,Power Generation,Ahmedabad,Gujarat,0.51,2.5,1.275,Tier 2,75%,24446.54528252705,0.05215460856595123
Adani Enterprises Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,41308.111387490135,0.01597749153450468
Adani Ports and Special Economic Zone Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,30561.935483870966,0.024344007937345636
Adani Total Gas Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,5411.674412959513,0.10643655845603608
Aditya Birla Capital Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,40585.55147058824,0.015374929682850407
Aditya Birla Fashion and Retail Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.0014972999999271226,464836.70609355246
Aditya Birla Sun Life AMC Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,1659.129916567342,0.32547179977155344
Aegis Logistics Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,2976.7790765536674,0.16931051550641116
Aether Industries Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.0008328340012372965,734840.315225825
Ajanta Pharma Limited,Pharmaceuticals,Mumbai,Maharashtra,0.55,0.5,0.275,Tier 2,75%,4648.091193438521,0.05916407156301146
Akzo Nobel India Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,4091.2610032877296,0.18185102329138206
Alkem Laboratories Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,10551.182898481458,0.0545910354831304
Amara Raja Energy  Mobility Limited,Power Generation,Chennai,Tamil Nadu,0.52,2.5,1.3,Tier 2,75%,0.0012404889999999373,1047973.8232262161
Amber Enterprises India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,9972.904789563041,0.06978909502158145
Ambuja Cements Limited,Cement,Hyderabad,Telangana,0.45,1.0,0.45,Tier 2,75%,18857.00072182446,0.023863816236650248
Anand Rathi Wealth Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,905.1129317980512,0.5568365916491539
Anant Raj Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,1228.597134563935,0.4981291122880705
Anupam Rasayan India Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,1436.9742026988517,0.45929843330549824
Apollo Tyres Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,17870.583886533117,0.04163266319242441
Aptus Value Housing Finance India Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,1750.0013883052864,0.3291425960283394
Asahi India Glass Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,4311.6100731346005,0.1447255177104509
Ashok Leyland Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,38752.43620236856,0.017960161171943566
Asian Paints Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,29552.675925387877,0.018272456997239332
Aster DM Healthcare Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,4138.456776832813,0.12178452673987195
