Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag,Land_Owned_ha,Land_Leased_ha,Land_Degraded_ha,Land_Restored_ha,Total_Land_ha,Land_Degradation_Ratio,Land_Restoration_Ratio,Net_Land_Impact,Renewable_Energy_Pct,Total_Energy_GJ,Renewable_Energy_GJ
360 ONE WAM LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,3295.0930124,0.55,0.0374641669027132,0.005225,0.0104861535860011,0.005225,0.0157111535860011,0.010267125,Tier 2,75%,0.21,381.07,1200.0,14350.0,36.2,,381.28,115.71145292869669,4354.960526455092,10.98603282631877,,OK,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,83.0,8335.0,6922.84
3M INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,4445.5563083,0.62,0.0374641669027132,0.005225,0.0056432904469587,0.005225,0.0108682904469587,0.0215061,Tier 2,75%,4550.0,10774.0,551734.0,88437.0,4531.55,0.0,567058.0,127556.13936129524,19893.348293639923,1019.3437414209436,0.0,OK,45.0,15.0,0.0,0.0,60.0,0.0,0.0,0.0,12.35,98823.0,12200.0
ACC Limited,Cement Manufacturing,Bangalore,Karnataka,20594.0,0.48,0.0777832037429109,0.0033,0.0018706316847836,0.0033,0.0051706316847836,0.0658647,Tier 2,75%,13488976.0,625212.0,2850000.0,4799919.85,477485.5,28500.0,14114188.0,685354.3750606973,233073.70350587548,23185.66087209867,0.0,OK,5400.0,1100.0,145.0,120.0,6500.0,0.0223076923076923,0.0184615384615384,-25.0,16.5,,
ADANI POWER LIMITED,Power Generation,Chennai,Tamil Nadu,60281.0,0.52,0.1562256571307733,0.0054449999999999,0.0016134206213978,0.0054449999999999,0.0070584206213977,0.274161194999995,Tier 2,75%,86427664.95,1366.59,24135597.0,752186371.0,15451984.18988,11250.0,110564628.54,1834153.8551118928,12478000.879215673,256332.5789200577,0.0,OK,5200.0,850.0,0.0,145.0,6050.0,0.0,0.0239669421487603,145.0,0.0,550524091.5,0.0
AIA ENGINEERING LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,4062.0415,0.58,0.0374641669027132,0.005225,0.0044581897422186,0.005225,0.0096831897422186,0.0254666499999999,Tier 2,75%,28902.21,147511.55,120225.78,249578.0,134380.48,0.0,296639.54,73027.20565508747,61441.518999744345,33082.00568605712,0.0,OK,145.0,12.0,0.0,0.0,157.0,0.0,0.0,0.0,10.0,,
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals & Healthcare,Hyderabad,Telangana,6032.632314292,0.45,0.0144770016599194,0.003465,0.0010456903285656,0.003465,0.0045106903285656,0.02158695,Tier 2,75%,80278.03,77965.98,,769226.41,43512.18,0.0,158244.01,26231.33679556464,127510.905675059,7212.801598551703,0.0,OK,45.2,12.5,0.0,0.0,57.7,0.0,0.0,0.0,10.0,,
ALKYL AMINES CHEMICALS LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,1601.62,0.42,0.0374641669027132,0.005225,0.0108967798470495,0.005225,0.0161217798470495,0.0075448999999999,Tier 2,75%,360680.0,24352.0,293070.0,771103.0,14128.354,18.0,678102.0,423385.0726139784,481451.90494624194,8821.28969418464,0.0,OK,40.5,8.2,0.0,0.0,48.7,0.0,0.0,0.0,5.4,2587987.0,139927.0
ALOK INDUSTRIES LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,3801.8408982,0.51,0.0374641669027132,0.005225,0.003469534251023,0.005225,0.008694534251023,0.0287740749999999,Tier 2,75%,969200.0,0.0,,1604504.0,14305.02,12.0,969200.0,254929.13195259497,422033.4419464161,3762.656140285297,0.0,OK,620.0,85.0,0.0,0.0,705.0,0.0,0.0,0.0,0.33,3217890.0,10545.0
APAR Industries Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,18581.21169103,0.55,0.0374641669027132,0.005225,0.0012720886403563,0.005225,0.0064970886403563,0.0846345499999999,Tier 2,75%,39329.0,122479.0,4667283.0,363693.0,12327.08,0.0,4829091.0,259891.0706308364,19573.158416551018,663.4163694475773,0.0,OK,185.0,25.0,0.0,0.0,210.0,0.0,0.0,0.0,5.4,,
APL Apollo Tubes Limited,Steel & Iron,Delhi,Delhi,20689.540554482,0.62,0.0840934065650114,0.0096249999999999,0.0028768919091931,0.0096249999999999,0.012501891909193,0.1744338749999981,Tier 2,75%,31243.0,124341.0,1163120.0,907155.0,143644.0,0.0,1318704.0,63737.71309843455,43846.06790137164,6942.831795696025,0.0,OK,285.0,45.0,0.0,0.0,330.0,0.0,0.0,0.0,13.12,1580000.0,207296.0
ARVIND LIMITED,Textiles & Apparel,Bangalore,Karnataka,8621.9527161,0.48,0.04,0.006,0.0024812613078314,0.006,0.0084812613078314,0.046428,Tier 2,75%,253283.0,190808.0,154000.0,2684426.0,34493.0,32.0,444091.0,51507.00944702899,311347.79885620344,4000.60185154928,0.0,OK,850.0,115.0,0.0,25.0,965.0,0.0,0.0259067357512953,25.0,43.3,9771300.0,4227890.0
