Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag,Land_Owned_ha,Land_Leased_ha,Total_Land_ha,Land_Degraded_Reported_ha,Land_Degraded_HA_Calculated,Land_Degradation_Pct,Land_Restored_ha,Land_Data_Quality,Renewable_Energy_Pct,Land_Degradation_Ratio,Land_Restoration_Ratio,Net_Land_Impact,Distance_To_Protected_Area_km,Land_Degraded_HA_Reported,Land_Intensity,PA_Proximity_Score,Renewable_Energy_GJ,Total_Energy_GJ,Water_Intensity,Water_Stress_Category,Water_Stress_Score,Water_Recycling_Pct,Water_Discharge_ML,Waste_Recycled_Pct,Plastic_Waste_MT,E_Waste_MT,Scope3_OLD
360 ONE WAM LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,3295.0930124,0.55,0.0374641669027132,0.005225,0.0104861535860011,0.005225,0.0157111535860011,17.21686098979,Tier 2,75%,0.21,381.07,1200.0,14350.0,36.2,,1581.28,479.88933667407025,4354.960526455092,10.98603282631877,,OK,0.0,5.0,5.0,0.0,1.1,22.000000000000004,0.0,MSA_PROXY_HIGH,83.0,0.22,0.0,0.22,0.0,1.1,1.5174078489390566,0.0,6922.84,8335.0,4354.960526455092,Low-Medium (1-2),1.6740104458720415,0.0,0.0,90.0,1.89,0.45,0.010267125
3M INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,4445.5563083,0.62,0.0374641669027132,0.005225,0.0056432904469587,0.005225,0.0108682904469586,23.228031710867494,Tier 2,75%,4550.0,10774.0,551734.0,88437.0,4531.55,0.0,567058.0,127556.13936129525,19893.348293639923,1019.3437414209436,0.0,OK,45.0,15.0,60.0,0.0,37.5,62.5,0.0,MSA_PROXY_HIGH,12.35,0.625,0.0,0.625,0.0,37.5,13.496623558221055,0.0,12200.0,98823.0,19893.348293639923,High (3-4),3.003465928782394,24.5,12450.0,72.0,84.2,2.1,0.0215061
ACC Limited,Cement Manufacturing,Bangalore,Karnataka,20594.0,0.48,0.0777832037429109,0.0033,0.0018706316847836,0.0033,0.0051706316847836,67.9602,Tier 2,75%,13488976.0,625212.0,2850000.0,4799919.85,477485.5,28500.0,16964188.0,823744.1973390307,233073.70350587548,23185.66087209867,0.0,OK,5400.0,1100.0,6500.0,,,,120.0,,16.5,0.0223076923076923,0.0184615384615384,,0.0,145.0,315.6259104593571,0.0,13435125.0,81425000.0,233073.70350587548,Extremely High (4-5),5.0,14.8,0.0,99.0,12450.0,12.4,0.0658647
ADANI POWER LIMITED,Power Generation,Chennai,Tamil Nadu,60281.0,0.52,0.1562256571307733,0.0054449999999999,0.0016134206213978,0.0054449999999999,0.0070584206213977,328.23004499999394,Tier 2,75%,86427664.95,1366.59,24135597.0,752186371.0,15451984.18988,11250.0,110564628.54,1834153.8551118926,12478000.879215673,256332.57892005774,0.0,OK,5200.0,850.0,6050.0,,,,145.0,,,0.7750082644628099,0.0239669421487603,,0.0,4688.8,100.36329855178248,0.0,0.0,550524091.5,12478000.879215673,Extremely High (4-5),4.995278852201768,80.7,198418.0,99.5,176.9,107.74,0.274161194999995
AIA ENGINEERING LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,4062.0415,0.58,0.0374641669027132,0.005225,0.0044581897422186,0.005225,0.0096831897422186,21.2241668375,Tier 2,75%,28902.21,147511.55,120225.78,249578.0,134380.48,0.0,296639.54,73027.20565508747,61441.518999744345,33082.00568605712,0.0,OK,145.0,12.0,157.0,,,,,,10.0,0.6248407643312102,,,0.0,98.1,38.650516002852264,0.0,306457.92,1803142.4,61441.518999744345,Extremely High (4-5),4.988669245284243,100.0,0.0,100.0,293.0,1.25,0.0254666499999999
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals & Healthcare,Hyderabad,Telangana,6032.632314292,0.45,0.0144770016599194,0.003465,0.0010456903285656,0.003465,0.0045106903285656,20.90307096902178,Tier 2,75%,80278.03,77965.98,36621.03640934153,769226.41,43512.18,0.0,194865.04640934154,32301.827172142388,127510.905675059,7212.801598551703,0.0,OK,45.2,12.5,57.7,,,,,,10.0,5.114384748700173,,,0.0,295.1,9.56464723754207,0.0,201587.13,1089121.56,127510.905675059,Extremely High (4-5),5.0,25.0,0.0,92.0,145.0,4.2,0.02158695
ALKYL AMINES CHEMICALS LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,1601.62,0.42,0.0374641669027132,0.005225,0.0108967798470495,0.005225,0.0161217798470495,8.368464499999998,Tier 2,75%,360680.0,24352.0,293070.0,771103.0,14128.354,18.0,678102.0,423385.07261397835,481451.90494624194,8821.28969418464,0.0,OK,40.5,8.2,48.7,,,,,,5.4,0.8603696098562628,,,0.0,41.9,30.406713202882084,0.0,139927.0,2587987.0,481451.90494624194,Medium-High (2-3),2.9185624661362515,7.23,0.0,13.09,12.0,0.8,0.0075448999999999
ALOK INDUSTRIES LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,3801.8408982,0.51,0.0374641669027132,0.005225,0.003469534251023,0.005225,0.008694534251023,19.864618693095,Tier 2,75%,969200.0,324500.0,57062.50014455038,1604504.0,14305.02,12.0,1350762.5001445503,355291.69586872385,422033.4419464161,3762.656140285297,0.0,OK,620.0,85.0,705.0,,,,,,0.33,0.4750354609929078,,,0.0,334.9,185.43648166176172,0.0,10545.0,3217890.0,422033.4419464161,Extremely High (4-5),4.154129163728129,42.0,154200.0,68.5,540.0,2.4,0.0287740749999999
APAR Industries Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,18581.21169103,0.55,0.0374641669027132,0.005225,0.0012720886403563,0.005225,0.0064970886403563,97.08683108563174,Tier 2,75%,39329.0,122479.0,4667283.0,363693.0,12327.08,0.0,4829091.0,259891.0706308364,19573.158416551018,663.4163694475773,0.0,OK,185.0,25.0,210.0,,,,,,5.4,0.6252380952380953,,,0.0,131.3,11.301738739749496,0.0,36630.0,832500.0,19573.158416551018,Extremely High (4-5),4.988669245284243,100.0,0.0,95.3,124.0,8.6,0.0846345499999999
APL Apollo Tubes Limited,Steel & Iron,Delhi,Delhi,20689.540554482,0.62,0.0840934065650114,0.0096249999999999,0.0028768919091931,0.0096249999999999,0.012501891909193,199.1368278368872,Tier 2,75%,31243.0,124341.0,1163120.0,907155.0,143644.0,0.0,1318704.0,63737.71309843455,43846.06790137164,6942.831795696025,0.0,OK,285.0,45.0,330.0,,,,,,13.12,0.001,,,0.0,0.33,15.95008836136343,0.0,207296.0,1580000.0,43846.06790137164,Extremely High (4-5),4.704085603036913,45.0,0.0,80.0,528.0,12.0,0.1744338749999981
