Company_Name,Sector,City,State,Revenue_Cr,Base_MSA_Loss,V7_Direct_EIF,V7_Scope3_Factor,MSA_Intensity_Direct,MSA_Intensity_Scope3,MSA_Intensity_V7_Total,Scope3_Biodiversity_MSA,Data_Tier,Confidence,Scope1_GHG_tCO2e,Scope2_GHG_tCO2e,Scope3_GHG_tCO2e,Water_Consumption_KL,Waste_Generated_MT,Hazardous_Air_Pollutants,Total_GHG_Emissions_tCO2e,GHG_Emissions_Normalized,Water_Consumption_Normalized,Waste_Generated_Normalized,Pollution_Index,Data_Quality_Flag,Land_Owned_ha,Land_Leased_ha,Total_Land_ha,Land_Degraded_HA_Calculated,Land_Restored_ha,Land_Data_Quality,Renewable_Energy_Pct,Land_Degradation_Ratio,Land_Restoration_Ratio,Net_Land_Impact,Distance_To_Protected_Area_km,Land_Degraded_HA_Reported,Land_Intensity,PA_Proximity_Score,Renewable_Energy_GJ,Total_Energy_GJ,Water_Intensity,Water_Stress_Category,Water_Stress_Score,Water_Recycling_Pct,Water_Discharge_ML,Waste_Recycled_Pct,Plastic_Waste_MT,E_Waste_MT,Scope3_OLD,Carbon_Intensity_tCO2e_per_Cr,Waste_Intensity_MT_per_Cr,HAP_Source,HAP_Confidence,HAP_Zero_Category,HAP_Source_Document,HAP_Notes,Water_Discharge_Source,Water_Discharge_Confidence,Water_Discharge_Zero_Category,Water_Discharge_Source_Document,Water_Discharge_Notes,Water_Recycling_Source,Water_Recycling_Confidence,Water_Recycling_Zero_Category,Water_Recycling_Source_Document,Water_Recycling_Notes,Land_Owned_Source,Land_Owned_Confidence,Land_Owned_Zero_Category,Land_Owned_Source_Document,Land_Owned_Notes,Renewable_Energy_Source,Renewable_Energy_Confidence,Renewable_Energy_Zero_Category,Renewable_Energy_Source_Document,Renewable_Energy_Notes,Total_GHG_Emissions_tCO2e_Source,Total_GHG_Emissions_tCO2e_Confidence,Carbon_Intensity_tCO2e_per_Cr_Source,Carbon_Intensity_tCO2e_per_Cr_Confidence,GHG_Emissions_Normalized_Source,GHG_Emissions_Normalized_Confidence,Water_Stress_Score_Source,Water_Stress_Score_Confidence,Renewable_Energy_GJ_Source,Renewable_Energy_GJ_Confidence,Land_Degraded_HA_Reported_Zero_Category,Land_Restored_ha_Zero_Category,Land_Restoration_Ratio_Zero_Category,Land_Leased_ha_Zero_Category,Renewable_Energy_GJ_Zero_Category,Scope1_GHG_tCO2e_Zero_Category,Scope2_GHG_tCO2e_Zero_Category,Water_Consumption_Normalized_Zero_Category,Water_Intensity_Zero_Category,Waste_Generated_Normalized_Zero_Category,Land_Intensity_Zero_Category,Plastic_Waste_MT_Zero_Category,Waste_Recycled_Pct_Zero_Category,Waste_Generated_MT_Zero_Category,Waste_Intensity_MT_per_Cr_Zero_Category,Total_Land_ha_Zero_Category,Land_Degraded_HA_Calculated_Zero_Category,Water_Consumption_KL_Zero_Category,Waste_Generated_MT_Notes,Plastic_Waste_MT_Notes,Scope3_GHG_tCO2e_Notes,Water_Consumption_KL_Notes,Total_GHG_Emissions_tCO2e_Source_Document,Carbon_Intensity_tCO2e_per_Cr_Source_Document,GHG_Emissions_Normalized_Source_Document,Water_Intensity_Source,Water_Intensity_Confidence,Water_Intensity_Source_Document,Water_Consumption_Normalized_Source,Water_Consumption_Normalized_Confidence,Water_Consumption_Normalized_Source_Document,Waste_Intensity_MT_per_Cr_Source,Waste_Intensity_MT_per_Cr_Confidence,Waste_Intensity_MT_per_Cr_Source_Document,Waste_Generated_Normalized_Source,Waste_Generated_Normalized_Confidence,Waste_Generated_Normalized_Source_Document,Land_Intensity_Source,Land_Intensity_Confidence,Land_Intensity_Source_Document,Water_Stress_Score_Source_Document,NC_Climate_Cr,NC_Water_Cr,NC_Land_Cr,NC_Biodiversity_Cr,NC_Pollution_Cr,TAESC_Cr,NIR,NII_Score,NII_Rank,NII_Sector_Rank,NII_Rating,NII_Percentile
360 ONE WAM LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,3295.0930124,0.55,0.0374641669027132,0.005225,0.0104861535860011,0.005225,0.0157111535860011,17.21686098979,Tier 2,75%,0.21,381.07,1200.0,14350.0,36.2,0.0,1581.28,479.8893366740703,4354.960526455092,10.98603282631877,,OK,0.0,5.0,5.0,2.6255,0.0,MSA_PROXY_HIGH,83.0,0.5251,0.0,0.22,5.972208838233445,0.0,0.001517407848939,0.1322028653087447,6922.84,8335.0,4354.960526455092,Low-Medium (1-2),1.6740104458720415,0.0,0.0,90.0,1.89,0.45,0.010267125,0.4798893366740702,0.0109860328263187,GEMINI_G6.1_405_HAP,HIGH,LEGITIMATE_SERVICE,BRSR FY24,Service sector (Wealth Mgmt) - BRSR explicitly reports Nil,PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_SERVICE,,Pre-existing zero - LEGITIMATE_SERVICE,PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_NO_DISCLOSURE,,No water recycling data disclosed after multiple Gemini attempts - retained as zero per user directive,PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_SERVICE,,Pre-existing zero - LEGITIMATE_SERVICE,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,0.0,0.28794844908437417,0.45004,287.7637102515108,0.052419999999999994,288.55411870059515,0.08757085691199505,5.3,245,66,Average,53.0
3M INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,4445.5563083,0.62,0.0374641669027132,0.005225,0.0056432904469587,0.005225,0.0108682904469586,23.22803171086749,Tier 2,75%,4550.0,10774.0,551734.0,88437.0,4531.55,14.22,567058.0,127556.13936129524,19893.348293639923,1019.3437414209436,0.0,OK,45.0,15.0,60.0,31.506,0.0,MSA_PROXY_HIGH,12.35,0.5251,0.0,0.625,13.640964455332464,0.0,0.013496623558221,0.0175372615277789,12200.0,98823.0,19893.348293639923,High (3-4),3.003465928782394,24.5,12450.0,72.0,84.2,2.1,0.0215061,127.55613936129524,1.0193437414209436,GEMINI_G6.1_405_HAP,HIGH,,BRSR FY24,"NOx: 6.45t, SOx: 0.12t, PM: 7.65t",PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,245.14799,2.4857316728245964,5.40048,259.18232193828493,6.236795,518.4533186111096,0.11662282123007647,3.7,329,100,Poor,37.0
ACC Limited,Cement Manufacturing,Bangalore,Karnataka,20594.0,0.48,0.0777832037429109,0.0033,0.0018706316847836,0.0033,0.0051706316847836,67.9602,Tier 2,75%,13488976.0,625212.0,2850000.0,4799919.85,477485.5,28500.0,16964188.0,823744.1973390307,233073.70350587548,23185.66087209867,0.0,OK,5400.0,1100.0,6500.0,3076.45,120.0,,16.5,0.4733,3.900599717206521,,101.9533924897166,145.0,0.3156259104593571,0.0043541335548765,13435125.0,81425000.0,233073.70350587548,Extremely High (4-5),5.0,14.8,0.0,99.0,12450.0,12.4,0.0658647,823.7441973390307,23.18566087209867,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_ZLD,,Pre-existing zero - LEGITIMATE_ZLD,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,,,,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,10604.582575,222.23628905499996,605.316,848.8927343041491,546.022155,12827.04975335915,0.6228537318325313,0.8,481,10,Critical,8.0
ADANI POWER LIMITED,Energy & Power,Chennai,Tamil Nadu,60281.0,0.52,0.1562256571307733,0.0054449999999999,0.0016134206213978,0.0054449999999999,0.0070584206213977,328.23004499999394,Tier 2,75%,86427664.95,1366.59,24135597.0,752186371.0,15451984.18988,11250.0,110564628.54,1834153.8551118928,12478000.879215673,256332.5789200577,0.0,OK,5200.0,850.0,6050.0,3176.25,145.0,,0.0,0.525,4.565131837859111,,13.640964455332464,0.0,0.1003632985517824,0.0092296237810717,0.0,550524091.5,12478000.879215673,Extremely High (4-5),4.995278852201768,80.7,198418.0,99.5,176.9,107.74,0.274161194999995,1834.1538551118929,256.33257892005776,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_NO_DISCLOSURE,,No renewable energy data disclosed after multiple Gemini attempts - retained as zero per user directive,CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,,,,LEGITIMATE_NO_DISCLOSURE,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,83722.305534,22414.893988982167,514.5,2833.8198434739406,15531.445290829404,125016.96465728551,2.073903297179634,0.3,507,24,Critical,3.0
AIA ENGINEERING LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,4062.0415,0.58,0.0374641669027132,0.005225,0.0044581897422186,0.005225,0.0096831897422186,21.2241668375,Tier 2,75%,28902.21,147511.55,120225.78,249578.0,134380.48,41.1,296639.54,73027.20565508747,61441.518999744345,33082.00568605712,0.0,OK,145.0,12.0,157.0,82.4407,0.0,,16.995769163877462,0.5251,0.0,,13.640964455332464,0.0,0.0386505160028522,0.017302317069197,306457.92,1803142.4,61441.518999744345,Extremely High (4-5),4.988669245284243,100.0,0.0,100.0,293.0,1.25,0.0254666499999999,73.02720565508747,33.08200568605712,GEMINI_G6.1_405_HAP,HIGH,,BRSR FY24,"PM: 6.55t, NOx: 33.72t, SOx: 0.83t",PRE_V7_BASELINE,HIGH,LEGITIMATE_VERIFIED,,"Triple-validated by Gemini: Verified Standalone BRSR: ""Total water discharge: Nil"". Plant uses ETP/STP and 100% of treated water is used for horticulture.",PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_FROM_GJ,HIGH,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,141.656107604,6.226724418047979,14.131256,221.9186397166556,135.856285,519.7890127387036,0.1279625067195162,3.4,344,105,Poor,34.0
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals & Healthcare,Hyderabad,Telangana,6032.632314292,0.45,0.0144770016599194,0.003465,0.0010456903285656,0.003465,0.0045106903285656,20.90307096902178,Tier 2,75%,80278.03,77965.98,36621.03640934153,769226.41,43512.18,214.3,194865.0464093416,32301.827172142388,127510.905675059,7212.801598551703,0.0,OK,45.2,12.5,57.7,30.292500000000004,0.0,,18.50914878592616,0.525,0.0,,101.9533924897166,0.0,0.009564647237542,0.0052751297731846,201587.13,1089121.56,127510.905675059,Extremely High (4-5),5.0,25.0,0.0,92.0,145.0,4.2,0.02158695,32.3018271721424,7.212801598551703,GEMINI_G6.1_405_HAP,HIGH,,BRSR FY24,"PM: 56.4t, NOx: 104.2t, SOx: 53.7t",PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_ZLD,,Pre-existing zero - LEGITIMATE_ZLD,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_FROM_GJ,HIGH,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,111.00376317997015,33.6536554375,4.2698,235.6456742186358,47.7582694,432.33116223610597,0.07166542559072657,6.6,176,22,Good,66.0
ALKYL AMINES CHEMICALS LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,1601.62,0.42,0.0374641669027132,0.005225,0.0108967798470495,0.005225,0.0161217798470495,8.368464499999998,Tier 2,75%,360680.0,24352.0,293070.0,771103.0,14128.354,18.0,678102.0,423385.0726139784,481451.90494624194,8821.28969418464,0.0,OK,40.5,8.2,48.7,25.572370000000003,0.0,,5.4,0.5251,0.0,,5.972208838233445,0.0,0.030406713202882,0.0762498761335237,139927.0,2587987.0,481451.90494624194,Medium-High (2-3),2.9185624661362515,7.23,0.0,13.09,12.0,0.8,0.0075448999999999,423.3850726139784,8.821289694184639,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_ZLD,,Pre-existing zero - LEGITIMATE_ZLD,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,424.7140974,23.238544424549247,4.3833896,86.72207066937152,26.4738064614,565.5319085553208,0.3530999291687921,1.3,455,142,Critical,13.0
ALOK INDUSTRIES LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,3801.8408982,0.51,0.0374641669027132,0.005225,0.003469534251023,0.005225,0.008694534251023,19.864618693095,Tier 2,75%,969200.0,324500.0,57062.50014455038,1604504.0,14305.02,12.0,1350762.5001445503,355291.69586872385,422033.4419464161,3762.656140285297,0.0,OK,620.0,85.0,705.0,370.1955,0.0,,0.33,0.5251,0.0,,13.640964455332464,0.0,0.1854364816617617,0.0205438313570802,10545.0,3217890.0,422033.4419464161,Extremely High (4-5),4.154129163728129,42.0,154200.0,68.5,540.0,2.4,0.0287740749999999,355.2916958687239,3.7626561402852974,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,1121.852941561434,53.7281936725981,63.45564,187.35402842389823,21.5285013,1447.91930495793,0.3808468959454496,1.2,460,143,Critical,12.0
APAR Industries Limited,Manufacturing - Engineering,Mumbai,Maharashtra,18581.21169103,0.55,0.0374641669027132,0.005225,0.0012720886403563,0.005225,0.0064970886403563,97.08683108563174,Tier 2,75%,39329.0,122479.0,4667283.0,363693.0,12327.08,12.4,4829091.0,259891.0706308364,19573.158416551018,663.4163694475773,0.0,OK,185.0,25.0,210.0,110.271,0.0,,5.4,0.5251,0.0,,13.640964455332464,0.0,0.0113017387397494,0.0177279120443449,36630.0,832500.0,19573.158416551018,Extremely High (4-5),4.988669245284243,100.0,0.0,95.3,124.0,8.6,0.0846345499999999,259.8910706308364,0.6634163694475773,GEMINI_G6.1_405_HAP,MEDIUM,,BRSR FY24,Sum of PM and NOx from manufacturing units,PRE_V7_BASELINE,HIGH,LEGITIMATE_ZLD,,"Triple-validated by Gemini: Industrial manufacturing. Verified: ""No industrial wastewater is discharged into the environment."" Zero Liquid Discharge (ZLD) maintained at sites.",PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,2114.033181,9.073780877213231,17.22168,967.5738046012033,13.587272760000003,3121.4897192384165,0.1679917204078409,2.5,392,11,Poor,25.0
APL Apollo Tubes Limited,Metals & Mining,Delhi,Delhi,20689.540554482,0.62,0.0840934065650114,0.0096249999999999,0.0028768919091931,0.0096249999999999,0.012501891909193,199.1368278368872,Tier 2,75%,31243.0,124341.0,1163120.0,907155.0,143644.0,186.5,1318704.0,63737.71309843455,43846.06790137164,6942.831795696025,0.0,OK,285.0,45.0,330.0,239.25,0.0,,13.12,0.725,0.0,,13.640964455332464,0.0,0.0159500883613634,0.0171055158691063,207296.0,1580000.0,43846.06790137164,Extremely High (4-5),4.704085603036913,45.0,0.0,80.0,528.0,24.0,0.1744338749999981,63.73771309843455,6.9428317956960255,GEMINI_G6.1_405_HAP,HIGH,,BRSR FY24,"PM: 42.1t, NOx: 98.2t, SOx: 46.2t",PRE_V7_BASELINE,LOW-MEDIUM,LEGITIMATE_ZLD,,Pre-existing zero - LEGITIMATE_ZLD,PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),PRE_V7_BASELINE,MEDIUM,,,Carried forward from earlier version (v3/v4/GIS),CALCULATED_SUM_SCOPES,MEDIUM,CALCULATED_RATIO_GHG_REVENUE,MEDIUM,CALCULATED_MEDIAN_NORM,MEDIUM,CALCULATED_GIS_AQUEDUCT,HIGH,,,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_DISCLOSURE,LEGITIMATE_NO_RESTORATION_PROGRAM,,,,,,,,,,,,,,,,,,,,Calculated: Scope1 + Scope2 + Scope3,Calculated: Total_GHG / Revenue_Cr,Calculated: (Total_GHG / Median) * 100000,CALCULATED_RATIO_WATER_REVENUE,MEDIUM,Calculated: Water_Consumption / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Water_Consumption / Median) * 100000,CALCULATED_RATIO_WASTE_REVENUE,MEDIUM,Calculated: Waste_Generated / Revenue_Cr,CALCULATED_MEDIAN_NORM,MEDIUM,Calculated: (Waste_Generated / Median) * 100000,CALCULATED_RATIO_LAND_REVENUE,MEDIUM,Calculated: Total_Land / Revenue_Cr,WRI Aqueduct 3.0 baseline water stress by state,586.3984352,33.27988568218008,38.94,1248.6455331784925,175.190125,2082.4539790606727,0.10065249992269878,4.3,297,3,Average,43.0
