Company_Name,Indicator,Value,Previous_Value,Source_Task,Source_Document,Source_Page,Confidence,Extraction_Date,Integration_Date,Tier,Validation_Status,Notes
Aditya Birla Sun Life AMC Limited,Scope2_GHG_tCO2e,509.81,0.0,G6.1,BRSR FY2023-24,Page 51,HIGH,2026-01-17,2026-01-17,Tier 1,PASSED,Delta merge: 0.0 → 509.81
Aegis Logistics Limited,Scope1_GHG_tCO2e,17458.0,,G6.1,BRSR FY2023-24,Page 70,HIGH,2026-01-17,2026-01-17,Tier 1,PASSED,New addition
CE INFO SYSTEMS LIMITED,Scope1_GHG_tCO2e,0.0,,G6.1,BRSR FY2023-24,Page 83,HIGH,2026-01-17,2026-01-17,Tier 1,PASSED,New addition
Easy Trip Planners Limited,Scope1_GHG_tCO2e,0.0,0.0,G6.1,BRSR FY2023-24,Page 137,HIGH,2026-01-17,2026-01-17,Tier 1,PASSED,Delta merge: 0.0 → 0.0
Hitachi Energy India Limited,Scope2_GHG_tCO2e,0.0,0.0,G6.1,BRSR FY2023-24,Page 65,HIGH,2026-01-17,2026-01-17,Tier 1,PASSED,Delta merge: 0.0 → 0.0
Jio Financial Services Limited,Scope1_GHG_tCO2e,0.0,0.0,G6.1,BRSR FY2023-24,Page 6,HIGH,2026-01-17,2026-01-17,Tier 1,PASSED,Delta merge: 0.0 → 0.0
MAHARASHTRA SCOOTERS LIMITED,Scope1_GHG_tCO2e,0.0,,G6.1,BRSR FY2023-24,Page 60,HIGH,2026-01-17,2026-01-17,Tier 1,PASSED,New addition
Mahindra Holidays  Resorts India Limited,Scope3_GHG_tCO2e,47845.0,,G6.1,BRSR FY2023-24,Page 74,HIGH,2026-01-17,2026-01-17,Tier 1,PASSED,New addition
NUVAMA WEALTH MANAGEMENT LIMITED,Scope1_GHG_tCO2e,0.0,0.0,G6.1,BRSR FY2023-24,Page 154,HIGH,2026-01-17,2026-01-17,Tier 1,PASSED,Delta merge: 0.0 → 0.0
RELIANCE POWER LIMITED,Scope2_GHG_tCO2e,0.0,0.0,G6.1,BRSR FY2023-24,Page 92,HIGH,2026-01-17,2026-01-17,Tier 1,PASSED,Delta merge: 0.0 → 0.0
Route Mobile Limited,Scope1_GHG_tCO2e,0.0,0.0,G6.1,BRSR FY2023-24,Page 3,HIGH,2026-01-17,2026-01-17,Tier 1,PASSED,Delta merge: 0.0 → 0.0
