Company_Name,Facility_Type,City,Latitude,Longitude,Data_Source,Data_Tier
360 ONE WAM LIMITED,Headquarters,Mumbai,19.107522,72.876481,Estimated (city-level),Tier 3
3M INDIA LIMITED,Headquarters,Delhi,28.669207,77.140579,Estimated (city-level),Tier 3
ACC Limited,Headquarters,Bangalore,12.989094,77.575693,Estimated (city-level),Tier 3
ADANI POWER LIMITED,Headquarters,Chennai,13.071779,80.252498,Estimated (city-level),Tier 3
AIA ENGINEERING LIMITED,Headquarters,Kolkata,22.496764,88.322466,Estimated (city-level),Tier 3
ALEMBIC PHARMACEUTICALS LIMITED,Headquarters,Hyderabad,17.468053,78.394291,Estimated (city-level),Tier 3
ALKYL AMINES CHEMICALS LIMITED,Headquarters,Pune,18.462075,73.868379,Estimated (city-level),Tier 3
ALOK INDUSTRIES LIMITED,Headquarters,Ahmedabad,22.982464,72.50119,Estimated (city-level),Tier 3
APAR Industries Limited,Headquarters,Mumbai,19.033024,72.903269,Estimated (city-level),Tier 3
APL Apollo Tubes Limited,Headquarters,Delhi,28.717993,77.145229,Estimated (city-level),Tier 3
ARVIND LIMITED,Headquarters,Bangalore,12.980427,77.59724,Estimated (city-level),Tier 3
AU Small Finance Bank Limited,Headquarters,Chennai,13.100399,80.28352,Estimated (city-level),Tier 3
AUROBINDO PHARMA LIMITED,Headquarters,Kolkata,22.64827,88.371397,Estimated (city-level),Tier 3
Aarti Industries Limited,Headquarters,Hyderabad,17.345062,78.500673,Estimated (city-level),Tier 3
Aavas Financiers Limited,Headquarters,Pune,18.455685,73.776875,Estimated (city-level),Tier 3
Adani Energy Solutions Limited,Headquarters,Ahmedabad,23.118941,72.546408,Estimated (city-level),Tier 3
Adani Enterprises Limited,Headquarters,Mumbai,19.12934,72.960905,Estimated (city-level),Tier 3
Adani Ports and Special Economic Zone Limited,Headquarters,Delhi,28.793205,77.159703,Estimated (city-level),Tier 3
Adani Total Gas Limited,Headquarters,Bangalore,12.888265,77.675586,Estimated (city-level),Tier 3
Aditya Birla Capital Limited,Headquarters,Chennai,13.084865,80.349514,Estimated (city-level),Tier 3
Aditya Birla Fashion and Retail Limited,Headquarters,Kolkata,22.640563,88.457235,Estimated (city-level),Tier 3
Aditya Birla Sun Life AMC Limited,Headquarters,Hyderabad,17.325048,78.545449,Estimated (city-level),Tier 3
Aegis Logistics Limited,Headquarters,Pune,18.526393,73.92912,Estimated (city-level),Tier 3
Aether Industries Limited,Headquarters,Ahmedabad,23.070679,72.512641,Estimated (city-level),Tier 3
Ajanta Pharma Limited,Headquarters,Mumbai,19.053053,72.853532,Estimated (city-level),Tier 3
Akzo Nobel India Limited,Headquarters,Delhi,28.717853,77.012433,Estimated (city-level),Tier 3
Alkem Laboratories Limited,Headquarters,Bangalore,12.968073,77.635149,Estimated (city-level),Tier 3
Amara Raja Energy  Mobility Limited,Headquarters,Chennai,13.109752,80.17798,Estimated (city-level),Tier 3
Amber Enterprises India Limited,Headquarters,Kolkata,22.520152,88.335589,Estimated (city-level),Tier 3
Ambuja Cements Limited,Headquarters,Hyderabad,17.346443,78.40512,Estimated (city-level),Tier 3
Anand Rathi Wealth Limited,Headquarters,Pune,18.511583,73.877228,Estimated (city-level),Tier 3
Anant Raj Limited,Headquarters,Ahmedabad,23.043707,72.480973,Estimated (city-level),Tier 3
Anupam Rasayan India Limited,Headquarters,Mumbai,19.067937,72.904753,Estimated (city-level),Tier 3
Apollo Tyres Limited,Headquarters,Delhi,28.674907,77.007367,Estimated (city-level),Tier 3
Aptus Value Housing Finance India Limited,Headquarters,Bangalore,13.039586,77.549314,Estimated (city-level),Tier 3
Asahi India Glass Limited,Headquarters,Chennai,13.003185,80.212185,Estimated (city-level),Tier 3
Ashok Leyland Limited,Headquarters,Kolkata,22.571527,88.414867,Estimated (city-level),Tier 3
Asian Paints Limited,Headquarters,Hyderabad,17.31678,78.492119,Estimated (city-level),Tier 3
Aster DM Healthcare Limited,Headquarters,Pune,18.502823,73.764715,Estimated (city-level),Tier 3
AstraZeneca Pharma India Limited,Headquarters,Ahmedabad,22.924785,72.640134,Estimated (city-level),Tier 3
Astral Limited,Headquarters,Mumbai,19.16898,72.874681,Estimated (city-level),Tier 3
Atul Limited,Headquarters,Delhi,28.668401,77.201246,Estimated (city-level),Tier 3
Authum Investment  Infrastructure Limited,Headquarters,Bangalore,12.921276,77.538783,Estimated (city-level),Tier 3
Avenue Supermarts Limited,Headquarters,Chennai,13.004613,80.224298,Estimated (city-level),Tier 3
Axis Bank Limited,Headquarters,Kolkata,22.561024,88.353755,Estimated (city-level),Tier 3
BAJAJ ELECTRICALS LIMITED,Headquarters,Hyderabad,17.426359,78.509309,Estimated (city-level),Tier 3
BANK OF INDIA,Headquarters,Pune,18.563378,73.874959,Estimated (city-level),Tier 3
BANK OF MAHARASHTRA,Headquarters,Ahmedabad,22.974003,72.572701,Estimated (city-level),Tier 3
BASF India Limited,Headquarters,Mumbai,19.147383,72.795872,Estimated (city-level),Tier 3
BATA INDIA LIMITED,Headquarters,Delhi,28.637794,77.029503,Estimated (city-level),Tier 3
BEML Limited,Headquarters,Bangalore,13.028486,77.618091,Estimated (city-level),Tier 3
BHARAT ELECTRONICS LIMITED,Headquarters,Chennai,13.172931,80.182834,Estimated (city-level),Tier 3
BHARAT HEAVY ELECTRICALS LIMITED,Headquarters,Kolkata,22.631549,88.398227,Estimated (city-level),Tier 3
BLS International Services Limited,Headquarters,Hyderabad,17.414634,78.506366,Estimated (city-level),Tier 3
Bajaj Auto Limited,Headquarters,Pune,18.468896,73.936041,Estimated (city-level),Tier 3
Bajaj Finance Limited,Headquarters,Ahmedabad,23.065264,72.536495,Estimated (city-level),Tier 3
Bajaj Finserv Limited,Headquarters,Mumbai,19.03757,72.856599,Estimated (city-level),Tier 3
Bajaj Holdings  Investment Limited,Headquarters,Delhi,28.621348,77.158087,Estimated (city-level),Tier 3
Balkrishna Industries Limited,Headquarters,Bangalore,12.958765,77.669677,Estimated (city-level),Tier 3
Balrampur Chini Mills Limited,Headquarters,Chennai,13.158887,80.198648,Estimated (city-level),Tier 3
Bandhan Bank Limited,Headquarters,Kolkata,22.651884,88.437591,Estimated (city-level),Tier 3
Bharat Dynamics Limited,Headquarters,Hyderabad,17.325069,78.57227,Estimated (city-level),Tier 3
Bharat Forge Limited,Headquarters,Pune,18.49898,73.852989,Estimated (city-level),Tier 3
Bharti Airtel Limited,Headquarters,Ahmedabad,22.97651,72.664536,Estimated (city-level),Tier 3
Bharti Hexacom Limited,Headquarters,Mumbai,19.144758,72.929545,Estimated (city-level),Tier 3
Bikaji Foods International Limited,Headquarters,Delhi,28.656936,77.102938,Estimated (city-level),Tier 3
Biocon Limited,Headquarters,Bangalore,12.876946,77.495511,Estimated (city-level),Tier 3
Birla Corporation Limited,Headquarters,Chennai,13.019366,80.266871,Estimated (city-level),Tier 3
Birlasoft Limited,Headquarters,Kolkata,22.519636,88.306269,Estimated (city-level),Tier 3
Blue Dart Express Limited,Headquarters,Hyderabad,17.329813,78.439609,Estimated (city-level),Tier 3
Blue Star Limited,Headquarters,Pune,18.534024,73.899161,Estimated (city-level),Tier 3
Bosch limited,Headquarters,Ahmedabad,23.008972,72.511254,Estimated (city-level),Tier 3
Brigade Enterprises Limited,Headquarters,Mumbai,19.072031,72.904733,Estimated (city-level),Tier 3
Britannia Industries Limited,Headquarters,Delhi,28.71806,77.12796,Estimated (city-level),Tier 3
CCL Products India Limited,Headquarters,Bangalore,12.887837,77.631406,Estimated (city-level),Tier 3
CE INFO SYSTEMS LIMITED,Headquarters,Chennai,13.04196,80.23216,Estimated (city-level),Tier 3
CEAT Limited,Headquarters,Kolkata,22.627404,88.450012,Estimated (city-level),Tier 3
CERA Sanitaryware Limited,Headquarters,Hyderabad,17.302201,78.426708,Estimated (city-level),Tier 3
CESC Limited,Headquarters,Pune,18.476359,73.833763,Estimated (city-level),Tier 3
CG Power and Industrial Solutions Limited,Headquarters,Ahmedabad,23.054921,72.67084,Estimated (city-level),Tier 3
CHENNAI PETROLEUM CORPORATION LIMITED,Headquarters,Mumbai,18.991363,72.93592,Estimated (city-level),Tier 3
CITY UNION BANK LIMITED,Headquarters,Delhi,28.735542,77.040393,Estimated (city-level),Tier 3
COAL INDIA LIMITED,Headquarters,Bangalore,12.886375,77.572495,Estimated (city-level),Tier 3
COROMANDEL INTERNATIONAL LIMITED,Headquarters,Chennai,13.066483,80.250069,Estimated (city-level),Tier 3
Campus Activewear Limited,Headquarters,Kolkata,22.568916,88.431221,Estimated (city-level),Tier 3
