Company_Name,Sector,Revenue_Cr
360 ONE WAM LIMITED,Unknown,0
3M INDIA LIMITED,Unknown,0
Aarti Industries Limited,Unknown,0
Aavas Financiers Limited,Unknown,0
ACC Limited,Unknown,0
Adani Energy Solutions Limited,Unknown,0
Adani Enterprises Limited,Unknown,0
Adani Ports and Special Economic Zone Limited,Unknown,0
ADANI POWER LIMITED,Unknown,0
Adani Total Gas Limited,Unknown,0
Aditya Birla Capital Limited,Unknown,0
Aditya Birla Fashion and Retail Limited,Unknown,0
Aditya Birla Sun Life AMC Limited,Unknown,0
Aegis Logistics Limited,Unknown,0
Aether Industries Limited,Unknown,0
AIA ENGINEERING LIMITED,Unknown,0
Ajanta Pharma Limited,Unknown,0
Akzo Nobel India Limited,Unknown,0
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,0
Alkem Laboratories Limited,Unknown,0
ALKYL AMINES CHEMICALS LIMITED,Unknown,0
ALOK INDUSTRIES LIMITED,Unknown,0
Amara Raja Energy  Mobility Limited,Unknown,0
Amber Enterprises India Limited,Unknown,0
Ambuja Cements Limited,Unknown,0
Anand Rathi Wealth Limited,Unknown,0
Anant Raj Limited,Unknown,0
Anupam Rasayan India Limited,Unknown,0
APAR Industries Limited,Unknown,0
APL Apollo Tubes Limited,Unknown,0
Apollo Tyres Limited,Unknown,0
Aptus Value Housing Finance India Limited,Unknown,0
ARVIND LIMITED,Unknown,0
Asahi India Glass Limited,Unknown,0
Ashok Leyland Limited,Unknown,0
Asian Paints Limited,Unknown,0
Aster DM Healthcare Limited,Unknown,0
Astral Limited,Unknown,0
AstraZeneca Pharma India Limited,Unknown,0
Atul Limited,Unknown,0
AUROBINDO PHARMA LIMITED,Unknown,0
Authum Investment  Infrastructure Limited,Unknown,0
AU Small Finance Bank Limited,Unknown,0
Avenue Supermarts Limited,Unknown,0
Axis Bank Limited,Unknown,0
Bajaj Auto Limited,Unknown,0
BAJAJ ELECTRICALS LIMITED,Unknown,0
Bajaj Finance Limited,Unknown,0
Bajaj Finserv Limited,Unknown,0
Bajaj Holdings  Investment Limited,Unknown,0
Balkrishna Industries Limited,Unknown,0
Balrampur Chini Mills Limited,Unknown,0
Bandhan Bank Limited,Unknown,0
BANK OF INDIA,Unknown,0
BANK OF MAHARASHTRA,Unknown,0
BASF India Limited,Unknown,0
BATA INDIA LIMITED,Unknown,0
BEML Limited,Unknown,0
Bharat Dynamics Limited,Unknown,0
BHARAT ELECTRONICS LIMITED,Unknown,0
Bharat Forge Limited,Unknown,0
BHARAT HEAVY ELECTRICALS LIMITED,Unknown,0
Bharti Airtel Limited,Unknown,0
Bharti Hexacom Limited,Unknown,0
Bikaji Foods International Limited,Unknown,0
Biocon Limited,Unknown,0
Birlasoft Limited,Unknown,0
Birla Corporation Limited,Unknown,0
BLS International Services Limited,Unknown,0
Blue Dart Express Limited,Unknown,0
Blue Star Limited,Unknown,0
Bosch limited,Unknown,0
Brigade Enterprises Limited,Unknown,0
Britannia Industries Limited,Unknown,0
Campus Activewear Limited,Unknown,0
Canara Bank,Unknown,0
Can Fin Homes Limited,Unknown,0
