Database_Name,Audited_Name
Adani Ports and Special Economic Zone Limited,Adani Ports & SEZ Ltd
Aditya Birla Fashion and Retail Limited,Aditya Birla Fashion & Retail
Avenue Supermarts Limited,DMart (Avenue Supermarts)
BHARAT HEAVY ELECTRICALS LIMITED,Bharat Heavy Electricals (BHEL)
Bharat Heavy Electricals Limited (BHEL),Bharat Heavy Electricals (BHEL)
Dr Reddys Laboratories Limited,Dr Reddy's Laboratories
Hindustan Unilever Limited,Hindustan Unilever (HUL)
Hindustan Petroleum Corporation Limited,Hindustan Petroleum (HPCL)
HDFC Asset Management Company Limited,HDFC Asset Mgmt (AMC)
HINDUSTAN AERONAUTICS LIMITED,Hindustan Aeronautics (HAL)
Happiest Minds Technologies Limited,Happiest Minds Tech.
ICICI Lombard General Insurance Company Limited,ICICI Lombard Gen. Ins.
ICICI Prudential Life Insurance Company Limited,ICICI Prudential Life Ins.
Indian Oil Corporation Limited,Indian Oil (IOCL)
InterGlobe Aviation Limited,IndiGo (InterGlobe Aviation)
K.P.R. MILL LIMITED,KPR MILL LIMITED
KOTAK MAHINDRA BANK LIMITED,Kotak Mahindra Bank
Mahindra  Mahindra Limited,Mahindra & Mahindra (M&M)
Mahindra  Mahindra Financial Services Limited,M&M Financial Services
MOIL Limited,Oil India Limited
PB FINTECH LIMITED,PB Fintech (PolicyBazaar)
PUNJAB NATIONAL BANK,Punjab National Bank (PNB)
Power Finance Corporation Limited,Power Finance Corp (PFC)
Power Grid Corporation of India Limited,Power Grid Corp (PGCIL)
Praj Industries Limited,APAR Industries Limited
R R Kabel Limited,RR Kabel Limited
Rail Vikas Nigam Limited,Rail Vikas Nigam (RVNL)
Railtel Corporation of India Limited,Railtel Corp of India
Reliance Industries Limited,Reliance Industries (RIL)
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,Samvardhana Motherson
SBI Cards and Payment Services Limited,SBI Cards & Payment
STATE BANK OF INDIA,State Bank of India (SBI)
Star Health and Allied Insurance Company Limited,Star Health Insurance
Steel Authority of India Limited,Steel Authority (SAIL)
Sun Pharmaceutical Industries Limited,Sun Pharma Industries
Tata Consultancy Services Limited,Tata Consultancy (TCS)
Tata Investment Corporation Limited,Tata Investment Corporation
THE NEW INDIA ASSURANCE COMPANY LIMITED,New India Assurance
Torrent Pharmaceuticals Limited,Torrent Pharma Limited
Tube Investments of India Limited,Tube Investments
UNITED BREWERIES LIMITED,United Breweries (UBL)
United Spirits Limited,United Spirits (UNSP)
Varun Beverages (PepsiCo franchise),Varun Beverages Ltd
Welspun Living Limited (formerly Welspun India),Welspun Living Limited
Zee Entertainment Enterprises Limited,Zee Entertainment
HCL Technologies Limited,HCL Technologies Ltd
HDFC Life Insurance Company Limited,HDFC Life Insurance
UltraTech Cement Limited,UltraTech Cement Ltd
Vedanta,Vedanta Limited
TVS Motor Company Limited,TVS Motor Company Ltd
Tata Power,Tata Power Company Ltd
Tata Communications Limited,Tata Communications Ltd
Dixon Technologies India Limited,Dixon Technologies (India)
Gujarat State Petronet Limited,Gujarat State Petronet Ltd
Amara Raja Energy  Mobility Limited,Amara Raja Energy & Mobility
Balkrishna Industries Limited,Balkrishna Industries
Persistent Systems Limited,Persistent Systems Ltd
Piramal Enterprises Limited,Piramal Enterprises Ltd
Equitas Small Finance Bank Limited,Equitas Small Finance Bank
Kirloskar Oil Engines Limited,Kirloskar Oil Engines
Godrej Consumer Products Limited,Godrej Consumer Products
JINDAL STEEL  POWER LIMITED,JSW Steel & Power
Century Plyboards India Limited,Century Plyboards (India)
Devyani International Limited,Devyani International
Glenmark Pharmaceuticals Limited,Glenmark Pharma
Poonawalla Fincorp Limited,Poonawalla Fincorp Ltd
Firstsource Solutions Limited,Firstsource Solutions
Max Financial Services Limited,Max Financial Services
Endurance Technologies Limited,Endurance Technologies
Narayana Hrudayalaya Ltd.,Narayana Hrudayalaya
Ujjivan Small Finance Bank Limited,Ujjivan Small Finance Bank
Ipca Laboratories Limited,Ipca Laboratories
Solar Industries India Limited,Solar Industries India
MAX HEALTHCARE INSTITUTE LIMITED,Max Healthcare Institute
