Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
Indian Oil Corporation Limited,Oil & Gas,8452401055408.971,93915.56728232188,Mining of coal and lignite; extraction of peat,0.4,37566.22691292876,0.3999999999957409,4.444444443918624,1,21.0
Reliance Industries Limited,Oil & Gas,5571625521282.195,61906.95023646884,Mining of coal and lignite; extraction of peat,0.4,24762.78009458753,0.3999999999935387,4.444444443646752,2,22.0
Hindustan Petroleum Corporation Limited,Oil & Gas,4642464923111.46,51582.94359012733,Mining of coal and lignite; extraction of peat,0.4,20633.177436050933,0.3999999999922455,4.444444443487098,3,23.0
Vedanta Limited,Mining,1529679838165.1443,16996.44264627938,Mining of coal and lignite; extraction of peat,0.4,6798.577058511753,0.3999999999764657,4.4444444415389714,4,24.0
ITC Limited,FMCG / Consumer Goods,743256484149.856,8258.405379442844,Food products nec,0.5,4129.202689721422,0.4999999999394556,5.555555548080941,5,7.0
GAIL (India) Limited,Oil & Gas,850000000000.0,9444.444444444443,Mining of coal and lignite; extraction of peat,0.4,3777.7777777777774,0.4,4.444444444444445,6,14.0
NTPC LIMITED,Power,1700341356075.955,18892.68173417728,Production of electricity by coal,0.12,2267.121808101273,0.1199999999936483,1.333333332549177,7,74.0
Maruti Suzuki India Limited,Automobile,1518998964123.295,16877.766268036612,Construction,0.1,1687.7766268036612,0.099999999994075,1.1111111103796354,8,109.0
Tata Steel Limited,Steel & Iron,1325166642158.6152,14724.073801762392,Construction,0.1,1472.4073801762393,0.0999999999932084,1.111111110272642,9,110.0
Tata Consultancy Services Limited,Other Business Services,2553239865353.28,28369.331837258665,Other business activities,0.05,1418.4665918629337,0.0499999999982375,0.5555555553379673,10,234.0
JSW Steel Limited,Steel & Iron,1256780084662.5432,13964.223162917147,Construction,0.1,1396.4223162917149,0.0999999999928388,1.1111111102270177,11,111.0
Mahindra  Mahindra Limited,Automobile,1164826832820.8447,12942.520364676053,Construction,0.1,1294.2520364676054,0.0999999999922735,1.111111110157226,12,112.0
Nestle India Limited,FMCG / Consumer Goods,200774777975.13324,2230.830866390369,Food products nec,0.5,1115.4154331951847,0.4999999997758683,5.555555527884971,13,8.0
NMDC Limited,Mining,236679301870.28784,2629.770020780976,Mining of coal and lignite; extraction of peat,0.4,1051.9080083123906,0.3999999998478955,4.444444425666105,14,25.0
NMDC (National Mineral Development Corporation),Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445,15,14.0
Karnataka State Mineral Corporation,Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445,16,14.0
Odisha Mining Corporation,Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445,17,14.0
AP Mineral Development Corporation,Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445,18,14.0
GMDC (Gujarat Mineral Development Corporation),Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445,19,14.0
HINDALCO INDUSTRIES LIMITED,Steel & Iron,932911220665.9106,10365.68022962123,Construction,0.1,1036.568022962123,0.0999999999903527,1.1111111099200963,20,113.0
Westlife Foodworld Limited,FMCG / Consumer Goods,181414605312.0,2015.7178368,Food products nec,0.5,1007.8589184,0.5,5.555555555555555,21,1.0
Oil India Limited,Oil & Gas,221169909470.8657,2457.443438565175,Mining of coal and lignite; extraction of peat,0.4,982.97737542607,0.3999999998372293,4.444444424349286,22,26.0
Britannia Industries Limited,FMCG / Consumer Goods,172958660372.99524,1921.7628930332803,Food products nec,0.5,960.8814465166404,0.4999999997398222,5.555555523434843,23,9.0
Electrosteel Castings Limited,Steel & Iron,718530000000.0,7983.666666666667,Construction,0.1,798.3666666666668,0.1,1.1111111111111114,24,85.0
Sandur Manganese & Iron Ores Limited,Steel & Iron,718530000000.0,7983.666666666667,Construction,0.1,798.3666666666668,0.1,1.1111111111111114,25,85.0
ADANI POWER LIMITED,Power,589058300600.2567,6545.092228891741,Production of electricity by coal,0.12,785.4110674670089,0.1199999999816656,1.3333333310698334,26,75.0
GUJARAT GAS LIMITED,Oil & Gas,171851574161.6735,1909.4619351297056,Mining of coal and lignite; extraction of peat,0.4,763.7847740518823,0.3999999997905169,4.444444418582335,27,27.0
Tata Motors Limited,Automobile,680230265661.8711,7558.114062909679,Construction,0.1,755.811406290968,0.0999999999867691,1.1111111094776775,28,114.0
Bajaj Finserv Limited,Other Business Services,1338443453587.353,14871.593928748369,Other business activities,0.05,743.5796964374184,0.0499999999966378,0.5555555551404797,29,235.0
Power Finance Corporation Limited,Power,530871171171.1712,5898.5685685685685,Production of electricity by coal,0.12,707.8282282282282,0.119999999979656,1.3333333308217383,30,76.0
CIE AUTOMOTIVE INDIA LIMITED,Automobile,611333301210.0,6792.592235666667,Construction,0.1,679.2592235666667,0.1,1.1111111111111114,31,85.0
Varun Beverages Limited,FMCG / Consumer Goods,120000000000.0,1333.3333333333333,Food products nec,0.5,666.6666666666666,0.5,5.555555555555555,32,1.0
COAL INDIA LIMITED,Mining,143368939892.28613,1592.9882210254016,Mining of coal and lignite; extraction of peat,0.4,637.1952884101606,0.3999999997488995,4.444444413444394,33,28.0
SAMVARDHANA MOTHERSON INTERNATIONAL LIMITED,Other Business Services,1136619302728.097,12629.10336364552,Other business activities,0.05,631.4551681822761,0.0499999999960408,0.5555555550667766,34,236.0
GlaxoSmithKline Pharmaceuticals Limited,Pharmaceuticals,372361254739.7449,4137.347274886054,Chemicals nec,0.15,620.602091232908,0.1499999999637448,1.6666666621907265,35,43.0
Bajaj Auto Limited,Automobile,500103104169.4617,5556.701157438463,Construction,0.1,555.6701157438464,0.0999999999820037,1.1111111088893473,36,115.0
Redington Limited,Other Business Services,992281690140.8452,11025.35211267606,Other business activities,0.05,551.267605633803,0.049999999995465,0.5555555549956788,37,237.0
"Vedanta Resources (Zinc, Copper, Iron)",Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,38,85.0
Uttam Galva Steels,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,39,85.0
KIOCL (Kudremukh Iron Ore Company),Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,40,85.0
Essar Steel India,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,41,85.0
JINDAL STEEL  POWER LIMITED,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.0999999999812116,1.1111111087915606,42,116.0
Bhushan Steel,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,43,85.0
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,44,85.0
Kalyani Steels,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,45,85.0
Electrosteel Castings,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,46,85.0
Sunflag Iron and Steel,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,47,85.0
Adhunik Metaliks,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,48,85.0
Visa Steel,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,49,85.0
Ratnamani Metals & Tubes Limited,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,50,85.0
Electrosteel Steels,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,51,85.0
AUROBINDO PHARMA LIMITED,Pharmaceuticals,317237664543.013,3524.862939366811,Chemicals nec,0.15,528.7294409050216,0.1499999999574451,1.666666661412982,52,44.0
Mrs. Bectors Food Specialities,FMCG / Consumer Goods,90707302656.0,1007.8589184,Food products nec,0.5,503.9294592,0.5,5.555555555555555,53,1.0
Bikaji Foods,FMCG / Consumer Goods,90707302656.0,1007.8589184,Food products nec,0.5,503.9294592,0.5,5.555555555555555,54,1.0
Varun Beverages (PepsiCo franchise),FMCG / Consumer Goods,90707302656.0,1007.8589184,Food products nec,0.5,503.9294592,0.5,5.555555555555555,55,1.0
Heritage Foods,FMCG / Consumer Goods,90707302656.0,1007.8589184,Food products nec,0.5,503.9294592,0.5,5.555555555555555,56,1.0
Dabur India Limited,FMCG / Consumer Goods,90707302655.5111,1007.8589183945676,Food products nec,0.5,503.9294591972839,0.4999999995038988,5.555555494308496,57,10.0
Godrej Consumer Products Limited,FMCG / Consumer Goods,89101499621.36166,990.016662459574,Food products nec,0.5,495.008331229787,0.499999999494958,5.555555493204691,58,11.0
Asian Paints Limited,Chemicals,295526759253.8788,3283.630658376431,Chemicals nec,0.15,492.5445987564646,0.1499999999543188,1.6666666610270195,59,45.0
Cipla Limited,Pharmaceuticals,275476097940.1477,3060.845532668308,Chemicals nec,0.15,459.12682990024615,0.1499999999509939,1.6666666606165348,60,46.0
HERO MOTOCORP LIMITED,Automobile,407555534139.6425,4528.394823773806,Construction,0.1,452.8394823773806,0.0999999999779171,1.1111111083848295,61,117.0
