Company_Name,Sector,City,State,Base_MSA_Loss,Sector_EIF,Weighted_MSA_Loss,Data_Tier,Confidence,Revenue_Cr,MSA_Intensity,Scope3_Biodiversity_MSA,Exiobase_Sector,Factor_Used,Sector_Original,Revenue_INR,Revenue_Million_EUR,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
360 ONE WAM LIMITED,Other Business Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,32954457104.55764,2.0027639900301112e-08,18.308031724754244,Other business activities,0.05,Chemicals & Fertilizers,32954457104.55764,366.1606344950849,0.049999999863447914,0.5555555386972734,249.0,241.0
3M INDIA LIMITED,Other Business Services,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,44455087999.39179,1.6735992064849335e-08,24.69727111077322,Other business activities,0.05,Chemicals & Fertilizers,44455087999.39179,493.94542221546436,0.049999999898774246,0.5555555430585487,215.0,213.0
ACC Limited,Cement,Bangalore,Karnataka,0.48,1.0,0.48,Tier 2,75%,205940012416.5761,2.3307758136337993e-09,228.8222360184179,Construction,0.1,Cement,205940012416.5761,2288.222360184179,0.09999999995629796,1.1111111057157967,54.0,73.0
ADANI POWER LIMITED,Power,Chennai,Tamil Nadu,0.52,2.5,1.3,Tier 2,75%,589058300600.2567,2.206912284701338e-09,785.4110674670089,Production of electricity by coal,0.12,Power Generation,589058300600.2567,6545.092228891741,0.11999999998166565,1.3333333310698334,17.0,52.0
AIA ENGINEERING LIMITED,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,348644.76000168,0.0019963013354815,0.00019369153333426668,Other business activities,0.05,Chemicals & Fertilizers,348644.76000168,0.0038738306666853332,0.04998709621031188,0.553966641265655,425.0,379.0
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals,Hyderabad,Telangana,0.45,0.5,0.225,Tier 2,75%,60326313010.35322,3.7297157537439e-09,100.54385501725535,Chemicals nec,0.15,Pharmaceuticals,60326313010.35322,670.2923667817024,0.14999999977621703,1.666666639039143,89.0,38.0
ALKYL AMINES CHEMICALS LIMITED,Chemicals,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,15718203602.0451,3.2064732889350307e-08,26.197006003408497,Chemicals nec,0.15,Chemicals & Fertilizers,15718203602.0451,174.64670668939,0.14999999914112322,1.6666665606325037,211.0,47.0
ALOK INDUSTRIES LIMITED,Other Business Services,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,3629.310000001705,0.1686270944062955,2.0162833333342808e-06,Other business activities,0.05,Chemicals & Fertilizers,3629.310000001705,4.032566666668561e-05,0.04879009816336957,0.43554727018357775,473.0,416.0
APAR Industries Limited,Other Business Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,185812115613.27493,3.551975057286565e-09,103.22895311848609,Other business activities,0.05,Chemicals & Fertilizers,185812115613.27493,2064.5790623697217,0.04999999997578199,0.5555555525656777,86.0,122.0
APL Apollo Tubes Limited,Healthcare,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,206896433521.61795,3.5960020544397726e-09,114.94246306756553,Other business activities,0.05,Chemicals & Fertilizers,206896433521.61795,2298.8492613513104,0.04999999997824999,0.5555555528703688,80.0,117.0
ARVIND LIMITED,Textiles,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,76295807644.88286,7.549562915448502e-09,254.31935881627618,Textiles,0.3,Chemicals & Fertilizers,76295807644.88286,847.7311960542539,0.29999999964611423,3.3333332896437335,49.0,25.0
AU Small Finance Bank Limited,Financial Services,Chennai,Tamil Nadu,0.52,0.01,0.0052,Tier 2,75%,185899078914.6129,2.7972166566723343e-11,10.327726606367385,"Financial intermediation, except insurance and pension funding",0.005,Financial Services,185899078914.6129,2065.545321273477,0.004999999997579332,0.05555555525670763,327.0,455.0
AUROBINDO PHARMA LIMITED,Pharmaceuticals,Kolkata,West Bengal,0.58,0.5,0.29,Tier 2,75%,317237664543.013,9.141411390029951e-10,528.7294409050216,Chemicals nec,0.15,Pharmaceuticals,317237664543.013,3524.862939366811,0.14999999995744515,1.666666661412982,28.0,28.0
Aarti Industries Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,80460158334.4791,6.7113961888463895e-09,44.7000879635995,Other business activities,0.05,Chemicals & Fertilizers,80460158334.4791,894.00175927199,0.0499999999440717,0.5555555486508271,154.0,163.0
Aavas Financiers Limited,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,23582769864.42423,2.137153535812216e-08,13.101538813569016,Other business activities,0.05,Chemicals & Fertilizers,23582769864.42423,262.0307762713803,0.049999999809182724,0.5555555319978677,304.0,288.0
Adani Energy Solutions Limited,Other Business Services,Ahmedabad,Gujarat,0.51,2.5,1.275,Tier 2,75%,244465452825.2705,5.215460856595122e-09,135.81414045848362,Other business activities,0.05,Power Generation,244465452825.2705,2716.2828091696724,0.04999999998159249,0.5555555532830236,74.0,114.0
Adani Enterprises Limited,Other Business Services,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,413081113874.90137,1.597749153450468e-09,229.48950770827855,Other business activities,0.05,Chemicals & Fertilizers,413081113874.90137,4589.790154165571,0.04999999998910625,0.555555554210649,53.0,102.0
Adani Ports and Special Economic Zone Limited,Other Business Services,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,305619354838.70966,2.4344007937345635e-09,169.78853046594983,Other business activities,0.05,Chemicals & Fertilizers,305619354838.70966,3395.7706093189963,0.04999999998527581,0.5555555537377533,66.0,109.0
Adani Total Gas Limited,Oil & Gas,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,54116744129.59512,1.0643655845603607e-08,240.51886279820056,Mining of coal and lignite; extraction of peat,0.4,Chemicals & Fertilizers,54116744129.59512,601.2971569955014,0.39999999933477154,4.444444362317472,52.0,17.0
Aditya Birla Capital Limited,Other Business Services,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,405855514705.8824,1.5374929682850402e-09,225.47528594771245,Other business activities,0.05,Chemicals & Fertilizers,405855514705.8824,4509.505718954249,0.04999999998891231,0.555555554186705,55.0,103.0
Aditya Birla Fashion and Retail Limited,Retail,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,14972.999999271226,0.0464836706093552,8.31833333292846e-06,Other business activities,0.05,Chemicals & Fertilizers,14972.999999271226,0.00016636666665856918,0.04970125473011899,0.5207746405376565,459.0,403.0
Aditya Birla Sun Life AMC Limited,Other Business Services,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,16591299165.67342,3.254717997715534e-08,9.217388425374123,Other business activities,0.05,Chemicals & Fertilizers,16591299165.67342,184.34776850748244,0.04999999972877351,0.5555555220708046,336.0,316.0
Aegis Logistics Limited,Other Business Services,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,29767790765.536674,1.6931051550641118e-08,16.537661536409264,Other business activities,0.05,Chemicals & Fertilizers,29767790765.536674,330.75323072818526,0.0499999998488299,0.5555555368925805,259.0,250.0
Aether Industries Limited,Other Business Services,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,8328.340012372964,0.0734840315225825,4.626855562429425e-06,Other business activities,0.05,Chemicals & Fertilizers,8328.340012372964,9.253711124858849e-05,0.04946545280977176,0.49599988382632226,465.0,409.0
Ajanta Pharma Limited,Pharmaceuticals,Mumbai,Maharashtra,0.55,0.5,0.275,Tier 2,75%,46480911934.38521,5.9164071563011465e-09,77.46818655730868,Chemicals nec,0.15,Pharmaceuticals,46480911934.38521,516.4545770487246,0.14999999970955818,1.6666666308096547,104.0,41.0
Akzo Nobel India Limited,Other Business Services,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,40912610032.8773,1.8185102329138203e-08,22.729227796042945,Other business activities,0.05,Chemicals & Fertilizers,40912610032.8773,454.58455592085886,0.049999999890009465,0.5555555419764772,229.0,224.0
Alkem Laboratories Limited,Other Business Services,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,105511828984.81458,5.4591035483130414e-09,58.617682769341435,Other business activities,0.05,Chemicals & Fertilizers,105511828984.81458,1172.3536553868287,0.04999999995735075,0.5555555502902166,131.0,144.0
Amara Raja Energy  Mobility Limited,Other Business Services,Chennai,Tamil Nadu,0.52,2.5,1.3,Tier 2,75%,12404.889999999374,0.1047973823226216,6.891605555555208e-06,Other business activities,0.05,Power Generation,12404.889999999374,0.00013783211111110415,0.049639852771813105,0.5141113097948234,461.0,405.0
Amber Enterprises India Limited,Other Business Services,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,99729047895.63042,6.978909502158146e-09,55.40502660868357,Other business activities,0.05,Chemicals & Fertilizers,99729047895.63042,1108.1005321736714,0.049999999954877736,0.5555555499849063,138.0,151.0
