Company,Sector,Metrics,Confidence,Year
Kalyani Steels,Steel & Iron,5,HIGH,FY 2023-24
Electrosteel Steels (ESL Steel Limited),Steel & Iron,3,MEDIUM,FY 2023-24
Ratnamani Metals & Tubes Limited,Steel & Iron,4,HIGH,FY 2023-24
Adhunik Metaliks,Steel & Iron,0,LOW,FY 2023-24
Sunflag Iron and Steel,Steel & Iron,5,HIGH,FY 2023-24
Electrosteel Castings,Steel & Iron,7,HIGH,FY 2023-24
Uttam Galva Steels,Steel & Iron,1,MEDIUM,FY 2023-24
Bhushan Steel (Tata Steel BSL),Steel & Iron,3,HIGH,FY 2023-24
Essar Steel India (AM/NS India),Steel & Iron,5,HIGH,FY 2023-24
KIOCL (Kudremukh Iron Ore Company),Steel & Iron,4,HIGH,FY 2023-24
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,Steel & Iron,4,HIGH,FY 2022-23
Mrs. Bectors Food Specialities,FMCG,4,HIGH,FY 2023-24
Bikaji Foods,FMCG,7,HIGH,FY 2023-24
Varun Beverages (PepsiCo franchise),FMCG,6,HIGH,CY 2024
Heritage Foods,FMCG,5,HIGH,FY 2023-24
Amul (GCMMF),FMCG (Dairy),3,MEDIUM,FY 2023-24
MOIL (Manganese Ore India),Mining,1,HIGH,FY 2023-24
Vardhman Textiles,Textiles,7,HIGH,FY 2023-24
Himadri Speciality Chemical Limited,Chemicals,8,HIGH,FY 2023-24
Archean Chemical Industries Limited,Chemicals,3,MEDIUM,FY 2024-25
Air India,Aviation,3,MEDIUM,CY 2023
Amara Raja Energy & Mobility Limited,Power,3,HIGH,FY 2023-24
JINDAL STEEL & POWER LIMITED,Power/Steel,1,MEDIUM,FY 2024-25
SARDA ENERGY & MINERALS LIMITED,Power/Steel,5,HIGH,FY 2023-24
Tata Power,Power,5,HIGH,FY 2023-24
JSW Energy,Power,7,HIGH,FY 2023-24
Gujarat State Electricity Corporation,Power,2,MEDIUM,FY 2023-24
Torrent Power,Power,1,MEDIUM,FY 2023-24
Burnpur Cement,Cement,1,LOW,FY 2023-24
Prism Johnson (Cement),Cement,5,HIGH,FY 2023-24
Kesoram Industries (Cement Division),Cement,2,MEDIUM,FY 2022-23
JK Lakshmi Cement,Cement,3,HIGH,FY 2022-23
Mangalam Cement,Cement,6,HIGH,FY 2023-24
Nuvoco Vistas Corp (Nirma Cement),Cement,2,MEDIUM,FY 2023-24
Cement Corporation of India,Cement,1,MEDIUM,FY 2023-24
Sanghi Industries,Cement,4,HIGH,FY 2023-24
Techno Electric & Engineering Company Limited,IT Services,4,HIGH,FY 2023-24
Dixon Technologies (India) Limited,IT Services,3,MEDIUM,FY 2023-24
LT Technology Services Limited,IT Services,6,HIGH,FY 2022-23
Larsen & Toubro Limited,IT Services,5,HIGH,FY 2023-24
LTIMindtree Limited,IT Services,7,HIGH,FY 2023-24
APL Apollo Tubes,Other Business Services,4,MEDIUM,FY 2023-24
Airports Authority of India (AAI),Other Business Services,2,MEDIUM,FY 2023-24
IndiGo (InterGlobe Aviation),Other Business Services,6,HIGH,FY 2022-23
SpiceJet,Other Business Services,2,MEDIUM,FY 2023-24
Go First (GoAir),Other Business Services,0,LOW,FY 2022-23
Vistara (TATA SIA Airlines),Other Business Services,1,MEDIUM,FY 2023-24
Air Asia India,Other Business Services,0,LOW,FY 2023-24
Alliance Air,Other Business Services,0,LOW,FY 2023-24
Akasa Air,Other Business Services,1,MEDIUM,FY 2023-24
"GMR Airports (Delhi, Hyderabad)",Other Business Services,6,HIGH,FY 2023-24
"Adani Airports (Mumbai, Ahmedabad, 6 others)",Other Business Services,4,HIGH,FY 2023-24
GVK Mumbai Airport,Other Business Services,3,MEDIUM,FY 2023-24
Bangalore International Airport Ltd (BIAL),Other Business Services,4,HIGH,FY 2023-24
Authum Investment & Infrastructure Limited,Financial Services,1,MEDIUM,FY 2024-25
