Company_Name,Data_Points,Confidence,Extraction_Methods
Adani Energy Solutions Limited,27,HIGH,PDF_Extraction
ALEMBIC PHARMACEUTICALS LIMITED,18,HIGH,PDF_Extraction
JSW Steel Limited,16,HIGH,PDF_Extraction
Jindal Stainless Limited,16,HIGH,PDF_Extraction
Oberoi Realty Limited,16,HIGH,PDF_Extraction
Piramal Pharma Limited,16,HIGH,PDF_Extraction
Star Cement Limited,15,HIGH,PDF_Extraction
Larsen & Toubro Limited,15,HIGH,"web_search, Manual Search"
RBL Bank Limited,15,HIGH,PDF_Extraction
Dalmia Bharat Limited,14,HIGH,PDF_Extraction
POLY MEDICURE LIMITED,14,HIGH,PDF_Extraction
Emami Paper Mills Limited,14,HIGH,web_search
Tech Mahindra Limited,14,HIGH,PDF_Extraction
hindalco-TNFD-2024-report,14,HIGH,PDF_Extraction
Tata,13,HIGH,PDF_Extraction
JSL-TNFD-Report-FY-2024-25,13,HIGH,PDF_Extraction
Coforge Limited,13,HIGH,PDF_Extraction
Tejas Networks Limited,13,HIGH,PDF_Extraction
UNITED BREWERIES LIMITED,13,HIGH,PDF_Extraction
Trident Limited,12,HIGH,web_search
Tech,12,HIGH,PDF_Extraction
Ramkrishna Forgings Limited,12,HIGH,PDF_Extraction
Tata Elxsi Limited,12,HIGH,PDF_Extraction
Piramal Enterprises Limited,12,HIGH,PDF_Extraction
Bharat Heavy Electricals Limited (BHEL),11,HIGH,web_search
Welspun Corp Limited,11,HIGH,PDF_Extraction
Seshasayee Paper and Boards Limited,11,HIGH,web_search
CESC Limited,11,HIGH,PDF_Extraction
Hindustan,11,HIGH,PDF_Extraction
Mahindra Holidays & Resorts India Limited,10,HIGH,web_search
Bangalore International Airport Ltd (BIAL),10,HIGH,web_search
Tata Motors Limited,9,HIGH,PDF_Extraction
L&T Finance Limited,9,HIGH,"web_search, PDF_Extraction"
itc-nature-report,8,HIGH,PDF_Extraction
ARVIND LIMITED,8,0.7,"PDF Keyword, PDF_Extraction"
Himadri Speciality Chemical Limited,8,HIGH,web_search
"Adani Airports (Mumbai, Ahmedabad, 6 others)",8,HIGH,web_search
Vedanta,8,HIGH,PDF_Extraction
MANKIND PHARMA LIMITED,8,HIGH,PDF_Extraction
LTIMindtree Limited,7,HIGH,web_search
IDFC FIRST Bank Limited,7,HIGH,PDF_Extraction
Haldiram Snacks Food Private Limited,7,HIGH,web_search
GVK Mumbai Airport,7,0.9,"web_search, Manual Search"
JK Paper,7,HIGH,web_search
West Coast Paper Mills Limited,7,HIGH,web_search
JSW Energy,7,HIGH,web_search
Vardhman Textiles,7,HIGH,web_search
Electrosteel Castings,7,HIGH,web_search
Latent View Analytics Limited,7,HIGH,PDF_Extraction
Bikaji Foods,7,HIGH,web_search
West Coast Paper Mills,7,HIGH,web_search
RITES Limited,6,HIGH,PDF_Extraction
CCL Products (India) Limited,6,HIGH,web_search
JK Tyre & Industries Limited,6,HIGH,web_search
Sagar Cements,6,HIGH,PDF_Extraction
Sanofi India Limited,6,HIGH,web_search
IndiGo (InterGlobe Aviation),6,HIGH,web_search
Mangalam Cement,6,HIGH,web_search
LT Technology Services Limited,6,HIGH,web_search
TATA COMMUNICATIONS LIMITED,6,HIGH,PDF_Extraction
Minda Corporation Limited,6,HIGH,web_search
Welspun Living Limited (formerly Welspun India),6,HIGH,web_search
Varun Beverages (PepsiCo franchise),6,HIGH,web_search
Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),6,HIGH,web_search
Cochin International Airport (CIAL),6,HIGH,web_search
Cochin Shipyard Limited,6,MEDIUM,PDF_Extraction
DIVI'S LABORATORIES LIMITED,6,HIGH,web_search
"GMR Airports (Delhi, Hyderabad)",6,HIGH,web_search
Usha Martin Limited,6,HIGH,"web_search, PDF_Extraction"
Welspun Living Limited,5,HIGH,web_search
KPR Mill Limited,5,HIGH,web_search
Prism Johnson (Cement),5,HIGH,web_search
Kalyani Steels,5,HIGH,web_search
COAL INDIA LIMITED,5,MEDIUM,PDF_Extraction
Nestle India Limited,5,HIGH,web_search
Jindal Saw Limited,5,HIGH,web_search
Nestle India,5,HIGH,web_search
Narayana Hrudayalaya Ltd.,5,HIGH,web_search
Mother Dairy,5,HIGH,web_search
K.P.R. MILL LIMITED,5,HIGH,web_search
ITC Limited (Paperboards Division),5,HIGH,web_search
Heritage Foods,5,HIGH,web_search
Schaeffler India Limited,5,HIGH,web_search
Sunflag Iron and Steel,5,HIGH,web_search
Siemens Limited,5,MEDIUM,PDF_Extraction
