Company,Total_Indicators,Has_Core,Has_Biodiversity
360 ONE WAM LIMITED,20,True,False
3M INDIA LIMITED,22,True,False
ACC Limited,21,True,False
ADANI POWER LIMITED,22,True,False
AIA ENGINEERING LIMITED,22,True,False
ALEMBIC PHARMACEUTICALS LIMITED,21,True,False
ALKYL AMINES CHEMICALS LIMITED,22,True,False
ALOK INDUSTRIES LIMITED,21,True,False
APAR Industries Limited,22,True,False
APL Apollo Tubes Limited,22,True,False
ARVIND LIMITED,21,True,False
AU Small Finance Bank Limited,20,True,False
AUROBINDO PHARMA LIMITED,22,True,False
Aarti Industries Limited,22,True,False
Aavas Financiers Limited,21,True,False
Adani Energy Solutions Limited,22,True,False
Adani Enterprises Limited,22,True,False
Adani Ports and Special Economic Zone Limited,22,True,False
Adani Total Gas Limited,22,True,False
Aditya Birla Capital Limited,20,True,False
Aditya Birla Fashion and Retail Limited,22,True,False
Aditya Birla Sun Life AMC Limited,20,True,False
Aegis Logistics Limited,19,False,False
Aether Industries Limited,22,True,False
Ajanta Pharma Limited,22,True,False
Akzo Nobel India Limited,22,True,False
Alkem Laboratories Limited,21,True,False
Amara Raja Energy  Mobility Limited,22,True,False
Amber Enterprises India Limited,22,True,False
Ambuja Cements Limited,21,True,False
Anand Rathi Wealth Limited,20,True,False
Anant Raj Limited,22,True,False
Anupam Rasayan India Limited,22,True,False
Apollo Tyres Limited,22,True,False
Aptus Value Housing Finance India Limited,18,False,False
Asahi India Glass Limited,21,True,False
Ashok Leyland Limited,22,True,False
Asian Paints Limited,22,True,False
Aster DM Healthcare Limited,21,True,False
AstraZeneca Pharma India Limited,21,True,False
Astral Limited,21,True,False
Atul Limited,21,True,False
Authum Investment  Infrastructure Limited,14,False,False
Avenue Supermarts Limited,22,True,False
Axis Bank Limited,21,True,False
BAJAJ ELECTRICALS LIMITED,22,True,False
BANK OF INDIA,21,True,False
BANK OF MAHARASHTRA,20,True,False
BASF India Limited,21,True,False
BATA INDIA LIMITED,21,True,False
BEML Limited,22,True,False
BHARAT ELECTRONICS LIMITED,21,True,False
BHARAT HEAVY ELECTRICALS LIMITED,22,True,False
BLS International Services Limited,20,True,False
Bajaj Auto Limited,21,True,False
Bajaj Finance Limited,21,True,False
Bajaj Finserv Limited,21,True,False
Bajaj Holdings  Investment Limited,20,True,False
Balkrishna Industries Limited,22,True,False
Balrampur Chini Mills Limited,22,True,False
Bandhan Bank Limited,20,True,False
Bharat Dynamics Limited,22,True,False
Bharat Forge Limited,22,True,False
Bharti Airtel Limited,21,True,False
Bharti Hexacom Limited,21,True,False
Bikaji Foods International Limited,22,True,False
Biocon Limited,22,True,False
Birla Corporation Limited,21,True,False
Birlasoft Limited,22,True,False
Blue Dart Express Limited,22,True,False
Blue Star Limited,21,True,False
Bosch limited,21,True,False
Brigade Enterprises Limited,22,True,False
Britannia Industries Limited,21,True,False
CCL Products India Limited,21,True,False
CE INFO SYSTEMS LIMITED,18,False,False
CEAT Limited,22,True,False
CERA Sanitaryware Limited,22,True,False
CESC Limited,21,True,False
CG Power and Industrial Solutions Limited,22,True,False
CHENNAI PETROLEUM CORPORATION LIMITED,22,True,False
CITY UNION BANK LIMITED,20,True,False
COAL INDIA LIMITED,22,True,False
COROMANDEL INTERNATIONAL LIMITED,21,True,False
Campus Activewear Limited,21,True,False
Can Fin Homes Limited,21,True,False
Canara Bank,20,True,False
Caplin Point Laboratories Limited,21,True,False
Capri Global Capital Limited,21,True,False
Carborundum Universal Limited,21,True,False
Cello World Limited,20,True,False
Central Bank of India,18,False,False
Century Plyboards India Limited,21,True,False
Chalet Hotels Limited,22,True,False
Chemplast Sanmar Limited,22,True,False
Cholamandalam Financial Holdings Limited,21,True,False
Cholamandalam Investment and Finance Company Limited,21,True,False
Cipla Limited,22,True,False
Clean Science and Technology Limited,22,True,False
Cochin Shipyard Limited,21,True,False
Coforge Limited,22,True,False
Computer Age Management Services Limited,21,True,False
Concord Biotech Limited,21,True,False
Container Corporation of India Limited,20,True,False
Craftsman Automation Limited,21,True,False
CreditAccess Grameen Limited,21,True,False
Crompton Greaves Consumer Electricals Limited,22,True,False
Cummins India Limited,21,True,False
Cyient Limited,22,True,False
DCM Shriram Limited,22,True,False
DIVIS LABORATORIES LIMITED,22,True,False
DLF Limited,22,True,False
DOMS Industries Limited,21,True,False
Dabur India Limited,22,True,False
Dalmia Bharat Limited,22,True,False
Data Patterns India Limited,21,True,False
Deepak Nitrite Limited,22,True,False
Delhivery Limited,22,True,False
Devyani International Limited,21,True,False
Dixon Technologies India Limited,21,True,False
Dr Reddys Laboratories Limited,22,True,False
EICHER MOTORS LIMITED,21,True,False
EIH Limited,22,True,False
ESAB India Limited,22,True,False
Easy Trip Planners Limited,20,True,False
Electronics Mart India Limited,21,True,False
Elgi Equipments Limited,22,True,False
Emami Limited,22,True,False
Endurance Technologies Limited,22,True,False
Engineers India Limited,21,True,False
Equitas Small Finance Bank Limited,21,True,False
Eris Lifesciences Limited,22,True,False
Escorts Kubota Limited,22,True,False
Eureka Forbes Limited,21,True,False
Exide Industries Limited,22,True,False
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,21,True,False
FINE ORGANIC INDUSTRIES LIMITED,22,True,False
Finolex Cables Limited,21,True,False
Finolex Industries Limited,22,True,False
Firstsource Solutions Limited,22,True,False
Five-Star Business Finance Limited,20,True,False
Force Motors Ltd,21,True,False
Fortis Healthcare Limited,21,True,False
G R Infraprojects Limited,22,True,False
GAIL India Limited,22,True,False
GALAXY SURFACTANTS LIMITED,22,True,False
GLAND PHARMA LIMITED,21,True,False
GLOBAL HEALTH LIMITED,21,True,False
GODAWARI POWER AND ISPAT LIMITED,21,True,False
GODFREY PHILLIPS INDIA LIMITED,21,True,False
GODREJ AGROVET LIMITED,22,True,False
GRANULES INDIA LIMITED,22,True,False
GRAPHITE INDIA LIMITED,22,True,False
GUJARAT GAS LIMITED,22,True,False
Garden Reach Shipbuilders  Engineers Limited,20,True,False
General Insurance Corporation of India,20,True,False
Genus Power Infrastructures Limited,22,True,False
Gillette India Limited,21,True,False
GlaxoSmithKline Pharmaceuticals Limited,21,True,False
Glenmark Pharmaceuticals Limited,22,True,False
Go Digit General Insurance Limited,20,True,False
Godrej Consumer Products Limited,22,True,False
Godrej Industries Limited,22,True,False
Godrej Properties Limited,22,True,False
Grasim Industries Limited,22,True,False
Grindwell Norton Limited,22,True,False
Gujarat Ambuja Exports Limited,22,True,False
Gujarat Fluorochemicals Limited,22,True,False
Gujarat Pipavav Port Limited,21,True,False
Gujarat State Petronet Limited,22,True,False
HCL Technologies Limited,22,True,False
HDFC Asset Management Company Limited,21,True,False
HDFC Bank Limited,22,True,False
HDFC Life Insurance Company Limited,21,True,False
HEG Limited,22,True,False
