Company_Name,Total_Indicators,Tier1_Count,Tier2_Count,Tier3_Count,Tier1_Pct,Tier2_Pct,Tier3_Pct,Data_Preparedness_Index,Company_Type
Adani Energy Solutions Limited,51,27,2,0,52.94117647058824,3.9215686274509802,0.0,100.0,BRSR
ALEMBIC PHARMACEUTICALS LIMITED,41,18,2,0,43.90243902439025,4.878048780487805,0.0,78.4,BRSR
Jindal Stainless Limited,40,16,2,0,40.0,5.0,0.0,70.4,BRSR
Oberoi Realty Limited,39,16,2,0,41.02564102564102,5.128205128205128,0.0,70.4,BRSR
Piramal Pharma Limited,38,16,2,0,42.10526315789473,5.263157894736842,0.0,70.4,BRSR
JSW Steel Limited,40,16,2,0,40.0,5.0,0.0,70.4,BRSR
Star Cement Limited,38,15,2,0,39.473684210526315,5.263157894736842,0.0,66.4,BRSR
RBL Bank Limited,37,15,2,0,40.54054054054054,5.405405405405405,0.0,66.4,BRSR
Larsen & Toubro Limited,16,15,1,0,93.75,6.25,0.0,63.2,Non-BRSR
Dalmia Bharat Limited,38,14,2,0,36.84210526315789,5.263157894736842,0.0,62.4,BRSR
Tech Mahindra Limited,38,14,2,0,36.84210526315789,5.263157894736842,0.0,62.4,BRSR
POLY MEDICURE LIMITED,37,14,2,0,37.83783783783784,5.405405405405405,0.0,62.4,BRSR
Tejas Networks Limited,37,13,2,0,35.13513513513514,5.405405405405405,0.0,58.4,BRSR
Coforge Limited,37,13,2,0,35.13513513513514,5.405405405405405,0.0,58.4,BRSR
UNITED BREWERIES LIMITED,36,13,2,0,36.11111111111111,5.555555555555555,0.0,58.4,BRSR
hindalco-TNFD-2024-report,14,14,0,0,100.0,0.0,0.0,56.00000000000001,Non-BRSR
Emami Paper Mills Limited,14,14,0,0,100.0,0.0,0.0,56.00000000000001,Non-BRSR
Ramkrishna Forgings Limited,35,12,2,0,34.285714285714285,5.714285714285714,0.0,54.400000000000006,BRSR
Tata Elxsi Limited,36,12,2,0,33.33333333333333,5.555555555555555,0.0,54.400000000000006,BRSR
Piramal Enterprises Limited,34,12,2,0,35.294117647058826,5.88235294117647,0.0,54.400000000000006,BRSR
Tata,13,13,0,0,100.0,0.0,0.0,52.0,Non-BRSR
JSL-TNFD-Report-FY-2024-25,13,13,0,0,100.0,0.0,0.0,52.0,Non-BRSR
Trident Limited,13,12,1,0,92.3076923076923,7.6923076923076925,0.0,51.2,Non-BRSR
CESC Limited,34,11,2,0,32.35294117647059,5.88235294117647,0.0,50.4,BRSR
Welspun Corp Limited,34,11,2,0,32.35294117647059,5.88235294117647,0.0,50.4,BRSR
Tech,12,12,0,0,100.0,0.0,0.0,48.0,Non-BRSR
Bharat Heavy Electricals Limited (BHEL),12,11,1,0,91.66666666666666,8.333333333333332,0.0,47.2,Non-BRSR
Seshasayee Paper and Boards Limited,11,11,0,0,100.0,0.0,0.0,44.0,Non-BRSR
