Company_Name,NSE_Symbol,Website_Found,Website,Reports_Downloaded,Status
IndiGo (InterGlobe Aviation),INTERGLOBE,True,https://www.indigo.com,0,0 reports found
Air India,AIRINDIA,True,https://www.air.com,0,0 reports found
SpiceJet,SPICEJET,True,https://www.spicejet.com,0,0 reports found
Go First (GoAir),GOFIRST,True,https://www.go.com,0,0 reports found
Vistara (TATA SIA Airlines),,False,,0,No website
Air Asia India,,False,,0,No website
Alliance Air,,False,,0,No website
Akasa Air,,False,,0,No website
"GMR Airports (Delhi, Hyderabad)",GMRINFRA,True,https://www.gmr.co.in,0,0 reports found
"Adani Airports (Mumbai, Ahmedabad, 6 others)",ADANIPORTS,True,https://www.adaniports.com,1,1 reports found
GVK Mumbai Airport,GVKPIL,True,https://www.gvk.com,0,0 reports found
Bangalore International Airport Ltd (BIAL),,False,,0,No website
Cochin International Airport,,False,,0,No website
Airports Authority of India (AAI),,False,,0,No website
Delhi International Airport Ltd (DIAL),,False,,0,No website
Rashtriya Ispat Nigam Limited (RINL) - Vizag Steel,,False,,0,No website
Essar Steel India,,False,,0,No website
Electrosteel Castings,ELECTCAST,True,https://www.electrosteel.com,0,0 reports found
Uttam Galva Steels,UTTEMSUGAR,False,,0,No website
Monnet Ispat,,False,,0,No website
Bhushan Steel,,False,,0,No website
Usha Martin,USHAMART,True,https://www.usha.com,0,0 reports found
Kalyani Steels,KALYANIFRG,False,,0,No website
Sunflag Iron and Steel,SUNFLAG,True,https://www.sunflag.in,0,0 reports found
Electrosteel Steels,ELECTROCAST,True,https://www.electrosteel.com,0,0 reports found
Visa Steel,,False,,0,No website
Adhunik Metaliks,ADHUNIKIND,False,,0,No website
Tayo Rolls,TAYORROLLS,True,https://www.tayo.com,0,0 reports found
Mukand,MUKANDLTD,True,https://www.mukand.com,0,0 reports found
APL Apollo Tubes,APLAPOLLO,True,https://www.apl.in,0,0 reports found
Nuvoco Vistas Corp (Nirma Cement),NUVOCO,True,https://www.nuvoco.com,0,0 reports found
Sagar Cements,SAGCEM,True,https://www.sagar.co.in,0,0 reports found
Sanghi Industries,SANGHIIND,True,https://www.sanghi.co.in,0,0 reports found
Birla Corporation,BIRLACORPN,True,https://www.birla.co.in,0,0 reports found
JK Lakshmi Cement,JKLAKSHMI,True,https://www.jk.com,0,0 reports found
Kesoram Industries (Cement Division),KESORAMIND,False,,0,No website
Prism Johnson (Cement),PRSMJOHNSN,True,https://www.prism.in,0,0 reports found
Mangalam Cement,MANGALAM,True,https://www.mangalam.co.in,0,0 reports found
Burnpur Cement,BURNPUR,False,,0,No website
Cement Corporation of India,,False,,0,No website
Nestle India,NESTLEIND,False,,0,No website
Britannia Industries,BRITANNIA,True,https://www.britannia.com,0,0 reports found
Amul (GCMMF),,False,,0,No website
Mother Dairy,,False,,0,No website
Parle Products,,False,,0,No website
Varun Beverages (PepsiCo franchise),VBL,True,https://www.varun.co.in,0,0 reports found
Coca-Cola India,,False,,0,No website
Marico,MARICO,True,https://www.marico.com,0,0 reports found
Dabur India,DABUR,True,https://www.dabur.com,0,0 reports found
Haldiram,,False,,0,No website
Bikaji Foods,BIKAJI,False,,0,No website
Mrs. Bectors Food Specialities,MRSBECTORS,False,,0,No website
Hatsun Agro Products,HATSUN,False,,0,No website
Heritage Foods,HERITGFOOD,False,,0,No website
Kwality,KWALITY,True,https://www.kwality.com,0,0 reports found
ITC Limited (Paperboards Division),ITC,True,https://www.itc.co.in,0,0 reports found
West Coast Paper Mills,WSTCSTPAPR,True,https://www.west.com,0,0 reports found
Tamil Nadu Newsprint and Papers (TNPL),TNPL,True,https://www.tamil.com,0,0 reports found
Ballarpur Industries (BILT),BALLARPUR,False,,0,No website
JK Paper,JKPAPER,True,https://www.jk.com,0,0 reports found
Seshasayee Paper and Boards,SESHAPAPER,False,,0,No website
Andhra Pradesh Paper Mills,APPAPER,True,https://www.andhra.in,0,0 reports found
Century Pulp and Paper,CENTURYPLY,True,https://www.centuryply.com,0,0 reports found
Rama Paper Mills,RAMAPHO,True,https://www.rama.com,0,0 reports found
Shreyans Industries (Paper),SHREYAIND,True,https://www.shreyans.in,0,0 reports found
Emami Paper Mills,EMAMIPAPER,True,https://www.emamipaper.com,0,0 reports found
Hindustan Paper Corporation,,False,,0,No website
Coal India Limited,COALINDIA,False,,0,No website
NMDC (National Mineral Development Corporation),NMDC,False,,0,No website
"Vedanta Resources (Zinc, Copper, Iron)",VEDL,True,https://www.vedanta.com,0,0 reports found
MOIL (Manganese Ore India),MOIL,False,,0,No website
Hindustan Copper,HINDCOPPER,True,https://www.hindustan.co.in,0,0 reports found
GMDC (Gujarat Mineral Development Corporation),GMDCLTD,True,https://www.gmdcltd.com,0,0 reports found
KIOCL (Kudremukh Iron Ore Company),KIOCL,True,https://www.kiocl.com,0,0 reports found
Karnataka State Mineral Corporation,,False,,0,No website
Odisha Mining Corporation,,False,,0,No website
AP Mineral Development Corporation,,False,,0,No website
Raymond,RAYMOND,True,https://www.raymond.in,0,0 reports found
Arvind Limited,ARVIND,True,https://www.arvind.com,1,1 reports found
"Aditya Birla Fashion (Allen Solly, Peter England)",ABFRL,True,https://www.abfrl.com,0,0 reports found
Vardhman Textiles,VTL,True,https://www.vardhman.com,0,0 reports found
Trident Limited,TRIDENT,False,,0,No website
Welspun India,WELSPUNIND,True,https://www.welspun.com,0,0 reports found
Bombay Dyeing,BOMDYEING,True,https://www.bombay.co.in,0,0 reports found
KPR Mill,KPRMILL,False,,0,No website
Siyaram Silk Mills,SIYSIL,True,https://www.siyaram.com,0,0 reports found
S Kumars Nationwide,SKUMARSYNF,False,,0,No website
Tata Power,TATAPOWER,True,https://www.tata.com,0,0 reports found
JSW Energy,JSWENERGY,True,https://www.jsw.com,0,0 reports found
Torrent Power,TORNTPOWER,True,https://www.torrent.com,0,0 reports found
CESC Limited,CESC,True,https://www.cesc.co.in,0,0 reports found
Gujarat State Electricity Corporation,,False,,0,No website
Damodar Valley Corporation,,False,,0,No website
Neyveli Lignite Corporation,NLCINDIA,False,,0,No website
Bharat Heavy Electricals Limited (BHEL),BHEL,True,https://www.bhel.com,6,6 reports found
