Company_Name,NSE_Symbol,Sector,Market_Cap_Cr,PDF_URL,Submission_Date,Download_Success,Filepath,File_Size_KB
JSW Steel Ltd.,JSWSTEEL,Steel & Iron,208845.30859159,https://nsearchives.nseindia.com/corporate/jessydenny_04072025105546_BRSR.pdf,04-Jul-2025,True,data\brsr_reports\JSWSTEEL_JSW Steel Ltd_BRSR.pdf,442.0888671875
Tata Steel Ltd.,TATASTEEL,Steel & Iron,193707.818995962,https://nsearchives.nseindia.com/corporate/SAKSHIKAPUR_24062025185013_fy25-integratedreport.pdf,24-Jun-2025,True,data\brsr_reports\TATASTEEL_Tata Steel Ltd_BRSR.pdf,8923.4140625
Steel Authority of India Ltd.,SAIL,Steel & Iron,57947.001506023,https://nsearchives.nseindia.com/corporate/SAIL_25082025170923_BRSR_SAIL.pdf,25-Aug-2025,True,data\brsr_reports\SAIL_Steel Authority of India Ltd_BRSR.pdf,605.3447265625
NMDC Steel Ltd.,NSLNISP,Steel & Iron,17578.2085960115,https://nsearchives.nseindia.com/corporate/NMDCSTEEL_20082025162733_NSLBRSR2025.pdf,20-Aug-2025,True,data\brsr_reports\NSLNISP_NMDC Steel Ltd_BRSR.pdf,4694.845703125
UltraTech Cement Ltd.,ULTRACEMCO,Cement,288793.807807726,https://nsearchives.nseindia.com/corporate/ULTRACEMCO_28072025165544_BRSR.pdf,28-Jul-2025,True,data\brsr_reports\ULTRACEMCO_UltraTech Cement Ltd_BRSR.pdf,888.5498046875
Grasim Industries Ltd.,GRASIM,Cement,152681.77331541548,https://nsearchives.nseindia.com/corporate/GRASIM_21072025201038_SEIntimationBRSR.pdf,21-Jul-2025,True,data\brsr_reports\GRASIM_Grasim Industries Ltd_BRSR.pdf,3332.400390625
Ambuja Cements Ltd.,AMBUJACEM,Cement,124610.418015825,https://nsearchives.nseindia.com/corporate/AMBUJACEM_13062025164719_BRSR.pdf,13-Jun-2025,True,data\brsr_reports\AMBUJACEM_Ambuja Cements Ltd_BRSR.pdf,614.4853515625
Shree Cement Ltd.,SHREECEM,Cement,94681.7797370795,https://nsearchives.nseindia.com/corporate/SHREECEM_11072025205616_NSE_BSE_BRSR_11072025.pdf,11-Jul-2025,True,data\brsr_reports\SHREECEM_Shree Cement Ltd_BRSR.pdf,5146.8837890625
ACC Ltd.,ACC,Cement,47116.24419817751,https://nsearchives.nseindia.com/corporate/ACC_1_13062025170440_ACC_BRSR_2025.pdf,13-Jun-2025,True,data\brsr_reports\ACC_ACC Ltd_BRSR.pdf,6128.333984375
Dalmia Bharat Ltd.,DALBHARAT,Cement,37219.49925642,https://nsearchives.nseindia.com/corporate/DALBHARAT_25062025175835_Finalbrsr2025signed.pdf,25-Jun-2025,True,data\brsr_reports\DALBHARAT_Dalmia Bharat Ltd_BRSR.pdf,2175.41015625
J.K. Cement Ltd.,JKCEMENT,Cement,32034.053254972,https://nsearchives.nseindia.com/corporate/JKCEMENT_04072025181554_BRSR_Report.pdf,04-Jul-2025,True,data\brsr_reports\JKCEMENT_JK Cement Ltd_BRSR.pdf,3008.0
The Ramco Cements Ltd.,RAMCOCEM,Cement,20218.251307882,https://nsearchives.nseindia.com/corporate/RAMCOCEM_16072025185759_Business_Responsibility_and_sustainability_Report_page_104-141.pdf,16-Jul-2025,True,data\brsr_reports\RAMCOCEM_The Ramco Cements Ltd_BRSR.pdf,306.501953125
Nuvoco Vistas Corporation Ltd.,NUVOCO,Cement,11922.0750094535,https://nsearchives.nseindia.com/corporate/NUVOCO_30062025202507_Cover_Page_-_Intimation_BRSR.pdf,30-Jun-2025,True,data\brsr_reports\NUVOCO_Nuvoco Vistas Corporation Ltd_BRSR.pdf,620.8466796875
Birla Corporation Ltd.,BIRLACORPN,Cement,11623.0340624155,https://nsearchives.nseindia.com/corporate/BIRLACORP1_22082025175340_BRSR_SE_Intimation_22082025.pdf,22-Aug-2025,True,data\brsr_reports\BIRLACORPN_Birla Corporation Ltd_BRSR.pdf,1034.1865234375
JK Lakshmi Cement Ltd.,JKLAKSHMI,Cement,10033.0692301315,https://nsearchives.nseindia.com/corporate/JKLASHMI_03092025182339_BRSR.pdf,03-Sep-2025,True,data\brsr_reports\JKLAKSHMI_JK Lakshmi Cement Ltd_BRSR.pdf,632.220703125
Star Cement Ltd.,STARCEMENT,Cement,8554.700620531501,https://nsearchives.nseindia.com/corporate/STARCEMENT_01092025195007_IntimationofBRSR.pdf,01-Sep-2025,True,data\brsr_reports\STARCEMENT_Star Cement Ltd_BRSR.pdf,2920.5400390625
Prism Johnson Ltd.,PRSMJOHNSN,Cement,8485.2728869205,https://nsearchives.nseindia.com/corporate/PRSMJOHNSN_15072025184813_SEIntimationBRSR2025.pdf,15-Jul-2025,False,,0.0
Orient Cement Ltd.,ORIENTCEM,Cement,4810.6883903945,https://nsearchives.nseindia.com/corporate/ORIENTCEM_12072025121405_SEIntimation-Annual_Report-Dispatch_Signed.pdf,12-Jul-2025,False,,0.0
Adani Enterprises Ltd.,ADANIENT,Mining & Minerals,357247.51587887853,https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_18062025225251_AELIntimationforsubmissionofBRSR.pdf,18-Jun-2025,True,data\brsr_reports\ADANIENT_Adani Enterprises Ltd_BRSR.pdf,850.1552734375
Hindustan Zinc Ltd.,HINDZINC,Mining & Minerals,181671.804668943,https://nsearchives.nseindia.com/corporate/HINDZINCNSE_01082025184432_SEIntimationBRSR01082025.pdf,01-Aug-2025,True,data\brsr_reports\HINDZINC_Hindustan Zinc Ltd_BRSR.pdf,2804.0888671875
