Company_Name,Indicator_ID,Indicator_Name,Dimension,Value,Unit,Data_Source,XBRL_Tag,Data_Tier,Confidence,FY_Year,Source_File,Verification,Calculation_Method,Tolerance,Within_Tolerance
360 ONE WAM LIMITED,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,4.355e-07,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,360_ONE_WAM_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
360 ONE WAM LIMITED,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,0.18,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,360_ONE_WAM_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
3M INDIA LIMITED,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,1.9893e-06,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,3M_INDIA_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
3M INDIA LIMITED,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,36.0,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,3M_INDIA_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
3M INDIA LIMITED,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,16.0,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,3M_INDIA_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
3M INDIA LIMITED,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,43.0,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,3M_INDIA_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
3M INDIA LIMITED,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,455.68,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,3M_INDIA_LIMITED.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aarti Industries Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,3.29167e-05,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Aarti_Industries_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aarti Industries Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,382.0,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,Aarti_Industries_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aarti Industries Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,802.0,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,Aarti_Industries_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aarti Industries Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,499.0,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,Aarti_Industries_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aarti Industries Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,716.0,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Aarti_Industries_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aavas Financiers Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,5.0472e-06,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Aavas_Financiers_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Aavas Financiers Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,3.954,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Aavas_Financiers_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ABB India Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,1.578e-06,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,ABB_India_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ABB India Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,0.83,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,ABB_India_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ABB India Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,0.05,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,ABB_India_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ABB India Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,2.89,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,ABB_India_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ABB India Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,276.07,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,ABB_India_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,2.33074e-05,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,ACC_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,8003.0,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,ACC_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,461.0,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,ACC_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,264.0,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,ACC_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
ACC Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,39453.0,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,ACC_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,4.2106e-06,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Adani_Energy_Solutions_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,1769.5,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,Adani_Energy_Solutions_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,1607.3,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,Adani_Energy_Solutions_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,280.0,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,Adani_Energy_Solutions_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Energy Solutions Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,31.25,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Adani_Energy_Solutions_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Enterprises Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,1.05151e-05,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Adani_Enterprises_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Enterprises Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,0.0,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,Adani_Enterprises_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Enterprises Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,0.0,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,Adani_Enterprises_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Enterprises Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,0.0,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,Adani_Enterprises_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Enterprises Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,4431.0,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Adani_Enterprises_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Ports and Special Economic Zone Limited,2.4_water_recycled_pct,Water Recycling %,2. Freshwater,2.51777e-05,%,BRSR_XBRL,in-capmkt:WaterIntensityPerRupeeOfTurnover,1,95,FY2024-25,Adani_Ports_and_Special_Economic_Zone_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Ports and Special Economic Zone Limited,5.1_nox_emissions,NOx Emissions,5. Pollution & Waste,16.57,kg,BRSR_XBRL,in-capmkt:NOx,1,95,FY2024-25,Adani_Ports_and_Special_Economic_Zone_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Ports and Special Economic Zone Limited,5.1_sox_emissions,SOx Emissions,5. Pollution & Waste,13.54,kg,BRSR_XBRL,in-capmkt:SOx,1,95,FY2024-25,Adani_Ports_and_Special_Economic_Zone_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Ports and Special Economic Zone Limited,5.1_pm_emissions,Particulate Matter Emissions,5. Pollution & Waste,46.43,kg,BRSR_XBRL,in-capmkt:ParticulateMatter,1,95,FY2024-25,Adani_Ports_and_Special_Economic_Zone_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
Adani Ports and Special Economic Zone Limited,5.3_plastic_waste,Plastic Waste Generated,5. Pollution & Waste,318.0,tonnes,BRSR_XBRL,in-capmkt:PlasticWaste,1,95,FY2024-25,Adani_Ports_and_Special_Economic_Zone_Limited.xml,Self-Reported,Direct Extraction,N/A (Direct),True
