Company_Name,Indicator_ID,Indicator_Name,Value,Unit,Dimension,Data_Source,XBRL_Tag,Data_Tier,Confidence,FY_Year,Verification,Calculation_Method,Tolerance,Within_Tolerance
360 ONE WAM LIMITED,1.1_scope1_emissions,Scope 1 GHG Emissions,0.21,tCO2e,1. Climate & Atmosphere,BRSR_XBRL,TotalScope1Emissions,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
360 ONE WAM LIMITED,1.2_scope2_emissions,Scope 2 GHG Emissions,381.07,tCO2e,1. Climate & Atmosphere,BRSR_XBRL,TotalScope2Emissions,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
360 ONE WAM LIMITED,1.4_total_energy_renewable,Total Energy from Renewable Sources,7946.59,GJ,1. Climate & Atmosphere,BRSR_XBRL,TotalEnergyConsumedFromRenewableSources,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
360 ONE WAM LIMITED,1.4_total_energy_non_renewable,Total Energy from Non-Renewable Sources,1887.02,GJ,1. Climate & Atmosphere,BRSR_XBRL,TotalEnergyConsumedFromNonRenewableSources,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
360 ONE WAM LIMITED,1.4_total_energy,Total Energy Consumption,9833.61,GJ,1. Climate & Atmosphere,BRSR_XBRL,TotalEnergyConsumedFromRenewableAndNonRenewableSources,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
360 ONE WAM LIMITED,1.4_energy_intensity,Energy Intensity,2.984e-07,GJ/Rs Cr,1. Climate & Atmosphere,BRSR_XBRL,EnergyIntensityPerRupeeOfTurnover,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
360 ONE WAM LIMITED,2.1_water_withdrawal,Total Water Withdrawal,14350.0,KL,2. Freshwater,BRSR_XBRL,TotalVolumeOfWaterWithdrawal,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
360 ONE WAM LIMITED,2.2_water_discharged,Total Water Discharged,0.0,KL,2. Freshwater,BRSR_XBRL,TotalWaterDischargedInKilolitres,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
360 ONE WAM LIMITED,2.3_water_intensity,Water Intensity,4.355e-07,KL/Rs Cr,2. Freshwater,BRSR_XBRL,WaterIntensityPerRupeeOfTurnover,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
360 ONE WAM LIMITED,5.2_total_waste_generated,Total Waste Generated,36.2,tonnes,5. Pollution,BRSR_XBRL,TotalWasteGenerated,1,95,2025,Self-Reported,Direct Extraction,N/A (Direct),True
