Company_Name,NOx Emissions,Particulate Matter Emissions,Plastic Waste Generated,SOx Emissions,Water Recycling %
360 ONE WAM LIMITED,,,0.18,,4.355e-07
3M INDIA LIMITED,36.0,43.0,455.68,16.0,1.9893e-06
ABB India Limited,0.83,2.89,276.07,0.05,1.578e-06
ACC Limited,8003.0,264.0,39453.0,461.0,2.33074e-05
ADANI POWER LIMITED,128663.47,17503.15,287.6855,303694.71,0.0003763891
AIA ENGINEERING LIMITED,9.4,45.86,276.6,13.03,0.834508455
ALEMBIC PHARMACEUTICALS LIMITED,38.28,48.04,227.92,105.98,1.1193e-05
ALKYL AMINES CHEMICALS LIMITED,19.0,77.0,86.12,21.0,5.64358e-05
ALOK INDUSTRIES LIMITED,0.95,2.35,348.91,0.81,327.1511664752
APAR Industries Limited,23.9,89.0,714.99,32.6,1.9573e-06
APL Apollo Tubes Limited,21.27,33.37,4.0,13.27,4.3846e-06
ARVIND LIMITED,295.0,61.0,762.0,321.0,3.46683e-05
AU Small Finance Bank Limited,,,3.48,,3.0461e-06
AUROBINDO PHARMA LIMITED,405.0,206.0,837.0,797.0,1.74734e-05
Aarti Industries Limited,382.0,499.0,716.0,802.0,3.29167e-05
Aavas Financiers Limited,,,3.954,,5.0472e-06
Adani Energy Solutions Limited,1769.5,280.0,31.25,1607.3,4.2106e-06
Adani Enterprises Limited,0.0,0.0,4431.0,0.0,1.05151e-05
Adani Ports and Special Economic Zone Limited,16.57,46.43,318.0,13.54,2.51777e-05
Adani Total Gas Limited,5364.19,4613.48,11.75,0.0,1.9903e-06
Aditya Birla Capital Limited,,,4.61,,1.6682e-06
Aditya Birla Fashion and Retail Limited,3.47,4.65,136.0,8.85,12.8188071863
Aditya Birla Sun Life AMC Limited,,,0.0628,,1.719e-07
Aegis Logistics Limited,33.15,122.4,0.0,40.6,5.999e-07
Aether Industries Limited,0.0,0.0,20.41,0.0,22.0338026546
Ajanta Pharma Limited,22.0,27.0,566.0,22.0,7.4829e-06
Akzo Nobel India Limited,0.66,0.0,0.0,1.43,3.1863e-06
Alkem Laboratories Limited,40.0,89.0,1528.0,35.0,6.2215e-06
Amara Raja Energy  Mobility Limited,0.0,150.1,1987.09,0.0,75.8974888129
Amber Enterprises India Limited,4.86,11.51,1446.64,2.39,2.3766e-06
Ambuja Cements Limited,11608.0,362.0,27195.0,1289.0,2.49409e-05
Anand Rathi Wealth Limited,,,0.0,,8.55e-08
Anant Raj Limited,26.4,350.0,0.0,13.2,3.1866e-06
Angel One Limited,,,1.37,,0.0
Anupam Rasayan India Limited,66.0,65.0,139.0,70.0,3.19789e-05
Apollo Tyres Limited,103.94,63.42,1997.07,271.9,1.0562e-06
Aptus Value Housing Finance India Limited,,,0.0,,0.0
Archean Chemical Industries Limited,16.5,36.0,1.0,40.3,0.0006977288
Asahi India Glass Limited,65.0,58.0,466.0,34.0,1.47645e-05
Ashok Leyland Limited,75.8,0.0,1152.95,27.4,2.496e-06
Asian Paints Limited,45.8,15.1,2418.8,10.8,4.5736e-06
Aster DM Healthcare Limited,,,78.0,,2.98546e-05
AstraZeneca Pharma India Limited,15.0,43.5,0.1,8.0,1.2906e-06
Astral Limited,1.11,1.33,1306.63,0.48,2.4952e-06
Atul Limited,78.96,12.1,1792.63,58.76,9.00721e-05
Authum Investment  Infrastructure Limited,,,0.0,,0.0
Avenue Supermarts Limited,20821.0,104.0,6861.0,76.0,24.9549358269
Axis Bank Limited,,,3.69,,1.2412e-06
BAJAJ ELECTRICALS LIMITED,16.81,16.0,47.22,0.5,9.079e-07
BANK OF INDIA,,,0.0,,7.697e-07
BANK OF MAHARASHTRA,,,0.0,,6.126e-07
BASF India Limited,7255.41,9433.78,13.71,7077.14,4.4651e-06
BATA INDIA LIMITED,6.4,8.29,11.51,2.08,1.5441e-06
BEML Limited,14.97,20.1,13.52,7.95,6.2125e-06
