Company_Name,Facility_ID,Facility_Type,Address,City,State,Country,Source,Estimated,Data_Tier,City_State_Key,Latitude,Longitude,Geocoded_Address,Geocoding_Method,Geocoding_Status
360 ONE WAM LIMITED,1,Registered Office,"360 ONE Centre, Kamala City, Senapati Bapat Marg, Lower Parel, Mumbai – 400013",Mumbai,Maharashtra,India,XBRL_RegisteredOffice,False,Tier_1,"Mumbai, Maharashtra, India",19.054999,72.8692035,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
3M INDIA LIMITED,1,Registered Office,"Plot Nos. 48-51, Electronics City, Hosur Road, Bengaluru - 560 100",Hosur,Karnataka,India,XBRL_RegisteredOffice,False,Tier_1,"Hosur, Karnataka, India",16.3113039,75.9164329,"Hosur, Bagalakote taluk, Bagalkote, Karnataka, 587207, India",City_Level,Success
3M INDIA LIMITED,2,Corporate Office,"Marksquare, 5th Floor, St. Marks Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Bengaluru, Karnataka, India",13.0836939,80.270186,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",City_Level,Success
3M INDIA LIMITED,3,Plant,"Bengaluru Plant, Bengaluru Corporate Office, Gurgaon Office and Ranjangaon Plant",Bengaluru,Karnataka,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,"Bengaluru, Karnataka, India",12.9767936,77.590082,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",City_Level,Success
Aarti Industries Limited,1,Registered Office,"Plot Nos. 801, 801/23, G.I.D.C. Estate, Phase-III, Vapi, Dist. Valsad, Gujarat-396195",Vapi,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"Vapi, Gujarat, India",20.3735482,72.9084376,"Vapi, Daman Road, Vapi, Vapi Taluka, Valsad, Gujarat, 396191, India",City_Level,Success
Aarti Industries Limited,2,Corporate Office,"71, 2nd Floor, Udyog Kshetra, Mulund-Goregaon Link Road, Salpa Devi Pada, Mulund West, Mumbai - 400 080, Maharashtra",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Mumbai, Maharashtra, India",13.0836939,80.270186,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success
Aarti Industries Limited,3,Plant,Manufacturing locations situated in Gujarat & Maharashtra,Pune,Maharashtra,India,Forensic_Web_Search,False,Tier_1,"Pune, Maharashtra, India",18.5213738,73.8545071,"Pune, Pune City, Pune, Maharashtra, 411001, India",City_Level,Success
Aarti Industries Limited,4,Facility,Vadodara,Vadodara,Gujarat,India,XBRL_TextExtraction,False,Tier_1,"Vadodara, Gujarat, India",22.2973142,73.1942567,"Vadodara, Vadodara Rural Taluka, Vadodara, Gujarat, 390001, India",City_Level,Success
Aavas Financiers Limited,1,Registered Office,"201-202,2nd Floor, Southend Square, Mansarovar Industrial Area, Jaipur - 302020",Jaipur,Rajasthan,India,XBRL_RegisteredOffice,False,Tier_1,"Jaipur, Rajasthan, India",26.9154576,75.8189817,"Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India",City_Level,Success
ABB India Limited,1,Registered Office,"“Disha”, Corporate Office, 3rd Floor. Plot No. 5 &
6, 2nd Stage, Peenya Industrial Area IV, Peenya,
Bengaluru - 560 058, Karnataka.",Bengaluru,Karnataka,India,XBRL_RegisteredOffice,False,Tier_1,"Bengaluru, Karnataka, India",12.9767936,77.590082,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",City_Level,Success
