Company_Name,Facility_ID,Facility_Type,Address,City,State,Country,Source,Estimated,Data_Tier,Address_Clean,City_Clean,State_Clean,City_Key,Is_Detailed,latitude,longitude,geocode_method
Aarti Industries Limited,4,Facility,Vadodara,Vadodara,Gujarat,India,XBRL_TextExtraction,False,Tier_1,Vadodara,Vadodara,Gujarat,"Vadodara, Gujarat, India",False,22.2973142,73.1942567,City_Centroid
ADANI POWER LIMITED,3,Facility,Mundra,Mundra,,India,XBRL_TextExtraction,False,Tier_1,Mundra,Mundra,,"Mundra, , India",False,22.8393153,69.7249477,City_Centroid
Aditya Birla Fashion and Retail Limited,3,Plant,Banglore and Gurugram,Gurugram,Haryana,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,Banglore and Gurugram,Gurugram,Haryana,"Gurugram, Haryana, India",False,28.4646148,77.0299194,City_Centroid
AIA ENGINEERING LIMITED,3,Facility,Bavla District,Bavla,,India,XBRL_TextExtraction,False,Tier_1,Bavla District,Bavla,,"Bavla, , India",False,22.8278859,72.3684741,City_Centroid
Ajanta Pharma Limited,2,Corporate Office,Same as above,,,India,XBRL_CorporateOffice,False,Tier_1,Same as above,,,", , India",False,,,City_Centroid
ALKYL AMINES CHEMICALS LIMITED,3,Facility,Gujarat this year,,Gujarat,India,XBRL_TextExtraction,False,Tier_1,Gujarat this year,,Gujarat,", Gujarat, India",False,22.3850051,71.745261,City_Centroid
ALKYL AMINES CHEMICALS LIMITED,4,Facility,Patalganga MIDC,Patalganga,,India,XBRL_TextExtraction,False,Tier_1,Patalganga MIDC,Patalganga,,"Patalganga, , India",False,18.8388649,73.3169822,City_Centroid
ARVIND LIMITED,1,Registered Office,"NARODA ROAD, AHMEDABAD",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"NARODA ROAD, AHMEDABAD",Ahmedabad,Gujarat,"Ahmedabad, Gujarat, India",False,23.0215374,72.5800568,City_Centroid
Ashok Leyland Limited,3,Facility,Uttarakhand,,Uttarakhand,India,XBRL_TextExtraction,False,Tier_1,Uttarakhand,,Uttarakhand,", Uttarakhand, India",False,30.0417376,79.089691,City_Centroid
Astral Limited,3,Facility,Hyderabad,Hyderabad,Telangana,India,XBRL_TextExtraction,False,Tier_1,Hyderabad,Hyderabad,Telangana,"Hyderabad, Telangana, India",False,17.360589,78.4740613,City_Centroid
Atul Limited,2,Corporate Office,"Atul 396 020, Gujarat, India",,Gujarat,India,XBRL_CorporateOffice,False,Tier_1,"Atul 396 020, Gujarat, India",,Gujarat,", Gujarat, India",False,22.3850051,71.745261,City_Centroid
AUROBINDO PHARMA LIMITED,3,Plant,"Bhiwadi, Rajasthan",,Rajasthan,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,"Bhiwadi, Rajasthan",,Rajasthan,", Rajasthan, India",False,26.8105777,73.7684549,City_Centroid
Avenue Supermarts Limited,3,Facility,Katol near Nagpur,Nagpur,,India,XBRL_TextExtraction,False,Tier_1,Katol near Nagpur,Nagpur,,"Nagpur, , India",False,21.1498134,79.0820556,City_Centroid
BAJAJ ELECTRICALS LIMITED,3,Facility,Nashik,Nashik,Maharashtra,India,XBRL_TextExtraction,False,Tier_1,Nashik,Nashik,Maharashtra,"Nashik, Maharashtra, India",False,20.0112475,73.7902364,City_Centroid
BAJAJ ELECTRICALS LIMITED,4,Facility,Chakan and Nashik,Nashik,Maharashtra,India,XBRL_TextExtraction,False,Tier_1,Chakan and Nashik,Nashik,Maharashtra,"Nashik, Maharashtra, India",False,20.0112475,73.7902364,City_Centroid
Bajaj Finance Limited,1,Registered Office,"Akurdi, Pune - 411035",Pune,Maharashtra,India,XBRL_RegisteredOffice,False,Tier_1,"Akurdi, Pune - 411035",Pune,Maharashtra,"Pune, Maharashtra, India",False,18.5213738,73.8545071,City_Centroid
Birlasoft Limited,3,Facility,Pune office SDB,Pune,Maharashtra,India,XBRL_TextExtraction,False,Tier_1,Pune office SDB,Pune,Maharashtra,"Pune, Maharashtra, India",False,18.5213738,73.8545071,City_Centroid
Birla Corporation Limited,3,Plant,"Chanderia, Rajasthan",,Rajasthan,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,"Chanderia, Rajasthan",,Rajasthan,", Rajasthan, India",False,26.8105777,73.7684549,City_Centroid
Britannia Industries Limited,3,Plant,"Hajipur, Bihar",,Bihar,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,"Hajipur, Bihar",,Bihar,", Bihar, India",False,25.6440845,85.906508,City_Centroid
Century Plyboards India Limited,4,Facility,Kolkata and,Kolkata,West Bengal,India,XBRL_TextExtraction,False,Tier_1,Kolkata and,Kolkata,West Bengal,"Kolkata, West Bengal, India",False,22.5726459,88.3638953,City_Centroid
CHENNAI PETROLEUM CORPORATION LIMITED,2,Plant,"Manali, Chennai",Chennai,Tamil Nadu,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,"Manali, Chennai",Chennai,Tamil Nadu,"Chennai, Tamil Nadu, India",False,13.0836939,80.270186,City_Centroid
COAL INDIA LIMITED,2,Facility,Gujarat and,,Gujarat,India,XBRL_TextExtraction,False,Tier_1,Gujarat and,,Gujarat,", Gujarat, India",False,22.3850051,71.745261,City_Centroid
