Company_Name,Facility_ID,Facility_Type,Address,City,State,Country,Source,Estimated,Data_Tier,City_State_Key,Latitude,Longitude,Geocoded_Address,Geocoding_Method,Geocoding_Status,Water_Stress_Score,Basin_Match,Basin_State,Basin_ID,Master_Company_Name
360 ONE WAM LIMITED,1,Registered Office,"360 ONE Centre, Kamala City, Senapati Bapat Marg, Lower Parel, Mumbai – 400013",Mumbai,Maharashtra,India,XBRL_RegisteredOffice,False,Tier_1,"Mumbai, Maharashtra, India",19.054999,72.8692035,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success,1.3716477591331362,Within,Maharashtra,3377,360 ONE WAM LIMITED
3M INDIA LIMITED,1,Registered Office,"Plot Nos. 48-51, Electronics City, Hosur Road, Bengaluru - 560 100",Hosur,Karnataka,India,XBRL_RegisteredOffice,False,Tier_1,"Hosur, Karnataka, India",16.3113039,75.9164329,"Hosur, Bagalakote taluk, Bagalkote, Karnataka, 587207, India",City_Level,Success,0.3366598190897373,Within,Karnataka,3370,3M INDIA LIMITED
3M INDIA LIMITED,2,Corporate Office,"Marksquare, 5th Floor, St. Marks Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Bengaluru, Karnataka, India",13.0836939,80.270186,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",City_Level,Success,4.943346226421216,Within,Tamil Nadu,3383,3M INDIA LIMITED
3M INDIA LIMITED,3,Plant,"Bengaluru Plant, Bengaluru Corporate Office, Gurgaon Office and Ranjangaon Plant",Bengaluru,Karnataka,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,"Bengaluru, Karnataka, India",12.9767936,77.590082,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",City_Level,Success,4.400663779311278,Within,Karnataka,3370,3M INDIA LIMITED
Aarti Industries Limited,1,Registered Office,"Plot Nos. 801, 801/23, G.I.D.C. Estate, Phase-III, Vapi, Dist. Valsad, Gujarat-396195",Vapi,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"Vapi, Gujarat, India",20.3735482,72.9084376,"Vapi, Daman Road, Vapi, Vapi Taluka, Valsad, Gujarat, 396191, India",City_Level,Success,3.6090998640731424,Within,Gujarat,3377,Aarti Industries Limited
Aarti Industries Limited,2,Corporate Office,"71, 2nd Floor, Udyog Kshetra, Mulund-Goregaon Link Road, Salpa Devi Pada, Mulund West, Mumbai - 400 080, Maharashtra",Chennai,Tamil Nadu,India,XBRL_CorporateOffice,False,Tier_1,"Mumbai, Maharashtra, India",13.0836939,80.270186,"Mumbai, Mumbai Suburban, Maharashtra, 400051, India",City_Level,Success,4.943346226421216,Within,Tamil Nadu,3383,Aarti Industries Limited
Aarti Industries Limited,3,Plant,Manufacturing locations situated in Gujarat & Maharashtra,Pune,Maharashtra,India,Forensic_Web_Search,False,Tier_1,"Pune, Maharashtra, India",18.5213738,73.8545071,"Pune, Pune City, Pune, Maharashtra, 411001, India",City_Level,Success,4.406159075800666,Within,Maharashtra,3377,Aarti Industries Limited
Aarti Industries Limited,4,Facility,Vadodara,Vadodara,Gujarat,India,XBRL_TextExtraction,False,Tier_1,"Vadodara, Gujarat, India",22.2973142,73.1942567,"Vadodara, Vadodara Rural Taluka, Vadodara, Gujarat, 390001, India",City_Level,Success,5.0,Within,Gujarat,3371,Aarti Industries Limited
Aavas Financiers Limited,1,Registered Office,"201-202,2nd Floor, Southend Square, Mansarovar Industrial Area, Jaipur - 302020",Jaipur,Rajasthan,India,XBRL_RegisteredOffice,False,Tier_1,"Jaipur, Rajasthan, India",26.9154576,75.8189817,"Jaipur, Jaipur Municipal Corporation, Jaipur Tehsil, Jaipur, Rajasthan, 302001, India",City_Level,Success,5.0,Within,Rajasthan,3370,Aavas Financiers Limited
ABB India Limited,1,Registered Office,"“Disha”, Corporate Office, 3rd Floor. Plot No. 5 &
6, 2nd Stage, Peenya Industrial Area IV, Peenya,
Bengaluru - 560 058, Karnataka.",Bengaluru,Karnataka,India,XBRL_RegisteredOffice,False,Tier_1,"Bengaluru, Karnataka, India",12.9767936,77.590082,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",City_Level,Success,4.400663779311278,Within,Karnataka,3370,ABB India Limited
ABB India Limited,2,Plant,"Bangalore (Rural & Urban), Faridabad, Vadodara & Nashik",Chennai,Tamil Nadu,India,XBRL_Context_D_FacilityOrPlantLocatedInAreasOfWaterStress1,False,Tier_1,"Bangalore, Karnataka, India",13.0836939,80.270186,"Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, India",City_Level,Success,4.943346226421216,Within,Tamil Nadu,3383,ABB India Limited
ACC Limited,1,Registered Office,"Adani Corporate House, Shantigram, Near Vaishno Devi Circle, S.G. Highway,
Ahmedabad – 382421",Ahmedabad,Gujarat,India,XBRL_RegisteredOffice,False,Tier_1,"Ahmedabad, Gujarat, India",23.0215374,72.5800568,"Ahmedabad, Gujarat, 380001, India",City_Level,Success,5.0,Within,Gujarat,3371,ACC Limited
