Company_Name,Sector,Facilities_Extracted,Estimated_Total_Facilities,Missing_Facilities,Facility_Types_Expected
Reliance Industries Limited,Oil Gas & Consumable Fuels,2,6,4,"['Refinery', 'Terminal', 'Office', 'Warehouse']"
Tata Consultancy Services Limited,Information Technology,3,5,2,"['Office', 'Data Center', 'Development Center']"
HDFC Bank Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
ICICI Bank Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
Bharti Airtel Limited,Telecommunication,2,12,10,"['Office', 'Tower', 'Data Center', 'Store']"
STATE BANK OF INDIA,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
Infosys Limited,Information Technology,2,5,3,"['Office', 'Data Center', 'Development Center']"
Life Insurance Corporation of India,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
Hindustan Unilever Limited,Fast Moving Consumer Goods,3,16,13,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
ITC Limited,Fast Moving Consumer Goods,2,16,14,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
Larsen & Toubro Limited,Construction,0,6,6,"['Office', 'Yard', 'Warehouse']"
Bajaj Finance Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
HCL Technologies Limited,Information Technology,3,5,2,"['Office', 'Data Center', 'Development Center']"
Maruti Suzuki India Limited,Automobile and Auto Components,4,8,4,"['Plant', 'Office', 'Warehouse', 'R&D']"
Sun Pharmaceutical Industries Limited,Healthcare,3,8,5,"['Hospital', 'Clinic', 'Office', 'Pharmacy']"
Adani Enterprises Limited,Metals & Mining,1,9,8,"['Mine', 'Plant', 'Office', 'Warehouse']"
KOTAK MAHINDRA BANK LIMITED,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
Tata Motors Limited,,1,4,3,"['Office', 'Facility']"
Axis Bank Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
NTPC LIMITED,Power,2,12,10,"['Power Plant', 'Substation', 'Office']"
Titan Company Limited,Consumer Durables,6,7,1,"['Factory', 'Office', 'Warehouse', 'Store']"
UltraTech Cement Limited,Construction Materials,2,8,6,"['Plant', 'Quarry', 'Office', 'Warehouse']"
Adani Ports and Special Economic Zone Limited,Services,2,5,3,"['Office', 'Branch']"
Asian Paints Limited,Consumer Durables,2,7,5,"['Factory', 'Office', 'Warehouse', 'Store']"
Avenue Supermarts Limited,Consumer Services,3,15,12,"['Store', 'Office', 'Warehouse', 'Distribution Center']"
COAL INDIA LIMITED,Oil Gas & Consumable Fuels,2,6,4,"['Refinery', 'Terminal', 'Office', 'Warehouse']"
Power Grid Corporation of India Limited,Power,2,12,10,"['Power Plant', 'Substation', 'Office']"
Mahindra & Mahindra Limited,Automobile and Auto Components,0,6,6,"['Plant', 'Office', 'Warehouse', 'R&D']"
Bajaj Finserv Limited,Financial Services,2,24,22,"['Branch', 'Office', 'Data Center']"
Wipro Limited,Information Technology,2,5,3,"['Office', 'Data Center', 'Development Center']"
HINDUSTAN AERONAUTICS LIMITED,Capital Goods,1,4,3,"['Office', 'Facility']"
Nestle India Limited,Fast Moving Consumer Goods,3,16,13,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
Bajaj Auto Limited,Automobile and Auto Components,1,6,5,"['Plant', 'Office', 'Warehouse', 'R&D']"
ADANI POWER LIMITED,Power,3,12,9,"['Power Plant', 'Substation', 'Office']"
Indian Oil Corporation Limited,Oil Gas & Consumable Fuels,8,8,0,"['Refinery', 'Terminal', 'Office', 'Warehouse']"
DLF Limited,Realty,3,5,2,"['Office', 'Facility']"
JSW Steel Limited,Metals & Mining,2,9,7,"['Mine', 'Plant', 'Office', 'Warehouse']"
Jio Financial Services Limited,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
INDIAN RAILWAY FINANCE CORPORATION LIMITED,Financial Services,1,24,23,"['Branch', 'Office', 'Data Center']"
Siemens Limited,Capital Goods,3,5,2,"['Office', 'Facility']"
Tata Steel Limited,Metals & Mining,3,9,6,"['Mine', 'Plant', 'Office', 'Warehouse']"
Varun Beverages Limited,Fast Moving Consumer Goods,3,16,13,"['Factory', 'Warehouse', 'Distribution Center', 'Office']"
Hindustan Zinc Limited,Metals & Mining,2,9,7,"['Mine', 'Plant', 'Office', 'Warehouse']"
BHARAT ELECTRONICS LIMITED,Capital Goods,1,4,3,"['Office', 'Facility']"
