Company_Name,NSE_Symbol,Sector,Land_Footprint_Hectares,Data_Source,Data_Tier,Confidence,Status
Reliance Industries Limited,RELIANCE,Oil Gas & Consumable Fuels,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Tata Consultancy Services Limited,TCS,Information Technology,0.5,Estimated (sector avg),Tier 3,40,Tier 3
HDFC Bank Limited,HDFCBANK,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
ICICI Bank Limited,ICICIBANK,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Bharti Airtel Limited,BHARTIARTL,Telecommunication,0.2,Estimated (sector avg),Tier 3,40,Tier 3
STATE BANK OF INDIA,SBIN,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Infosys Limited,INFY,Information Technology,0.5,Estimated (sector avg),Tier 3,40,Tier 3
Life Insurance Corporation of India,LICI,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Hindustan Unilever Limited,HINDUNILVR,Fast Moving Consumer Goods,3.0,Estimated (sector avg),Tier 3,40,Tier 3
ITC Limited,ITC,Fast Moving Consumer Goods,3.0,Estimated (sector avg),Tier 3,40,Tier 3
Larsen & Toubro Limited,LT,Construction,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Bajaj Finance Limited,BAJFINANCE,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
HCL Technologies Limited,HCLTECH,Information Technology,0.5,Estimated (sector avg),Tier 3,40,Tier 3
Maruti Suzuki India Limited,MARUTI,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
Sun Pharmaceutical Industries Limited,SUNPHARMA,Healthcare,1.0,Estimated (sector avg),Tier 3,40,Tier 3
Adani Enterprises Limited,ADANIENT,Metals & Mining,500.0,Estimated (sector avg),Tier 3,40,Tier 3
KOTAK MAHINDRA BANK LIMITED,KOTAKBANK,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Tata Motors Limited,,,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Axis Bank Limited,AXISBANK,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
NTPC LIMITED,NTPC,Power,100.0,Estimated (sector avg),Tier 3,40,Tier 3
Titan Company Limited,TITAN,Consumer Durables,5.0,Estimated (sector avg),Tier 3,40,Tier 3
UltraTech Cement Limited,ULTRACEMCO,Construction Materials,50.0,Estimated (sector avg),Tier 3,40,Tier 3
Adani Ports and Special Economic Zone Limited,ADANIPORTS,Services,0.2,Estimated (sector avg),Tier 3,40,Tier 3
Asian Paints Limited,ASIANPAINT,Consumer Durables,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Avenue Supermarts Limited,DMART,Consumer Services,5.0,Estimated (sector avg),Tier 3,40,Tier 3
COAL INDIA LIMITED,COALINDIA,Oil Gas & Consumable Fuels,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Power Grid Corporation of India Limited,POWERGRID,Power,100.0,Estimated (sector avg),Tier 3,40,Tier 3
Mahindra & Mahindra Limited,M&M,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
Bajaj Finserv Limited,BAJAJFINSV,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Wipro Limited,WIPRO,Information Technology,0.5,Estimated (sector avg),Tier 3,40,Tier 3
HINDUSTAN AERONAUTICS LIMITED,HAL,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Nestle India Limited,NESTLEIND,Fast Moving Consumer Goods,3.0,Estimated (sector avg),Tier 3,40,Tier 3
Bajaj Auto Limited,BAJAJ-AUTO,Automobile and Auto Components,10.0,Estimated (sector avg),Tier 3,40,Tier 3
ADANI POWER LIMITED,ADANIPOWER,Power,100.0,Estimated (sector avg),Tier 3,40,Tier 3
Indian Oil Corporation Limited,IOC,Oil Gas & Consumable Fuels,5.0,Estimated (sector avg),Tier 3,40,Tier 3
DLF Limited,DLF,Realty,5.0,Estimated (sector avg),Tier 3,40,Tier 3
JSW Steel Limited,JSWSTEEL,Metals & Mining,500.0,Estimated (sector avg),Tier 3,40,Tier 3
Jio Financial Services Limited,JIOFIN,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
INDIAN RAILWAY FINANCE CORPORATION LIMITED,IRFC,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Siemens Limited,SIEMENS,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Tata Steel Limited,TATASTEEL,Metals & Mining,500.0,Estimated (sector avg),Tier 3,40,Tier 3
Varun Beverages Limited,VBL,Fast Moving Consumer Goods,3.0,Estimated (sector avg),Tier 3,40,Tier 3
Hindustan Zinc Limited,HINDZINC,Metals & Mining,500.0,Estimated (sector avg),Tier 3,40,Tier 3
BHARAT ELECTRONICS LIMITED,BEL,Capital Goods,5.0,Estimated (sector avg),Tier 3,40,Tier 3
Grasim Industries Limited,GRASIM,Construction Materials,50.0,Estimated (sector avg),Tier 3,40,Tier 3
LTIMindtree Limited,LTIM,Information Technology,0.5,Estimated (sector avg),Tier 3,40,Tier 3
Pidilite Industries Limited,PIDILITIND,Chemicals,20.0,Estimated (sector avg),Tier 3,40,Tier 3
SBI Life Insurance Company Limited,SBILIFE,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
Power Finance Corporation Limited,PFC,Financial Services,0.1,Estimated (sector avg),Tier 3,40,Tier 3
InterGlobe Aviation Limited,INDIGO,Services,0.2,Estimated (sector avg),Tier 3,40,Tier 3
