Company_Name,Land_Footprint_Hectares,Raw_Value,Unit,Source,Data_Tier,Num_Area_Mentions,All_Areas_Found
360 ONE WAM LIMITED,28.329,70.0,acres,XBRL_TextExtraction,Tier_1,1,28.33 ha
3M INDIA LIMITED,,,,,,0,
Aarti Industries Limited,,,,,,0,
Aavas Financiers Limited,,,,,,0,
ABB India Limited,,,,,,0,
ACC Limited,997.08,997.08,ha,XBRL_TextExtraction,Tier_1,12,997.08 ha; 997.08 ha; 550.00 ha
Adani Energy Solutions Limited,,,,,,0,
Adani Enterprises Limited,2583.487,2583.487,Ha,XBRL_TextExtraction,Tier_1,1,2583.49 ha
Adani Ports and Special Economic Zone Limited,5000.0,5000.0,Ha,XBRL_TextExtraction,Tier_1,3,5000.00 ha; 4240.00 ha; 136.28 ha
ADANI POWER LIMITED,,,,,,0,
Adani Total Gas Limited,4.047,10.0,acres,XBRL_TextExtraction,Tier_1,3,4.05 ha; 4.05 ha; 2.63 ha
Aditya Birla Capital Limited,,,,,,0,
Aditya Birla Fashion and Retail Limited,,,,,,0,
Aditya Birla Sun Life AMC Limited,,,,,,0,
Aegis Logistics Limited,,,,,,0,
Aether Industries Limited,,,,,,0,
AIA ENGINEERING LIMITED,,,,,,0,
Ajanta Pharma Limited,,,,,,0,
Akzo Nobel India Limited,,,,,,0,
ALEMBIC PHARMACEUTICALS LIMITED,,,,,,0,
Alkem Laboratories Limited,,,,,,0,
ALKYL AMINES CHEMICALS LIMITED,,,,,,0,
ALOK INDUSTRIES LIMITED,,,,,,0,
Amara Raja Energy  Mobility Limited,,,,,,0,
Amber Enterprises India Limited,,,,,,0,
Ambuja Cements Limited,880.31,880.31,ha,XBRL_TextExtraction,Tier_1,10,880.31 ha; 880.31 ha; 699.99 ha
Anand Rathi Wealth Limited,,,,,,0,
Anant Raj Limited,,,,,,0,
Angel One Limited,,,,,,0,
Anupam Rasayan India Limited,,,,,,0,
APAR Industries Limited,,,,,,0,
APL Apollo Tubes Limited,,,,,,0,
Apollo Tyres Limited,,,,,,0,
Aptus Value Housing Finance India Limited,,,,,,0,
Archean Chemical Industries Limited,,,,,,0,
ARVIND LIMITED,,,,,,0,
Asahi India Glass Limited,,,,,,0,
Ashok Leyland Limited,,,,,,0,
Asian Paints Limited,,,,,,0,
Aster DM Healthcare Limited,22.2585,55.0,acre,XBRL_TextExtraction,Tier_1,1,22.26 ha
Astral Limited,,,,,,0,
AstraZeneca Pharma India Limited,,,,,,0,
Atul Limited,,,,,,0,
AUROBINDO PHARMA LIMITED,,,,,,0,
Authum Investment  Infrastructure Limited,,,,,,0,
AU Small Finance Bank Limited,,,,,,0,
Avenue Supermarts Limited,,,,,,0,
Axis Bank Limited,,,,,,0,
Bajaj Auto Limited,,,,,,0,
BAJAJ ELECTRICALS LIMITED,,,,,,0,
Bajaj Finance Limited,,,,,,0,
Bajaj Finserv Limited,,,,,,0,
Bajaj Holdings  Investment Limited,,,,,,0,
Balkrishna Industries Limited,,,,,,0,
Balrampur Chini Mills Limited,,,,,,0,
Bandhan Bank Limited,20.0,20.0,hectares,XBRL_TextExtraction,Tier_1,1,20.00 ha
Bank of Baroda,,,,,,0,
BANK OF INDIA,,,,,,0,
BANK OF MAHARASHTRA,,,,,,0,
BASF India Limited,,,,,,0,
BATA INDIA LIMITED,,,,,,0,
BEML Limited,,,,,,0,
Bharat Dynamics Limited,,,,,,0,
BHARAT ELECTRONICS LIMITED,277.2195,685.0,acres,XBRL_TextExtraction,Tier_1,1,277.22 ha
Bharat Forge Limited,,,,,,0,
BHARAT HEAVY ELECTRICALS LIMITED,,,,,,0,
Bharti Airtel Limited,,,,,,0,
Bharti Hexacom Limited,,,,,,0,
Bikaji Foods International Limited,,,,,,0,
Biocon Limited,10.360320000000002,25.6,acres,XBRL_TextExtraction,Tier_1,1,10.36 ha
Birlasoft Limited,,,,,,0,
Birla Corporation Limited,,,,,,0,
BLS International Services Limited,,,,,,0,
Blue Dart Express Limited,,,,,,0,
Blue Star Limited,,,,,,0,
Bosch limited,,,,,,0,
Brigade Enterprises Limited,14.500401,35.83,Acres,XBRL_TextExtraction,Tier_1,4,14.50 ha; 14.50 ha; 5.93 ha
Britannia Industries Limited,,,,,,0,
Campus Activewear Limited,,,,,,0,
Canara Bank,,,,,,0,
Can Fin Homes Limited,,,,,,0,
Caplin Point Laboratories Limited,,,,,,0,
Capri Global Capital Limited,,,,,,0,
Carborundum Universal Limited,,,,,,0,
Castrol India Limited,,,,,,0,
CCL Products India Limited,,,,,,0,
CEAT Limited,0.5,0.5,hectares,XBRL_TextExtraction,Tier_1,1,0.50 ha
Cello World Limited,,,,,,0,
Central Bank of India,,,,,,0,
Century Plyboards India Limited,,,,,,0,
CERA Sanitaryware Limited,,,,,,0,
CESC Limited,0.35238200000000003,3523.82,sq. m,XBRL_TextExtraction,Tier_1,1,0.35 ha
