Company_Name,Sector,Indicator_ID,Value,Unit,Source_URL,Data_Year,Confidence,Data_Tier,Extraction_Method,Dimension
360 ONE WAM LIMITED,Unknown,1.1_scope1_emissions,0.21,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
360 ONE WAM LIMITED,Unknown,1.2_scope2_emissions,381.07,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
360 ONE WAM LIMITED,Unknown,1.4_total_energy_renewable,7946.59,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
360 ONE WAM LIMITED,Unknown,1.4_total_energy_non_renewable,1887.02,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
360 ONE WAM LIMITED,Unknown,1.4_total_energy,9833.61,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
360 ONE WAM LIMITED,Unknown,1.4_energy_intensity,2.984e-07,GJ/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
360 ONE WAM LIMITED,Unknown,2.1_water_withdrawal,14350.0,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
360 ONE WAM LIMITED,Unknown,2.2_water_discharged,0.0,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
360 ONE WAM LIMITED,Unknown,2.3_water_intensity,4.355e-07,KL/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
360 ONE WAM LIMITED,Unknown,5.2_total_waste_generated,36.2,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
360 ONE WAM LIMITED,Unknown,5.2_total_waste_recovered,35.97,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
360 ONE WAM LIMITED,Unknown,5.2_total_waste_disposed,0.23,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
360 ONE WAM LIMITED,Unknown,5.2_waste_recycled,35.97,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
360 ONE WAM LIMITED,Unknown,5.2_waste_reused,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
360 ONE WAM LIMITED,Unknown,5.2_plastic_waste,0.18,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
360 ONE WAM LIMITED,Unknown,5.2_e_waste,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
360 ONE WAM LIMITED,Unknown,5.2_battery_waste,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
360 ONE WAM LIMITED,Unknown,5.2_biomedical_waste,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
360 ONE WAM LIMITED,Unknown,5.2_radioactive_waste,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
360 ONE WAM LIMITED,Unknown,5.3_waste_intensity,1.1e-09,tonnes/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
3M INDIA LIMITED,Unknown,1.1_scope1_emissions,4550.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
3M INDIA LIMITED,Unknown,1.2_scope2_emissions,10774.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
3M INDIA LIMITED,Unknown,1.3_scope3_emissions,551734.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
3M INDIA LIMITED,Unknown,1.4_total_energy_renewable,18003.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
3M INDIA LIMITED,Unknown,1.4_total_energy_non_renewable,98945.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
3M INDIA LIMITED,Unknown,1.4_total_energy,116948.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
3M INDIA LIMITED,Unknown,1.4_energy_intensity,2.6307e-06,GJ/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
3M INDIA LIMITED,Unknown,2.1_water_withdrawal,88437.0,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
3M INDIA LIMITED,Unknown,2.2_water_discharged,0.0,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
3M INDIA LIMITED,Unknown,2.3_water_intensity,1.9893e-06,KL/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
3M INDIA LIMITED,Unknown,5.1_hazardous_air_pollutants,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
3M INDIA LIMITED,Unknown,5.2_total_waste_generated,4531.55,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
3M INDIA LIMITED,Unknown,5.2_total_waste_recovered,4405.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
3M INDIA LIMITED,Unknown,5.2_total_waste_disposed,126.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
3M INDIA LIMITED,Unknown,5.2_waste_recycled,1274.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
3M INDIA LIMITED,Unknown,5.2_waste_reused,1140.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
3M INDIA LIMITED,Unknown,5.2_plastic_waste,455.68,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
3M INDIA LIMITED,Unknown,5.2_e_waste,5.62,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
3M INDIA LIMITED,Unknown,5.2_battery_waste,4.55,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
3M INDIA LIMITED,Unknown,5.2_biomedical_waste,0.17,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
3M INDIA LIMITED,Unknown,5.2_radioactive_waste,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
3M INDIA LIMITED,Unknown,5.3_waste_intensity,1.019e-07,tonnes/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aarti Industries Limited,Unknown,1.1_scope1_emissions,620823.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Aarti Industries Limited,Unknown,1.2_scope2_emissions,171010.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Aarti Industries Limited,Unknown,1.3_scope3_emissions,1941181.0,tCO2e,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Aarti Industries Limited,Unknown,1.4_total_energy_renewable,201466.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Aarti Industries Limited,Unknown,1.4_total_energy_non_renewable,7874304.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Aarti Industries Limited,Unknown,1.4_total_energy,8075770.0,GJ,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Aarti Industries Limited,Unknown,1.4_energy_intensity,0.0001003698,GJ/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,1. Climate & Atmosphere
Aarti Industries Limited,Unknown,2.1_water_withdrawal,2931534.0,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Aarti Industries Limited,Unknown,2.2_water_discharged,283047.0,KL,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Aarti Industries Limited,Unknown,2.3_water_intensity,3.29167e-05,KL/Rs Cr,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,2. Freshwater
Aarti Industries Limited,Unknown,5.1_hazardous_air_pollutants,0.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aarti Industries Limited,Unknown,5.2_total_waste_generated,468736.07,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
Aarti Industries Limited,Unknown,5.2_total_waste_recovered,442862.0,tonnes,BRSR XBRL Filing,FY 2023-24,95,1,XBRL,5. Pollution
