Company_Name,Sector,City,State,Base_MSA_Loss,Sector_EIF,Weighted_MSA_Loss,Data_Tier,Confidence,MSA_Intensity,Revenue_Cr,Revenue_Source,Revenue_Confidence,Sector_EIF_V5,MSA_Intensity_V5
360 ONE WAM LIMITED,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.200276399003011,3295.0930124,BRSR_XBRL,HIGH,0.75,0.12518614753747218
3M INDIA LIMITED,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.1673599206484933,4445.5563083,BRSR_XBRL,HIGH,0.75,0.10459883257621318
ACC Limited,Cement,Bangalore,Karnataka,0.48,1.0,0.48,Tier 2,75%,0.0233077581363379,20594.0,BRSR_XBRL,HIGH,0.17,0.00396231912207439
ADANI POWER LIMITED,Power Generation,Chennai,Tamil Nadu,0.52,2.5,1.3,Tier 2,75%,0.0220691228470133,60281.0,BRSR_XBRL,HIGH,0.3,0.002587880094888937
AIA ENGINEERING LIMITED,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,19963.013354815543,4062.0415,BRSR_XBRL,HIGH,0.75,0.10708900930726581
ALEMBIC PHARMACEUTICALS LIMITED,Pharmaceuticals,Hyderabad,Telangana,0.45,0.5,0.225,Tier 2,75%,0.037297157537439,6032.632314292,BRSR_XBRL,HIGH,0.07,0.0052216011782075435
ALKYL AMINES CHEMICALS LIMITED,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.3206473288935031,1601.62,BRSR_XBRL,HIGH,0.75,0.19667586568599293
ALOK INDUSTRIES LIMITED,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,1686270.9440629554,3801.8408982,BRSR_XBRL,HIGH,0.75,0.10060915494414731
APAR Industries Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.0355197505728656,18581.21169103,BRSR_XBRL,HIGH,0.75,0.02219984395307937
APL Apollo Tubes Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.0359600205443977,20689.540554482,BRSR_XBRL,HIGH,0.75,0.022475124509193922
ARVIND LIMITED,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.075495629154485,8621.9527161,BRSR_XBRL,HIGH,0.75,0.04175388242709362
AU Small Finance Bank Limited,Financial Services,Chennai,Tamil Nadu,0.52,0.01,0.0052,Tier 2,75%,0.0002797216656672,18590.0420368,BRSR_XBRL,HIGH,0.12,0.003356635766421388
AUROBINDO PHARMA LIMITED,Pharmaceuticals,Kolkata,West Bengal,0.58,0.5,0.29,Tier 2,75%,0.0091414113900299,34498.9947647,BRSR_XBRL,HIGH,0.07,0.0011768458842616094
Aarti Industries Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.0671139618884638,8078.5789829,BRSR_XBRL,HIGH,0.75,0.04177714926280838
Aavas Financiers Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.2137153535812215,2358.415041658,BRSR_XBRL,HIGH,0.75,0.1335642770402916
Adani Energy Solutions Limited,Power Generation,Ahmedabad,Gujarat,0.51,2.5,1.275,Tier 2,75%,0.0521546085659512,24446.55,BRSR_XBRL,HIGH,0.3,0.006258551820195487
Adani Enterprises Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.0159774915345046,97894.75,BRSR_XBRL,HIGH,0.75,0.004213709111060604
Adani Ports and Special Economic Zone Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.0243440079373456,32383.08,BRSR_XBRL,HIGH,0.75,0.014359350623844302
Adani Total Gas Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.106436558456036,5411.68,BRSR_XBRL,HIGH,0.75,0.06652278035656209
Aditya Birla Capital Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.0153749296828504,40589.98,BRSR_XBRL,HIGH,0.75,0.009608282635271068
Aditya Birla Fashion and Retail Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,464836.70609355246,7733.12,Gemini_Low,LOW,0.75,0.05625155176694528
Aditya Birla Sun Life AMC Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.3254717997715534,1659.0874554,BRSR_XBRL,HIGH,0.75,0.20342508099950043
Aegis Logistics Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.1693105155064111,2980.3505,BRSR_XBRL,HIGH,0.75,0.10569226673171495
Aether Industries Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,734840.315225825,991.99,Gemini_Medium,MEDIUM,0.75,0.3855885644008508
Ajanta Pharma Limited,Pharmaceuticals,Mumbai,Maharashtra,0.55,0.5,0.275,Tier 2,75%,0.0591640715630114,4648.1,BRSR_XBRL,HIGH,0.07,0.008282954325423291
Akzo Nobel India Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.181851023291382,4091.211,BRSR_XBRL,HIGH,0.75,0.11365827868569965
Alkem Laboratories Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.0545910354831304,10551.132578511,BRSR_XBRL,HIGH,0.75,0.03411955989759765
Amara Raja Energy  Mobility Limited,Power Generation,Chennai,Tamil Nadu,0.52,2.5,1.3,Tier 2,75%,1047973.823226216,12404.8988372,BRSR_XBRL,HIGH,0.3,0.012575676919845957
Amber Enterprises India Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.0697890950215814,9973.015655987,BRSR_XBRL,HIGH,0.75,0.04361769950083862
Ambuja Cements Limited,Cement,Hyderabad,Telangana,0.45,1.0,0.45,Tier 2,75%,0.0238638162366502,18857.0,BRSR_XBRL,HIGH,0.17,0.004056848915522088
Anand Rathi Wealth Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.5568365916491539,905.0699,BRSR_XBRL,HIGH,0.75,0.3480394166240641
Anant Raj Limited,Chemicals & Fertilizers,Ahmedabad,Gujarat,0.51,1.2,0.612,Tier 2,75%,0.4981291122880705,1228.5977135,BRSR_XBRL,HIGH,0.75,0.311330548475744
Anupam Rasayan India Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.4592984333054982,1505.316,BRSR_XBRL,HIGH,0.75,0.27402884178471504
Apollo Tyres Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.0416326631924244,17870.600635,BRSR_XBRL,HIGH,0.75,0.02602039010872899
Aptus Value Housing Finance India Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,0.3291425960283394,1798.0,BRSR_XBRL,HIGH,0.75,0.20022246941045604
Asahi India Glass Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,0.1447255177104509,4347.8256667,BRSR_XBRL,HIGH,0.75,0.08970000867031315
Ashok Leyland Limited,Chemicals & Fertilizers,Kolkata,West Bengal,0.58,1.2,0.696,Tier 2,75%,0.0179601611719435,45276.0,BRSR_XBRL,HIGH,0.75,0.009607739199575933
Asian Paints Limited,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.0182724569972393,37172.75,BRSR_XBRL,HIGH,0.75,0.009079231426246377
Aster DM Healthcare Limited,Chemicals & Fertilizers,Pune,Maharashtra,0.42,1.2,0.504,Tier 2,75%,0.1217845267398719,4138.46,BRSR_XBRL,HIGH,0.75,0.07611526993132711
AstraZeneca Pharma India Limited,Pharmaceuticals,Ahmedabad,Gujarat,0.51,0.5,0.255,Tier 2,75%,0.1485787398037469,1716.29166566,BRSR_XBRL,HIGH,0.07,0.020800660350623775
Astral Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.1246221129214755,6415.6831175,BRSR_XBRL,HIGH,0.75,0.06429556953566294
Atul Limited,Chemicals & Fertilizers,Delhi,Delhi,0.62,1.2,0.744,Tier 2,75%,0.1466101940998023,5074.6806729,BRSR_XBRL,HIGH,0.75,0.09163138135631083
Authum Investment  Infrastructure Limited,Chemicals & Fertilizers,Bangalore,Karnataka,0.48,1.2,0.576,Tier 2,75%,,2477.0,Manual_Verified,HIGH,0.75,0.14533710133225677
Avenue Supermarts Limited,Chemicals & Fertilizers,Chennai,Tamil Nadu,0.52,1.2,0.624,Tier 2,75%,107977.51368263138,57790.0,BRSR_XBRL,HIGH,0.75,0.0067485724173732475
Axis Bank Limited,Financial Services,Kolkata,West Bengal,0.58,0.01,0.0058,Tier 2,75%,0.00040107185965,147934.0963169,BRSR_XBRL,HIGH,0.12,0.00047047977263405834
BAJAJ ELECTRICALS LIMITED,Chemicals & Fertilizers,Hyderabad,Telangana,0.45,1.2,0.54,Tier 2,75%,0.1118406358361474,5157.498897496,BRSR_XBRL,HIGH,0.75,0.06543869552039236
BANK OF INDIA,Financial Services,Pune,Maharashtra,0.42,0.01,0.0042,Tier 2,75%,5.262117559731423e-05,79820.0,BRSR_XBRL,HIGH,0.12,0.0006314206965672762
BANK OF MAHARASHTRA,Financial Services,Ahmedabad,Gujarat,0.51,0.01,0.0051,Tier 2,75%,0.0001795732733844,234930.0,BRSR_XBRL,HIGH,0.12,0.00026050312859149534
BASF India Limited,Chemicals & Fertilizers,Mumbai,Maharashtra,0.55,1.2,0.66,Tier 2,75%,0.0435288003670963,15162.35,BRSR_XBRL,HIGH,0.75,0.027205545314545568
