Company_Name,NSE_Symbol,BSE_Code,Sector,Market_Cap_Cr,BRSR_PDF_URL,BRSR_XBRL_URL,Submission_Date,Has_BRSR,Priority,Data_Source_Expected,Source,Revenue_Cr,Website
Reliance Industries Limited,RELIANCE,,Oil Gas & Consumable Fuels,1947786.742,https://nsearchives.nseindia.com/corporate/kavinavora_07082025133236_SE_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1504867_07082025013302_WEB.xml,07-Aug-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Tata Consultancy Services Limited,TCS,,Information Technology,1421580.062,https://nsearchives.nseindia.com/corporate/TCS_CORPCS_30062025164004_BRSR-2024-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1474736_30062025044052_WEB.xml,30-Jun-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
HDFC Bank Limited,HDFCBANK,,Financial Services,1146926.21,https://nsearchives.nseindia.com/corporate/HDFCBANK_14072025080813_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1481748_14072025080910_WEB.xml,14-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
ICICI Bank Limited,ICICIBANK,,Financial Services,757772.5401,https://nsearchives.nseindia.com/corporate/ICICI2022_05082025202810_NSEBSEAnnualReport05082025.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1503412_05082025083000_WEB.xml,05-Aug-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Bharti Airtel Limited,BHARTIARTL,,Telecommunication,731292.4685,https://nsearchives.nseindia.com/corporate/BHARTIARTL_16072025232215_BAL_STX_BRSR_FY24-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1484884_16072025112237_WEB.xml,16-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
STATE BANK OF INDIA,SBIN,,Financial Services,673507.4489,https://nsearchives.nseindia.com/corporate/SBIN_26062025191305_mergedDSC.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1472447_26062025071319_WEB.xml,22-May-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Infosys Limited,INFY,,Information Technology,640773.0816,https://nsearchives.nseindia.com/corporate/Infosys_03072025215225_Infosys_Integrated_Annual_Report_2024-25.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1477079_03072025095250_WEB.xml,03-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Life Insurance Corporation of India,LICI,,Financial Services,613639.9639,https://nsearchives.nseindia.com/corporate/LIC_BOARD_30072025182416_Disclosure_BRSR.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1498280_30072025062838_WEB.xml,30-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
Hindustan Unilever Limited,HINDUNILVR,,Fast Moving Consumer Goods,562156.9971,https://nsearchives.nseindia.com/corporate/HINDUNILVR_18072025110703_BRSRPDF.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1486091_18072025110717_WEB.xml,18-Jul-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
ITC Limited,ITC,,Fast Moving Consumer Goods,538751.1395,https://nsearchives.nseindia.com/corporate/ITC_27062025154418_SE_BRSR_.pdf,https://nsearchives.nseindia.com/corporate/xbrl/BRSR_1473051_27062025034500_WEB.xml,27-Jun-25,Yes,TOP_500_MKTCAP,BRSR_XBRL,NSE_BRSR_Top500,,
