Company_Name,Battery Waste,Biomedical Waste,E-Waste Generated,Energy Intensity,Hazardous Air Pollutants,Plastic Waste Generated,Radioactive Waste,Scope 1 GHG Emissions,Scope 2 GHG Emissions,Scope 3 GHG Emissions,Total Energy Consumption,Total Energy from Non-Renewable Sources,Total Energy from Renewable Sources,Total Waste Disposed,Total Waste Generated,Total Waste Recovered,Total Water Discharged,Total Water Withdrawal,Waste Intensity,Waste Recycled,Waste Reused,Water Intensity,Land_Footprint_Hectares_x,Biodiversity_MSA_Loss,Sector,Data_Tier,Land_Footprint_Hectares_y,Total_Indicators,Data_Completeness_Pct
360 ONE WAM LIMITED,0.0,0.0,0.0,2.984e-07,,0.18,0.0,0.21,381.07,,9833.61,1887.02,7946.59,0.23,36.2,35.97,0.0,14350.0,1.1e-09,35.97,0.0,4.355e-07,0.1,0.66,Chemicals & Fertilizers,Tier 2,0.1,23,92.0
3M INDIA LIMITED,4.55,0.17,5.62,2.6307e-06,0.0,455.68,0.0,4550.0,10774.0,551734.0,116948.0,98945.0,18003.0,126.0,4531.55,4405.0,0.0,88437.0,1.019e-07,1274.0,1140.0,1.9893e-06,5.0,0.744,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
ACC Limited,32.0,0.5,26.0,0.000335036,0.0,39453.0,0.0,13488976.0,625212.0,,68997318.0,63010229.0,5987089.0,0.5,477485.5,477485.0,0.0,4799919.85,2.3186e-06,477485.0,0.0,2.33074e-05,50.0,0.48,Cement,Tier 2,50.0,24,96.0
ADANI POWER LIMITED,182.6036,0.1,32.50778,0.0016503439,0.0,287.6855,0.0,86427664.95,1366.59,24135597.0,972148773.14,972148366.72,406.42,14.99,15451984.18988,15578084.4,519667226.44,752186371.0,2.62317e-05,31648.58,15546435.82,0.0003763891,100.0,1.3,Power Generation,Tier 2,100.0,25,100.0
AIA ENGINEERING LIMITED,7.12,0.01,1.43,4.4486918719,0.0,276.6,0.0,28902.21,147511.55,120225.78,1551013.11,1241008.66,310004.45,122312.66,134380.48,12067.82,0.0,249578.0,0.3854366835,1447.24,0.0,0.834508455,5.0,0.696,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
ALEMBIC PHARMACEUTICALS LIMITED,21.98,16.78,1.53,2.12108e-05,0.0,227.92,0.0,80278.03,77965.98,,1279569.36,1028846.25,250723.11,34531.46,43512.18,8889.39,93991.24,769226.41,7.213e-07,8889.39,0.0,1.1193e-05,1.0,0.225,Pharmaceuticals,Tier 2,1.0,24,96.0
ALKYL AMINES CHEMICALS LIMITED,0.648,0.006,0.0,0.0001751505,0.0,86.12,0.0,360680.0,24352.0,293070.0,2753051.22,2714104.0,38947.22,1668.0,14128.354,13139.12,91997.0,771103.0,8.989e-07,13053.0,86.12,5.64358e-05,20.0,0.504,Chemicals & Fertilizers,Tier 2,20.0,25,100.0
ALOK INDUSTRIES LIMITED,10.65,0.01,4.68,48.2810561787,0.0,348.91,0.0,969200.0,0.0,,175226.92,2603899.0,175226.92,37.0,14305.02,11185.0,1204283.0,1604504.0,3.9415260752,11185.0,0.0,327.1511664752,5.0,0.612,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
APAR Industries Limited,0.02,0.02,2.27,0.0065470198,0.0,714.99,0.0,39329.0,122479.0,4667283.0,1216515600.0,1149418800.0,67096800.0,280.0,12327.08,12050.0,0.0,363693.0,6.63e-08,12050.0,0.0,1.9573e-06,5.0,0.66,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
APL Apollo Tubes Limited,2.0,0.0,60.0,6.7097e-06,0.0,4.0,0.0,31243.0,124341.0,1163120.0,1388213.0,1110385.0,277828.0,0.0,143644.0,143520.0,108493.0,907155.0,6.943e-07,122832.0,20688.0,4.3846e-06,5.0,0.744,Chemicals & Fertilizers,Tier 2,5.0,25,100.0
ARVIND LIMITED,0.0,0.0,27.0,8.11e-08,0.0,762.0,0.0,253283.0,190808.0,,6187.59,3895.28,2292.31,108999.0,34493.0,23593.0,38433.0,2684426.0,4.519e-07,23593.0,0.0,3.46683e-05,5.0,0.576,Chemicals & Fertilizers,Tier 2,5.0,24,96.0
AU Small Finance Bank Limited,70.51,0.0,80.18,1.6068e-06,,3.48,0.0,316.89,28075.87,,298702.64,290880.28,7822.36,28.06,162.86,134.8,251673.24,566264.79,9e-10,70.174,64.29,3.0461e-06,0.1,0.0052,Financial Services,Tier 2,0.1,23,92.0
AUROBINDO PHARMA LIMITED,0.0,354.0,3.0,3.32132e-05,0.0,837.0,0.0,750616.0,474772.0,360221.0,10536478.0,9759862.0,776616.0,23535.0,55538.0,31620.0,828639.0,5543209.0,1.751e-07,31620.0,0.0,1.74734e-05,1.0,0.29,Pharmaceuticals,Tier 2,1.0,25,100.0
