Company_Name,Sector,Revenue_INR,Revenue_Million_EUR,Exiobase_Sector,Factor_Used,Scope3_Biodiversity_MSA,Scope3_Intensity,Scope3_per_Billion_INR,Scope3_Impact_Rank,Scope3_Intensity_Rank
GAIL (India) Limited,Oil & Gas,850000000000.0,9444.444444444443,Mining of coal and lignite; extraction of peat,0.4,3777.7777777777774,0.4,4.444444444444445,6,14.0
Karnataka State Mineral Corporation,Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445,16,14.0
Odisha Mining Corporation,Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445,17,14.0
AP Mineral Development Corporation,Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445,18,14.0
GMDC (Gujarat Mineral Development Corporation),Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445,19,14.0
NMDC (National Mineral Development Corporation),Mining,236679301870.0,2629.770020777778,Mining of coal and lignite; extraction of peat,0.4,1051.9080083111112,0.4,4.444444444444445,15,14.0
Westlife Foodworld Limited,FMCG / Consumer Goods,181414605312.0,2015.7178368,Food products nec,0.5,1007.8589184,0.5,5.555555555555555,21,1.0
Electrosteel Castings Limited,Steel & Iron,718530000000.0,7983.666666666667,Construction,0.1,798.3666666666668,0.1,1.1111111111111114,24,85.0
Sandur Manganese & Iron Ores Limited,Steel & Iron,718530000000.0,7983.666666666667,Construction,0.1,798.3666666666668,0.1,1.1111111111111114,25,85.0
CIE AUTOMOTIVE INDIA LIMITED,Automobile,611333301210.0,6792.592235666667,Construction,0.1,679.2592235666667,0.1,1.1111111111111114,31,85.0
Varun Beverages Limited,FMCG / Consumer Goods,120000000000.0,1333.3333333333333,Food products nec,0.5,666.6666666666666,0.5,5.555555555555555,32,1.0
Kalyani Steels,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,45,85.0
Electrosteel Steels,Steel & Iron,479020000000.0,5322.444444444444,Construction,0.1,532.2444444444444,0.1,1.1111111111111112,51,85.0
