file_path,filename,company_raw,report_type,matched_company
data\TNFD reports\Hindustan_Zinc_Final-TNFD-Report.pdf,Hindustan_Zinc_Final-TNFD-Report.pdf,Hindustan,TNFD,Hindustan Copper
data\TNFD reports\Vedanta-Aluminium-TNFD-2025.pdf,Vedanta-Aluminium-TNFD-2025.pdf,Vedanta,TNFD,"Vedanta Resources (Zinc, Copper, Iron)"
data\TNFD reports\Vedanta_6_TNFD_Report_2025.pdf,Vedanta_6_TNFD_Report_2025.pdf,Vedanta,TNFD,"Vedanta Resources (Zinc, Copper, Iron)"
Additional reports\Downloaded_Reports\Annual_Reports\Birla Corporation Limited_Green Initiative.pdf,Birla Corporation Limited_Green Initiative.pdf,Birla Corporation Limited,Annual,Birla Corporation
Additional reports\Downloaded_Reports\Annual_Reports\Birla Corporation_Green Initiative.pdf,Birla Corporation_Green Initiative.pdf,Birla Corporation,Annual,Birla Corporation
Additional reports\Downloaded_Reports\Annual_Reports\L&T Finance Limited_Subsidiary Companies Annual Report- FY2024-25.pdf,L&T Finance Limited_Subsidiary Companies Annual Report- FY2024-25.pdf,L&T Finance Limited,Annual,L&T Finance Limited
Additional reports\Downloaded_Reports\Annual_Reports\Sagar Cements_2025_Download.pdf,Sagar Cements_2025_Download.pdf,Sagar Cements,Annual,Sagar Cements
Additional reports\Downloaded_Reports\Annual_Sustainability_Reports\Birla Corporation Limited_2021_CSR Brochure 2021-22.pdf,Birla Corporation Limited_2021_CSR Brochure 2021-22.pdf,Birla Corporation Limited,Sustainability,Birla Corporation
Additional reports\Downloaded_Reports\Annual_Sustainability_Reports\Birla Corporation_2021_CSR Brochure 2021-22.pdf,Birla Corporation_2021_CSR Brochure 2021-22.pdf,Birla Corporation,Sustainability,Birla Corporation
Additional reports\Downloaded_Reports\Annual_Sustainability_Reports\COAL INDIA LIMITED_2021_2021-22.pdf,COAL INDIA LIMITED_2021_2021-22.pdf,COAL INDIA LIMITED,Sustainability,Coal India Limited
Additional reports\Downloaded_Reports\Annual_Sustainability_Reports\KSB Limited_2023_Sustainability Magazine 2023_24.pdf,KSB Limited_2023_Sustainability Magazine 2023_24.pdf,KSB Limited,Sustainability,KSB Limited
Additional reports\Downloaded_Reports\Annual_Sustainability_Reports\L&T Finance Limited_Committee Details.pdf,L&T Finance Limited_Committee Details.pdf,L&T Finance Limited,Sustainability,L&T Finance Limited
Additional reports\Downloaded_Reports\Annual_Sustainability_Reports\LTIMindtree Limited_2024_Read More.pdf,LTIMindtree Limited_2024_Read More.pdf,LTIMindtree Limited,Sustainability,LTIMindtree Limited
Additional reports\Downloaded_Reports\Annual_Sustainability_Reports\Sagar Cements_report.pdf,Sagar Cements_report.pdf,Sagar Cements,Sustainability,Sagar Cements
Additional reports\Downloaded_Reports\Annual_Sustainability_Reports\Siemens Limited_2025_Read more in Siemens Impact 2025.pdf,Siemens Limited_2025_Read more in Siemens Impact 2025.pdf,Siemens Limited,Sustainability,Siemens Limited
Additional reports\Downloaded_Reports\Annual_Sustainability_Reports\Visa Steel_Corporate Social Responsibility (CSR) Policy.pdf,Visa Steel_Corporate Social Responsibility (CSR) Policy.pdf,Visa Steel,Sustainability,Visa Steel
