Company_Name,Sector,Total_Points,Tier1_Points,Unique_Indicators,Tier1_Unique_Indicators,Tier1_Coverage_Pct
Adani Energy Solutions Limited,Unknown,27,27,19,19,172.72727272727272
ALEMBIC PHARMACEUTICALS LIMITED,Unknown,18,18,18,18,163.63636363636365
Jindal Stainless Limited,Unknown,16,16,16,16,145.45454545454547
JSW Steel Limited,Unknown,16,16,16,16,145.45454545454547
Star Cement Limited,Unknown,15,15,15,15,136.36363636363635
RBL Bank Limited,Unknown,15,15,15,15,136.36363636363635
Oberoi Realty Limited,Unknown,16,16,15,15,136.36363636363635
hindalco-TNFD-2024-report,Unknown,14,14,14,14,127.27272727272727
Tech Mahindra Limited,Unknown,14,14,14,14,127.27272727272727
Dalmia Bharat Limited,Unknown,14,14,14,14,127.27272727272727
Tejas Networks Limited,Unknown,13,13,13,13,118.18181818181819
Coforge Limited,Unknown,13,13,13,13,118.18181818181819
JSL-TNFD-Report-FY-2024-25,Unknown,13,13,13,13,118.18181818181819
Piramal Enterprises Limited,Unknown,12,12,12,12,109.09090909090908
Tata,Unknown,13,13,12,12,109.09090909090908
Tech,Unknown,12,12,12,12,109.09090909090908
CESC Limited,Unknown,11,11,11,11,100.0
Welspun Corp Limited,Unknown,11,11,11,11,100.0
Tata Elxsi Limited,Unknown,12,12,11,11,100.0
Hindustan,Unknown,11,11,11,11,100.0
UNITED BREWERIES LIMITED,Unknown,13,13,10,10,90.9090909090909
Piramal Pharma Limited,Unknown,16,16,10,10,90.9090909090909
POLY MEDICURE LIMITED,Unknown,14,14,10,10,90.9090909090909
Ramkrishna Forgings Limited,Unknown,12,12,9,9,81.81818181818183
L&T Finance Limited,Financial Services,9,9,9,9,81.81818181818183
Tata Motors Limited,Unknown,9,9,9,9,81.81818181818183
itc-nature-report,Unknown,8,8,8,8,72.72727272727273
Vedanta,Unknown,8,8,8,8,72.72727272727273
Larsen & Toubro Limited,IT Services,15,15,8,8,72.72727272727273
Himadri Speciality Chemical Limited,Chemicals,8,8,8,8,72.72727272727273
Trident Limited,Textiles & Paper,12,12,7,7,63.63636363636363
LTIMindtree Limited,IT Services,7,7,7,7,63.63636363636363
Haldiram Snacks Food Private Limited,FMCG,7,7,7,7,63.63636363636363
JK Paper,Paper,7,7,7,7,63.63636363636363
West Coast Paper Mills,Paper,7,7,7,7,63.63636363636363
West Coast Paper Mills Limited,Paper & Pulp,7,7,7,7,63.63636363636363
MANKIND PHARMA LIMITED,Unknown,8,8,7,7,63.63636363636363
IDFC FIRST Bank Limited,Unknown,7,7,7,7,63.63636363636363
Vardhman Textiles,Textiles,7,7,7,7,63.63636363636363
Electrosteel Castings,Steel & Iron,7,7,7,7,63.63636363636363
JSW Energy,Power,7,7,7,7,63.63636363636363
Bikaji Foods,FMCG,7,7,7,7,63.63636363636363
Emami Paper Mills Limited,Paper & Pulp,14,14,7,7,63.63636363636363
Latent View Analytics Limited,Unknown,7,7,7,7,63.63636363636363
CCL Products (India) Limited,FMCG,6,6,6,6,54.54545454545454
DIVI'S LABORATORIES LIMITED,Other Business Services,6,6,6,6,54.54545454545454
JK Tyre & Industries Limited,Other Business Services,6,6,6,6,54.54545454545454
Varun Beverages (PepsiCo franchise),FMCG,6,6,6,6,54.54545454545454
LT Technology Services Limited,IT Services,6,6,6,6,54.54545454545454
Welspun Living Limited (formerly Welspun India),Textiles,6,6,6,6,54.54545454545454
Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),Paper,6,6,6,6,54.54545454545454
Minda Corporation Limited,Other Business Services,6,6,6,6,54.54545454545454
Seshasayee Paper and Boards Limited,Paper & Pulp,11,11,6,6,54.54545454545454
Sanofi India Limited,Other Business Services,6,6,6,6,54.54545454545454
Bharat Heavy Electricals Limited (BHEL),Engineering,11,11,6,6,54.54545454545454
TATA COMMUNICATIONS LIMITED,Unknown,6,6,6,6,54.54545454545454
"GMR Airports (Delhi, Hyderabad)",Other Business Services,6,6,6,6,54.54545454545454
Mangalam Cement,Cement,6,6,6,6,54.54545454545454
Sagar Cements,Unknown,6,6,6,6,54.54545454545454
