Company_Name,NumberOfLocations,ContextRef
360 ONE WAM LIMITED,0,D_Plant_National
3M INDIA LIMITED,3,D_Plant_National
Aarti Industries Limited,16,D_Plant_National
Aavas Financiers Limited,0,D_Plant_National
ABB India Limited,7,D_Plant_National
ACC Limited,17,D_Plant_National
Adani Energy Solutions Limited,1,D_Plant_National
Adani Enterprises Limited,44,D_Plant_National
Adani Ports and Special Economic Zone Limited,50,D_Plant_National
ADANI POWER LIMITED,12,D_Plant_National
Adani Total Gas Limited,1257,D_Plant_National
Aditya Birla Capital Limited,0,D_Plant_National
Aditya Birla Fashion and Retail Limited,22,D_Plant_National
Aditya Birla Sun Life AMC Limited,0,D_Plant_National
Aegis Logistics Limited,1,D_Plant_National
Aether Industries Limited,3,D_Plant_National
AIA ENGINEERING LIMITED,5,D_Plant_National
Ajanta Pharma Limited,7,D_Plant_National
Akzo Nobel India Limited,5,D_Plant_National
ALEMBIC PHARMACEUTICALS LIMITED,11,D_Plant_National
Alkem Laboratories Limited,13,D_Plant_National
ALKYL AMINES CHEMICALS LIMITED,6,D_Plant_National
ALOK INDUSTRIES LIMITED,13,D_Plant_National
Amara Raja Energy  Mobility Limited,9,D_Plant_National
Amber Enterprises India Limited,30,D_Plant_National
Ambuja Cements Limited,15,D_Plant_National
Anand Rathi Wealth Limited,0,D_Plant_National
Anant Raj Limited,0,D_Plant_National
Angel One Limited,0,D_Plant_National
Anupam Rasayan India Limited,9,D_Plant_National
APAR Industries Limited,10,D_Plant_National
APL Apollo Tubes Limited,10,D_Plant_National
Apollo Tyres Limited,5,D_Plant_National
Aptus Value Housing Finance India Limited,0,D_Plant_National
Archean Chemical Industries Limited,1,D_Plant_National
ARVIND LIMITED,12,D_Plant_National
Asahi India Glass Limited,14,D_Plant_National
Ashok Leyland Limited,9,D_Plant_National
Asian Paints Limited,13,D_Plant_National
Aster DM Healthcare Limited,494,D_Plant_National
Astral Limited,14,D_Plant_National
AstraZeneca Pharma India Limited,1,D_Plant_National
Atul Limited,4,D_Plant_National
AUROBINDO PHARMA LIMITED,28,D_Plant_National
Authum Investment  Infrastructure Limited,0,D_Plant_National
