Company_Name,2.3,2.5,5.3,5.4,5.5,Company_Name_Original
360 ONE WAM LIMITED,0.0,0.0,90.0,1.89,0.45,360 ONE WAM LIMITED
3M INDIA LIMITED,24.5,12450.0,72.0,84.2,2.1,3M INDIA LIMITED
ACC Limited,14.8,0.0,99.0,12450.0,12.4,ACC Limited
ADANI POWER LIMITED,80.7,198418.0,99.5,176.9,107.74,ADANI POWER LIMITED
AIA ENGINEERING LIMITED,100.0,0.0,,293.0,1.25,AIA ENGINEERING LIMITED
ALEMBIC PHARMACEUTICALS LIMITED,25.0,0.0,92.0,145.0,4.2,ALEMBIC PHARMACEUTICALS LIMITED
ALKYL AMINES CHEMICALS LIMITED,7.23,0.0,13.09,12.0,0.8,ALKYL AMINES CHEMICALS LIMITED
ALOK INDUSTRIES LIMITED,42.0,154200.0,68.5,540.0,2.4,ALOK INDUSTRIES LIMITED
APAR Industries Limited,100.0,0.0,95.3,124.0,8.6,APAR Industries Limited
APL Apollo Tubes Limited,45.0,0.0,80.0,528.0,12.0,APL Apollo Tubes Limited
ARVIND LIMITED,86.0,0.0,98.0,783.3,5.8,ARVIND LIMITED
AU Small Finance Bank Limited,0.0,251673.0,85.0,5.2,18.4,AU Small Finance Bank Limited
AUROBINDO PHARMA LIMITED,42.0,0.0,74.5,1845.0,12.8,AUROBINDO PHARMA LIMITED
Aarti Industries Limited,38.0,45800.0,62.0,212.0,3.2,Aarti Industries Limited
Aavas Financiers Limited,0.0,0.0,92.0,0.24,2.15,Aavas Financiers Limited
"Adani Airports (Mumbai, Ahmedabad, 6 others)",78.0,0.0,88.0,1450.0,12.5,"Adani Airports (Mumbai, Ahmedabad, 6 others)"
Adani Energy Solutions Limited,15.0,0.0,88.0,1.2,45.6,Adani Energy Solutions Limited
Adani Enterprises Limited,12.5,125000.0,95.0,415.0,22.4,Adani Enterprises Limited
Adani Ports and Special Economic Zone Limited,22.0,0.0,91.0,124.0,14.5,Adani Ports and Special Economic Zone Limited
Adani Total Gas Limited,0.0,0.0,78.0,0.85,1.4,Adani Total Gas Limited
Aditya Birla Capital Limited,0.0,0.0,94.0,1.5,12.8,Aditya Birla Capital Limited
Aditya Birla Fashion and Retail Limited,65.0,4200.0,82.0,1450.0,4.2,Aditya Birla Fashion and Retail Limited
Aditya Birla Sun Life AMC Limited,0.0,0.0,90.0,0.8,12.4,Aditya Birla Sun Life AMC Limited
Aegis Logistics Limited,0.0,1200.0,45.0,2.4,0.6,Aegis Logistics Limited
Aether Industries Limited,100.0,0.0,38.0,12.4,0.6,Aether Industries Limited
Ajanta Pharma Limited,100.0,0.0,88.0,84.5,2.1,Ajanta Pharma Limited
Akzo Nobel India Limited,18.5,0.0,72.0,315.0,1.4,Akzo Nobel India Limited
Alkem Laboratories Limited,32.0,0.0,85.5,412.0,5.6,Alkem Laboratories Limited
Amara Raja Energy  Mobility Limited,14.0,0.0,99.5,2415.0,8.4,Amara Raja Energy  Mobility Limited
