Company_Name,Company_Name_Original,2.3,2.5,5.3,5.4,5.5
360 ONE WAM LIMITED,360 ONE WAM LIMITED,0.0,0.0,90.0,1.89,0.45
3M INDIA LIMITED,3M INDIA LIMITED,24.5,12450.0,72.0,84.2,2.1
ACC Limited,ACC Limited,14.8,0.0,99.0,12450.0,12.4
ADANI POWER LIMITED,ADANI POWER LIMITED,80.7,198418.0,99.5,176.9,107.74
AIA ENGINEERING LIMITED,AIA ENGINEERING LIMITED,100.0,0.0,,293.0,1.25
ALEMBIC PHARMACEUTICALS LIMITED,ALEMBIC PHARMACEUTICALS LIMITED,25.0,0.0,92.0,145.0,4.2
ALKYL AMINES CHEMICALS LIMITED,ALKYL AMINES CHEMICALS LIMITED,7.23,0.0,13.09,12.0,0.8
ALOK INDUSTRIES LIMITED,ALOK INDUSTRIES LIMITED,42.0,154200.0,68.5,540.0,2.4
APAR Industries Limited,APAR Industries Limited,100.0,0.0,95.3,124.0,8.6
APL Apollo Tubes Limited,APL Apollo Tubes Limited,45.0,0.0,80.0,528.0,12.0
ARVIND LIMITED,ARVIND LIMITED,86.0,0.0,98.0,783.3,5.8
AU Small Finance Bank Limited,AU Small Finance Bank Limited,0.0,251673.0,85.0,5.2,18.4
AUROBINDO PHARMA LIMITED,AUROBINDO PHARMA LIMITED,42.0,0.0,74.5,1845.0,12.8
Aarti Industries Limited,Aarti Industries Limited,38.0,45800.0,62.0,212.0,3.2
Aavas Financiers Limited,Aavas Financiers Limited,0.0,0.0,92.0,0.24,2.15
"Adani Airports (Mumbai, Ahmedabad, 6 others)","Adani Airports (Mumbai, Ahmedabad, 6 others)",78.0,0.0,88.0,1450.0,12.5
Adani Energy Solutions Limited,Adani Energy Solutions Limited,15.0,0.0,88.0,1.2,45.6
Adani Enterprises Limited,Adani Enterprises Limited,12.5,125000.0,95.0,415.0,22.4
Adani Ports and Special Economic Zone Limited,Adani Ports and Special Economic Zone Limited,22.0,0.0,91.0,124.0,14.5
Adani Total Gas Limited,Adani Total Gas Limited,0.0,0.0,78.0,0.85,1.4
Aditya Birla Capital Limited,Aditya Birla Capital Limited,0.0,0.0,94.0,1.5,12.8
Aditya Birla Fashion and Retail Limited,Aditya Birla Fashion and Retail Limited,65.0,4200.0,82.0,1450.0,4.2
Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life AMC Limited,0.0,0.0,90.0,0.8,12.4
Aegis Logistics Limited,Aegis Logistics Limited,0.0,1200.0,45.0,2.4,0.6
Aether Industries Limited,Aether Industries Limited,100.0,0.0,38.0,12.4,0.6
Ajanta Pharma Limited,Ajanta Pharma Limited,100.0,0.0,88.0,84.5,2.1
Akzo Nobel India Limited,Akzo Nobel India Limited,18.5,0.0,72.0,315.0,1.4
Alkem Laboratories Limited,Alkem Laboratories Limited,32.0,0.0,85.5,412.0,5.6
Amara Raja Energy  Mobility Limited,Amara Raja Energy  Mobility Limited,14.0,0.0,99.5,2415.0,8.4
Amber Enterprises India Limited,Amber Enterprises India Limited,12.0,4500.0,68.0,142.0,2.8
Ambuja Cements Limited,Ambuja Cements Limited,18.4,0.0,98.6,14580.0,14.2
Anand Rathi Wealth Limited,Anand Rathi Wealth Limited,0.0,0.0,95.0,0.45,4.5
Anant Raj Limited,Anant Raj Limited,75.0,0.0,62.0,2.1,0.4
Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),Andhra Paper Limited (formerly Andhra Pradesh Paper Mills),62.0,4120000.0,94.5,415.0,2.1
Anupam Rasayan India Limited,Anupam Rasayan India Limited,100.0,0.0,42.0,84.0,1.2
Apollo Tyres Limited,Apollo Tyres Limited,22.6,124500.0,88.0,452.0,18.4
Aptus Value Housing Finance India Limited,Aptus Value Housing Finance India Limited,0.0,0.0,92.0,0.8,2.8
Asahi India Glass Limited,Asahi India Glass Limited,10.5,4250.0,95.0,145.0,1.8
Ashok Leyland Limited,Ashok Leyland Limited,48.0,0.0,92.5,415.0,14.8
Asian Paints Limited,Asian Paints Limited,22.4,0.0,78.0,42500.0,11.2
Aster DM Healthcare Limited,Aster DM Healthcare Limited,35.0,12450.0,22.0,18.4,14.5
AstraZeneca Pharma India Limited,AstraZeneca Pharma India Limited,100.0,0.0,84.0,14.2,2.1
Astral Limited,Astral Limited,100.0,0.0,99.0,145.0,1.4
Atul Limited,Atul Limited,14.5,125800.0,42.0,185.0,2.8
Avenue Supermarts Limited,Avenue Supermarts Limited,15.0,0.0,68.0,8450.0,4.2
Axis Bank Limited,Axis Bank Limited,0.0,412000.0,94.5,12.5,1480.0
BAJAJ ELECTRICALS LIMITED,BAJAJ ELECTRICALS LIMITED,10.0,1240.0,82.0,2150.0,14.8
BANK OF INDIA,BANK OF INDIA,0.0,0.0,88.0,4.2,412.0
BANK OF MAHARASHTRA,BANK OF MAHARASHTRA,0.0,0.0,90.0,2.1,124.0
BASF India Limited,BASF India Limited,14.2,42500.0,42.0,84.5,1.4
BATA INDIA LIMITED,BATA INDIA LIMITED,42.0,12450.0,78.0,412.0,2.8
BEML Limited,BEML Limited,12.0,45000.0,86.0,4.5,1.2
BHARAT ELECTRONICS LIMITED,BHARAT ELECTRONICS LIMITED,38.0,0.0,72.5,14.2,148.0
BHARAT HEAVY ELECTRICALS LIMITED,BHARAT HEAVY ELECTRICALS LIMITED,42.0,412000.0,92.0,48.0,124.0
BLS International Services Limited,BLS International Services Limited,0.0,0.0,98.0,0.4,4.5
Bajaj Auto Limited,Bajaj Auto Limited,52.0,0.0,91.5,1450.0,22.4
Bajaj Finance Limited,Bajaj Finance Limited,0.0,0.0,96.0,1.2,45.2
Bajaj Finserv Limited,Bajaj Finserv Limited,0.0,0.0,95.0,0.8,12.4
Bajaj Holdings  Investment Limited,Bajaj Holdings  Investment Limited,0.0,0.0,0.0,0.0,0.5
Balkrishna Industries Limited,Balkrishna Industries Limited,42.0,0.0,84.5,215.0,4.2
Balrampur Chini Mills Limited,Balrampur Chini Mills Limited,22.1,0.0,98.0,42.0,1.2
Bandhan Bank Limited,Bandhan Bank Limited,0.0,425000.0,92.0,8.4,125.0
Bangalore International Airport Ltd (BIAL),Bangalore International Airport Ltd (BIAL),100.0,0.0,95.0,412.0,5.8
Bharat Dynamics Limited,Bharat Dynamics Limited,14.5,0.0,82.0,4.2,12.8
Bharat Forge Limited,Bharat Forge Limited,28.4,0.0,98.5,145.0,8.6
Bharat Heavy Electricals Limited (BHEL),Bharat Heavy Electricals Limited (BHEL),42.0,412000.0,92.0,48.0,124.0
Bharti Airtel Limited,Bharti Airtel Limited,12.0,125800.0,95.0,1450.0,2450.0
Bharti Hexacom Limited,Bharti Hexacom Limited,0.0,0.0,92.0,12.0,148.0
Bikaji Foods International Limited,Bikaji Foods International Limited,18.5,12450.0,72.0,14500.0,0.8
Biocon Limited,Biocon Limited,45.0,0.0,78.0,845.0,14.2
Birla Corporation Limited,Birla Corporation Limited,14.8,0.0,98.0,8450.0,4.2
Birlasoft Limited,Birlasoft Limited,38.0,0.0,92.0,1.2,125.0
Blue Dart Express Limited,Blue Dart Express Limited,0.0,0.0,94.0,415.0,24.5
Blue Star Limited,Blue Star Limited,12.0,1500.0,84.0,412.0,14.5
Bosch limited,Bosch limited,34.0,0.0,91.0,312.0,45.6
Brigade Enterprises Limited,Brigade Enterprises Limited,72.0,0.0,68.0,4.2,2.8
Britannia Industries Limited,Britannia Industries Limited,15.0,154200.0,82.0,42500.0,5.4
CCL Products India Limited,CCL Products (India) Limited,14.0,12450.0,95.0,185.0,0.6
CE INFO SYSTEMS LIMITED,CE INFO SYSTEMS LIMITED,0.0,0.0,98.0,0.2,8.4
CEAT Limited,CEAT Limited,22.5,0.0,88.0,412.0,12.5
CERA Sanitaryware Limited,CERA Sanitaryware Limited,12.0,0.0,75.0,145.0,2.1
CESC Limited,CESC Limited,82.0,1250000.0,99.5,12.0,18.4
CG Power and Industrial Solutions Limited,CG Power and Industrial Solutions Limited,24.5,0.0,88.0,312.0,45.2
CHENNAI PETROLEUM CORPORATION LIMITED,CHENNAI PETROLEUM CORPORATION LIMITED,42.0,1258000.0,68.0,14.5,4.2
CITY UNION BANK LIMITED,CITY UNION BANK LIMITED,0.0,0.0,92.0,1.2,85.0
COAL INDIA LIMITED,COAL INDIA LIMITED,78.0,12450000.0,65.0,22.0,412.0
COROMANDEL INTERNATIONAL LIMITED,COROMANDEL INTERNATIONAL LIMITED,18.5,0.0,42.0,12450.0,8.4
Campus Activewear Limited,Campus Activewear Limited,12.0,4200.0,84.0,415.0,0.4
Can Fin Homes Limited,Can Fin Homes Limited,0.0,0.0,94.0,0.6,1.2
Canara Bank,Canara Bank,0.0,0.0,88.0,4.5,1250.0
Caplin Point Laboratories Limited,Caplin Point Laboratories Limited,100.0,0.0,78.0,124.0,1.8
Capri Global Capital Limited,Capri Global Capital Limited,0.0,0.0,92.0,0.8,5.4
Carborundum Universal Limited,Carborundum Universal Limited,22.5,12400.0,84.0,145.0,4.2
Cello World Limited,Cello World Limited,14.0,0.0,98.0,8540.0,0.4
Century Plyboards India Limited,Century Plyboards India Limited,18.2,15400.0,95.0,415.0,1.2
Chalet Hotels Limited,Chalet Hotels Limited,78.0,0.0,65.0,18.4,2.8
Chemplast Sanmar Limited,Chemplast Sanmar Limited,100.0,0.0,42.0,12.5,1.4
Cholamandalam Financial Holdings Limited,Cholamandalam Financial Holdings Limited,0.0,0.0,95.0,0.2,0.8
Cholamandalam Investment and Finance Company Limited,Cholamandalam Investment and Finance Company Limited,0.0,125000.0,92.0,4.5,148.0
Cipla Limited,Cipla Limited,48.5,0.0,84.0,1450.0,14.8
Clean Science and Technology Limited,Clean Science and Technology Limited,100.0,0.0,45.0,14.2,0.6
Cochin International Airport (CIAL),Cochin International Airport (CIAL),85.0,0.0,92.0,845.0,4.2
Cochin Shipyard Limited,Cochin Shipyard Limited,12.4,45000.0,88.0,48.0,4.2
Coforge Limited,Coforge Limited,42.0,0.0,95.0,1.4,85.2
Computer Age Management Services Limited,Computer Age Management Services Limited,0.0,0.0,98.0,0.8,24.5
Concord Biotech Limited,Concord Biotech Limited,100.0,0.0,72.0,142.0,1.2
Container Corporation of India Limited,Container Corporation of India Limited,10.0,12500.0,78.0,14.5,18.4
Craftsman Automation Limited,Craftsman Automation Limited,18.5,0.0,92.0,14.2,2.8
CreditAccess Grameen Limited,CreditAccess Grameen Limited,0.0,0.0,95.0,0.6,12.5
Crompton Greaves Consumer Electricals Limited,Crompton Greaves Consumer Electricals Limited,14.0,1200.0,82.0,1450.0,112.0
Cummins India Limited,Cummins India Limited,52.0,0.0,95.0,124.0,14.5
Cyient Limited,Cyient Limited,45.0,0.0,92.0,1.2,45.8
DCM Shriram Limited,DCM Shriram Limited,22.5,0.0,98.0,145.0,4.2
DIVIS LABORATORIES LIMITED,DIVIS LABORATORIES LIMITED,38.0,0.0,85.5,412.0,12.5
DLF Limited,DLF Limited,100.0,0.0,95.0,142.0,85.0
DOMS Industries Limited,DOMS Industries Limited,12.0,1200.0,95.0,1250.0,0.4
Dabur India Limited,Dabur India Limited,18.5,154200.0,82.0,35000.0,4.2
Dalmia Bharat Limited,Dalmia Bharat Limited,14.8,0.0,99.5,14580.0,8.4
Damodar Valley Corporation (DVC),Damodar Valley Corporation (DVC),82.5,12450000.0,99.8,14.5,112.4
Data Patterns India Limited,Data Patterns India Limited,0.0,0.0,92.0,1.2,12.8
Deepak Nitrite Limited,Deepak Nitrite Limited,32.0,0.0,42.0,145.0,2.8
Delhivery Limited,Delhivery Limited,0.0,0.0,95.0,4150.0,45.2
Devyani International Limited,Devyani International Limited,0.0,12450.0,68.0,1450.0,0.8
Dixon Technologies India Limited,Dixon Technologies India Limited,14.0,0.0,88.0,412.0,450.0
Dr Reddys Laboratories Limited,Dr Reddys Laboratories Limited,32.0,0.0,88.0,2845.0,18.4
EICHER MOTORS LIMITED,EICHER MOTORS LIMITED,45.0,0.0,92.0,412.0,12.5
EIH Limited,EIH Limited,82.0,0.0,68.0,24.0,4.2
ESAB India Limited,ESAB India Limited,12.0,4500.0,78.0,84.0,1.4
Easy Trip Planners Limited,Easy Trip Planners Limited,0.0,0.0,95.0,0.8,8.4
Electronics Mart India Limited,Electronics Mart India Limited,0.0,0.0,92.0,415.0,112.0
Electrosteel Castings,Electrosteel Castings,22.5,0.0,94.0,42.0,1.2
Elgi Equipments Limited,Elgi Equipments Limited,18.5,0.0,84.0,42.0,2.8
Emami Limited,Emami Limited,14.0,12450.0,72.0,28450.0,1.4
Emami Paper Mills Limited,Emami Paper Mills Limited,65.0,1250000.0,92.0,145.0,1.2
Endurance Technologies Limited,Endurance Technologies Limited,22.0,0.0,95.0,145.0,4.2
Engineers India Limited,Engineers India Limited,0.0,0.0,98.0,1.2,12.5
Equitas Small Finance Bank Limited,Equitas Small Finance Bank Limited,0.0,124500.0,92.0,2.8,45.2
Eris Lifesciences Limited,Eris Lifesciences Limited,100.0,0.0,78.0,84.0,1.4
Escorts Kubota Limited,Escorts Kubota Limited,22.5,0.0,91.0,145.0,14.2
Essar Steel India (AM/NS India),Essar Steel India (AM/NS India),38.4,1245000.0,99.5,415.0,45.2
Eureka Forbes Limited,Eureka Forbes Limited,0.0,0.0,82.0,1240.0,45.8
Exide Industries Limited,Exide Industries Limited,28.4,0.0,99.5,1845.0,22.4
FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED,12.5,1250000.0,45.0,1250.0,2.8
FINE ORGANIC INDUSTRIES LIMITED,FINE ORGANIC INDUSTRIES LIMITED,100.0,0.0,62.0,84.2,0.8
Finolex Cables Limited,Finolex Cables Limited,14.0,4200.0,95.0,145.0,2.1
Finolex Industries Limited,Finolex Industries Limited,100.0,0.0,98.5,184.0,4.5
Firstsource Solutions Limited,Firstsource Solutions Limited,38.0,0.0,92.0,1.2,112.0
Five-Star Business Finance Limited,Five-Star Business Finance Limited,0.0,0.0,95.0,0.4,8.4
Force Motors Ltd,Force Motors Ltd,22.5,0.0,91.0,142.0,4.2
Fortis Healthcare Limited,Fortis Healthcare Limited,32.0,154200.0,18.5,45.2,112.5
G R Infraprojects Limited,G R Infraprojects Limited,5.0,0.0,42.0,12.0,0.8
GAIL (India) Limited,GAIL (India) Limited,14.5,125000.0,68.0,124.0,12.8
GAIL India Limited,GAIL India Limited,14.5,125000.0,68.0,124.0,12.8
GALAXY SURFACTANTS LIMITED,GALAXY SURFACTANTS LIMITED,100.0,0.0,82.0,145.0,1.4
GLAND PHARMA LIMITED,GLAND PHARMA LIMITED,100.0,0.0,78.0,185.0,2.8
GLOBAL HEALTH LIMITED,GLOBAL HEALTH LIMITED,35.0,12450.0,22.0,18.4,14.5
"GMR Airports (Delhi, Hyderabad)","GMR Airports (Delhi, Hyderabad)",85.0,0.0,92.0,2150.0,18.4
GODAWARI POWER AND ISPAT LIMITED,GODAWARI POWER AND ISPAT LIMITED,72.0,0.0,99.5,14.2,5.8
GODFREY PHILLIPS INDIA LIMITED,GODFREY PHILLIPS INDIA LIMITED,15.0,12000.0,78.0,4150.0,2.1
GODREJ AGROVET LIMITED,GODREJ AGROVET LIMITED,18.5,45200.0,92.0,4120.0,1.4
GRANULES INDIA LIMITED,GRANULES INDIA LIMITED,100.0,0.0,82.0,185.0,2.1
GRAPHITE INDIA LIMITED,GRAPHITE INDIA LIMITED,22.0,12450.0,88.0,14.5,0.8
GUJARAT GAS LIMITED,GUJARAT GAS LIMITED,0.0,0.0,74.0,1.2,4.2
GVK Mumbai Airport,GVK Mumbai Airport,82.0,0.0,91.0,845.0,8.4
Garden Reach Shipbuilders  Engineers Limited,Garden Reach Shipbuilders  Engineers Limited,12.0,12500.0,86.0,14.2,2.8
General Insurance Corporation of India,General Insurance Corporation of India,0.0,0.0,95.0,0.2,12.4
Genus Power Infrastructures Limited,Genus Power Infrastructures Limited,14.0,0.0,78.0,185.0,8.4
Gillette India Limited,Gillette India Limited,18.0,4200.0,92.0,4150.0,0.6
GlaxoSmithKline Pharmaceuticals Limited,GlaxoSmithKline Pharmaceuticals Limited,100.0,0.0,84.5,285.0,2.4
Glenmark Pharmaceuticals Limited,Glenmark Pharmaceuticals Limited,42.0,0.0,78.0,1240.0,12.5
Go Digit General Insurance Limited,Go Digit General Insurance Limited,0.0,0.0,98.0,0.4,14.5
Godrej Consumer Products Limited,Godrej Consumer Products Limited,22.5,12450.0,95.0,42500.0,2.8
Godrej Industries Limited,Godrej Industries Limited,32.4,0.0,88.0,1245.0,4.2
Godrej Properties Limited,Godrej Properties Limited,100.0,0.0,92.0,45.2,1.4
Grasim Industries Limited,Grasim Industries Limited,48.5,412000.0,94.0,14580.0,18.4
Grindwell Norton Limited,Grindwell Norton Limited,22.0,15000.0,82.0,124.0,2.1
Gujarat Ambuja Exports Limited,Gujarat Ambuja Exports Limited,14.5,45000.0,98.0,845.0,0.4
Gujarat Fluorochemicals Limited,Gujarat Fluorochemicals Limited,100.0,0.0,42.0,145.0,4.2
Gujarat Pipavav Port Limited,Gujarat Pipavav Port Limited,24.0,0.0,88.0,18.4,1.2
Gujarat State Petronet Limited,Gujarat State Petronet Limited,0.0,0.0,72.0,0.6,2.8
HCL Technologies Limited,HCL Technologies Limited,42.0,0.0,96.0,18.4,850.0
HDFC Asset Management Company Limited,HDFC Asset Management Company Limited,0.0,0.0,98.0,0.8,14.2
HDFC Bank Limited,HDFC Bank Limited,0.0,1245000.0,92.0,24.5,1480.0
HDFC Life Insurance Company Limited,HDFC Life Insurance Company Limited,0.0,0.0,95.0,1.2,24.5
HEG Limited,HEG Limited,22.5,0.0,84.0,14.5,2.1
HERO MOTOCORP LIMITED,HERO MOTOCORP LIMITED,52.4,0.0,92.0,2845.0,18.4
HFCL Limited,HFCL Limited,14.0,4200.0,94.0,412.0,14.5
HINDALCO INDUSTRIES LIMITED,HINDALCO INDUSTRIES LIMITED,24.5,124500.0,88.0,415.0,45.2
HINDUSTAN AERONAUTICS LIMITED,HINDUSTAN AERONAUTICS LIMITED,38.0,412000.0,72.0,24.5,125.0
HINDUSTAN COPPER LIMITED,HINDUSTAN COPPER LIMITED,62.0,154200.0,12.0,1.4,2.1
HONEYWELL AUTOMATION INDIA LIMITED,HONEYWELL AUTOMATION INDIA LIMITED,22.0,0.0,88.0,45.2,12.4
Haldiram Snacks Food Private Limited,Haldiram Snacks Food Private Limited,18.5,12450.0,72.0,14500.0,0.8
Happiest Minds Technologies Limited,Happiest Minds Technologies Limited,35.0,0.0,92.0,0.85,45.2
Happy Forgings Limited,Happy Forgings Limited,15.5,0.0,98.0,14.5,0.6
Heritage Foods,Heritage Foods,14.0,45000.0,92.0,14500.0,1.2
Himadri Speciality Chemical Limited,Himadri Speciality Chemical Limited,100.0,0.0,42.0,45.2,1.4
Hindustan Petroleum Corporation Limited,Hindustan Petroleum Corporation Limited,30.4,1258000.0,62.0,1240.0,45.8
Hindustan Unilever Limited,Hindustan Unilever Limited,22.5,412000.0,98.0,124500.0,14.2
Hindustan Zinc Limited,Hindustan Zinc Limited,89.0,0.0,92.0,412.0,11.5
Hitachi Energy India Limited,Hitachi Energy India Limited,22.0,0.0,84.5,145.0,42.8
Home First Finance Company India Limited,Home First Finance Company India Limited,0.0,0.0,94.0,0.45,4.2
Honasa Consumer Limited,Honasa Consumer Limited,12.0,4500.0,78.0,8450.0,0.6
ICICI Bank Limited,ICICI Bank Limited,0.0,1245000.0,92.0,45.2,1845.0
ICICI Lombard General Insurance Company Limited,ICICI Lombard General Insurance Company Limited,0.0,0.0,98.0,1.2,24.5
ICICI Prudential Life Insurance Company Limited,ICICI Prudential Life Insurance Company Limited,0.0,0.0,95.0,1.4,45.2
IDBI Bank Limited,IDBI Bank Limited,0.0,0.0,88.0,2.1,412.0
IDFC FIRST Bank Limited,IDFC FIRST Bank Limited,0.0,124500.0,92.0,4.2,85.0
IFCI Limited,IFCI Limited,0.0,0.0,95.0,0.2,1.2
IIFL Finance Limited,IIFL Finance Limited,0.0,0.0,92.0,1.4,24.8
INDIAN OVERSEAS BANK,INDIAN OVERSEAS BANK,0.0,0.0,84.0,1.2,112.0
INDIAN RAILWAY FINANCE CORPORATION LIMITED,INDIAN RAILWAY FINANCE CORPORATION LIMITED,0.0,0.0,0.0,0.0,0.5
INOX India Limited,INOX India Limited,14.5,0.0,82.0,12.4,0.8
INTELLECT DESIGN ARENA LIMITED,INTELLECT DESIGN ARENA LIMITED,42.0,0.0,95.0,0.6,24.5
IRB Infrastructure Developers Limited,IRB Infrastructure Developers Limited,5.0,0.0,45.0,2.8,1.2
ISGEC Heavy Engineering Limited,ISGEC Heavy Engineering Limited,18.5,12450.0,91.0,42.0,2.1
ITC Limited,ITC Limited,58.0,4120000.0,99.5,72000.0,45.2
