Company_Name,Indicator_ID,Indicator_Name,Value,Unit,Fiscal_Year,Confidence,Source_Page,Notes
360 ONE WAM LIMITED,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Service sector: no industrial recycling reported
360 ONE WAM LIMITED,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,P6 Q1,Discharged to municipal sewers (estimated nil effluent)
360 ONE WAM LIMITED,5.3,Waste Recycled %,90.0,%,FY2023-24,MEDIUM,P6 Q4,Calculated based on paper waste disposal
360 ONE WAM LIMITED,5.4,Plastic Waste,1.89,MT,FY2023-24,HIGH,Sustainability Report,EPR credits for non-manufacturing office use
360 ONE WAM LIMITED,5.5,E-Waste,0.45,MT,FY2023-24,HIGH,P6 Q4,Disposed via authorized IT recyclers
3M INDIA LIMITED,2.3,Water Recycling %,24.5,%,FY2023-24,HIGH,BRSR P6 Q1,Recycling at Ahmedabad and Ranjangaon plants
3M INDIA LIMITED,2.5,Water Discharge,12450.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated effluent discharge to surface water
3M INDIA LIMITED,5.3,Waste Recycled %,72.0,%,FY2023-24,HIGH,P6 Q4,Includes industrial scrap and paper recycling
3M INDIA LIMITED,5.4,Plastic Waste,84.2,MT,FY2023-24,HIGH,P6 Q4,EPR obligations fulfilled through collection credits
3M INDIA LIMITED,5.5,E-Waste,2.1,MT,FY2023-24,HIGH,P6 Q4,Electronic scrap from manufacturing lines
ACC Limited,2.3,Water Recycling %,14.8,%,FY2023-24,HIGH,BRSR P6 Q1,Extensive water positivity focus in mining units
ACC Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) at all integrated units
ACC Limited,5.3,Waste Recycled %,99.0,%,FY2023-24,HIGH,P6 Q4,Co-processing of non-hazardous waste in cement kilns
ACC Limited,5.4,Plastic Waste,12450.0,MT,FY2023-24,HIGH,Sustainability Report,Plastic Negative; 7x collection vs generation
ACC Limited,5.5,E-Waste,12.4,MT,FY2023-24,HIGH,P6 Q4,Authorized scrap channels used for old hardware
ADANI POWER LIMITED,2.3,Water Recycling %,80.7,%,FY2023-24,HIGH,BRSR P6 Q1,Recycled cooling water and ash pond water
ADANI POWER LIMITED,2.5,Water Discharge,198418.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Discharged after treatment to surface water
ADANI POWER LIMITED,5.3,Waste Recycled %,99.5,%,FY2023-24,HIGH,P6 Q4,100% fly ash utilization achieved
ADANI POWER LIMITED,5.4,Plastic Waste,176.9,MT,FY2023-24,HIGH,P6 Q4,EPR compliant packaging management
ADANI POWER LIMITED,5.5,E-Waste,107.74,MT,FY2023-24,HIGH,P6 Q4,Plant control system hardware and IT assets
AIA ENGINEERING LIMITED,2.3,Water Recycling %,100.0,%,FY2023-24,HIGH,BRSR P6 Q1,100% wastewater recycling via ETP/STP
AIA ENGINEERING LIMITED,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) framework
AIA ENGINEERING LIMITED,5.4,Plastic Waste,293.0,MT,FY2023-24,HIGH,BRSR P6 Q4,Mainly HDPE and packaging plastic waste
AIA ENGINEERING LIMITED,5.5,E-Waste,1.25,MT,FY2023-24,HIGH,BRSR P6 Q4,End-of-life IT hardware disposal
ALEMBIC PHARMACEUTICALS LIMITED,2.3,Water Recycling %,25.0,%,FY2023-24,MEDIUM,Sustainability Report,Recycled for cooling tower makeup
ALEMBIC PHARMACEUTICALS LIMITED,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) at Vadodara plant
ALEMBIC PHARMACEUTICALS LIMITED,5.3,Waste Recycled %,92.0,%,FY2023-24,HIGH,P6 Q4,3R implementation in production facilities
ALEMBIC PHARMACEUTICALS LIMITED,5.4,Plastic Waste,145.0,MT,FY2023-24,HIGH,P6 Q4,EPR compliance for secondary packaging
ALEMBIC PHARMACEUTICALS LIMITED,5.5,E-Waste,4.2,MT,FY2023-24,HIGH,P6 Q4,Registered recyclers used for electronics
ALKYL AMINES CHEMICALS LIMITED,2.3,Water Recycling %,7.23,%,FY2023-24,HIGH,BRSR P6 Q1,Wastewater reuse in chemical processes
ALKYL AMINES CHEMICALS LIMITED,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Discharge to CETP / Zero discharge mandate
ALKYL AMINES CHEMICALS LIMITED,5.3,Waste Recycled %,13.09,%,FY2023-24,HIGH,P6 Q4,Hazardous waste focused recycling
ALKYL AMINES CHEMICALS LIMITED,5.4,Plastic Waste,12.0,MT,FY2023-24,MEDIUM,P6 Q4,Packaging credits from vendor disposal
ALKYL AMINES CHEMICALS LIMITED,5.5,E-Waste,0.8,MT,FY2023-24,MEDIUM,P6 Q4,IT hardware disposal
ALOK INDUSTRIES LIMITED,2.3,Water Recycling %,42.0,%,FY2023-24,MEDIUM,Sustainability Disclosure,Textile process water recycling
ALOK INDUSTRIES LIMITED,2.5,Water Discharge,154200.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated effluent from dyeing units
ALOK INDUSTRIES LIMITED,5.3,Waste Recycled %,68.5,%,FY2023-24,HIGH,P6 Q4,Cotton waste and polyester scrap recycling
ALOK INDUSTRIES LIMITED,5.4,Plastic Waste,540.0,MT,FY2023-24,HIGH,P6 Q4,EPR plastic packaging disposal
ALOK INDUSTRIES LIMITED,5.5,E-Waste,2.4,MT,FY2023-24,MEDIUM,P6 Q4,Authorized IT asset disposal
APAR Industries Limited,2.3,Water Recycling %,100.0,%,FY2023-24,HIGH,BRSR P6 Q1,ZLD at all production units
APAR Industries Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD)
APAR Industries Limited,5.3,Waste Recycled %,95.3,%,FY2023-24,HIGH,Calculated,Recycled: 7555MT / Generated: 7923MT
APAR Industries Limited,5.4,Plastic Waste,124.0,MT,FY2023-24,HIGH,P6 Q4,EPR compliant packaging chindis
APAR Industries Limited,5.5,E-Waste,8.6,MT,FY2023-24,HIGH,P6 Q4,IT hardware and electronics recycling
APL Apollo Tubes Limited,2.3,Water Recycling %,45.0,%,FY2023-24,MEDIUM,Sustainability Report,ETP recycling focus for pickling process
APL Apollo Tubes Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,ZLD implemented at major plants in FY24
APL Apollo Tubes Limited,5.3,Waste Recycled %,80.0,%,FY2023-24,HIGH,Calculated,Reused 5284MT vs 6601MT generated
APL Apollo Tubes Limited,5.4,Plastic Waste,528.0,MT,FY2023-24,HIGH,P6 Q4,Thermoplastic scrap and packaging
APL Apollo Tubes Limited,5.5,E-Waste,12.0,MT,FY2023-24,MEDIUM,P6 Q4,Disposed via authorized recyclers
ARVIND LIMITED,2.3,Water Recycling %,86.0,%,FY2023-24,HIGH,Sustainability Report,Calculated: 7.5 million liters reused
ARVIND LIMITED,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) at major textile units
ARVIND LIMITED,5.3,Waste Recycled %,98.0,%,FY2023-24,HIGH,BRSR P6 Q4,Zero Waste to Landfill goal; includes cotton recycling
ARVIND LIMITED,5.4,Plastic Waste,783.3,MT,FY2023-24,HIGH,BRSR P6 Q4,Packaging and chindi waste management
ARVIND LIMITED,5.5,E-Waste,5.8,MT,FY2023-24,HIGH,BRSR P6 Q4,End-of-life IT assets via authorized vendors
AU Small Finance Bank Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Service sector; no industrial recycling
AU Small Finance Bank Limited,2.5,Water Discharge,251673.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Total municipal discharge from office premises
AU Small Finance Bank Limited,5.3,Waste Recycled %,85.0,%,FY2023-24,MEDIUM,P6 Q4,Mostly paper waste channelized to recyclers
AU Small Finance Bank Limited,5.4,Plastic Waste,5.2,MT,FY2023-24,MEDIUM,P6 Q4,Office packaging and beverage containers
AU Small Finance Bank Limited,5.5,E-Waste,18.4,MT,FY2023-24,HIGH,P6 Q4,End-of-life IT hardware and UPS batteries
AUROBINDO PHARMA LIMITED,2.3,Water Recycling %,42.0,%,FY2023-24,HIGH,BRSR P6 Q1,Wastewater recycled for utilities and gardening
AUROBINDO PHARMA LIMITED,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) implemented across units
AUROBINDO PHARMA LIMITED,5.3,Waste Recycled %,74.5,%,FY2023-24,HIGH,BRSR P6 Q4,Solvent recovery and hazardous waste recycling
AUROBINDO PHARMA LIMITED,5.4,Plastic Waste,1845.0,MT,FY2023-24,HIGH,P6 Q4,EPR obligations for secondary packaging
AUROBINDO PHARMA LIMITED,5.5,E-Waste,12.8,MT,FY2023-24,HIGH,P6 Q4,End-of-life electronic hardware
Aarti Industries Limited,2.3,Water Recycling %,38.0,%,FY2023-24,HIGH,Sustainability Report,Multi-effect evaporator (MEE) recovery
Aarti Industries Limited,2.5,Water Discharge,45800.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Discharged to CETP for further treatment
Aarti Industries Limited,5.3,Waste Recycled %,62.0,%,FY2023-24,HIGH,P6 Q4,By-product recovery and waste-to-energy
Aarti Industries Limited,5.4,Plastic Waste,212.0,MT,FY2023-24,HIGH,P6 Q4,Packaging waste EPR credits
Aarti Industries Limited,5.5,E-Waste,3.2,MT,FY2023-24,HIGH,P6 Q4,Authorized electronic waste recyclers
Aavas Financiers Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Financial services; negligible recycling
Aavas Financiers Limited,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Assumed zero discharge outside municipal sewer
Aavas Financiers Limited,5.3,Waste Recycled %,92.0,%,FY2023-24,MEDIUM,P6 Q4,100% paper waste recycled
Aavas Financiers Limited,5.4,Plastic Waste,0.24,MT,FY2023-24,HIGH,P6 Q4,Minimal packaging waste
Aavas Financiers Limited,5.5,E-Waste,2.15,MT,FY2023-24,HIGH,P6 Q4,IT hardware disposal
Adani Energy Solutions Limited,2.3,Water Recycling %,15.0,%,FY2023-24,MEDIUM,Adani Portfolio ESG,Cooling water recycling in substations
Adani Energy Solutions Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) at major sites
Adani Energy Solutions Limited,5.3,Waste Recycled %,88.0,%,FY2023-24,HIGH,P6 Q4,Metal scrap and oil recycling
Adani Energy Solutions Limited,5.4,Plastic Waste,1.2,MT,FY2023-24,HIGH,P6 Q4,Minimal plastic usage in transmission
Adani Energy Solutions Limited,5.5,E-Waste,45.6,MT,FY2023-24,HIGH,P6 Q4,Battery and control system replacement
Adani Enterprises Limited,2.3,Water Recycling %,12.5,%,FY2023-24,HIGH,BRSR P6 Q1,Recycling in mining and airport ops
Adani Enterprises Limited,2.5,Water Discharge,125000.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Discharge from mining run-off and airports
Adani Enterprises Limited,5.3,Waste Recycled %,95.0,%,FY2023-24,HIGH,P6 Q4,Ash and overburden utilization
Adani Enterprises Limited,5.4,Plastic Waste,415.0,MT,FY2023-24,HIGH,P6 Q4,Airport retail and packaging EPR
Adani Enterprises Limited,5.5,E-Waste,22.4,MT,FY2023-24,HIGH,P6 Q4,IT assets from diverse business units
Adani Ports and Special Economic Zone Limited,2.3,Water Recycling %,22.0,%,FY2023-24,HIGH,BRSR P6 Q1,STP water used for horticulture and dust suppression
Adani Ports and Special Economic Zone Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Zero Liquid Discharge (ZLD) across ports
Adani Ports and Special Economic Zone Limited,5.3,Waste Recycled %,91.0,%,FY2023-24,HIGH,P6 Q4,Ship waste and port operational scrap
Adani Ports and Special Economic Zone Limited,5.4,Plastic Waste,124.0,MT,FY2023-24,HIGH,P6 Q4,EPR credits for port-wide collection
Adani Ports and Special Economic Zone Limited,5.5,E-Waste,14.5,MT,FY2023-24,HIGH,P6 Q4,Port management systems hardware
Adani Total Gas Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Distribution network; low water footprint
Adani Total Gas Limited,2.5,Water Discharge,0.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Negligible discharge; municipal only
Adani Total Gas Limited,5.3,Waste Recycled %,78.0,%,FY2023-24,MEDIUM,P6 Q4,Mainly pipe scrap and office waste
Adani Total Gas Limited,5.4,Plastic Waste,0.85,MT,FY2023-24,HIGH,P6 Q4,EPR packaging compliance
Adani Total Gas Limited,5.5,E-Waste,1.4,MT,FY2023-24,HIGH,P6 Q4,Office IT disposal
Aditya Birla Capital Limited,2.3,Water Recycling %,0.0,%,FY2023-24,HIGH,BRSR P6 Q1,Financial services; municipal water use
Aditya Birla Capital Limited,2.5,Water Discharge,0.0,KL,FY2023-24,MEDIUM,BRSR P6 Q1,Discharged to public sewers
Aditya Birla Capital Limited,5.3,Waste Recycled %,94.0,%,FY2023-24,MEDIUM,P6 Q4,100% paper recycling via specialized vendors
Aditya Birla Capital Limited,5.4,Plastic Waste,1.5,MT,FY2023-24,HIGH,P6 Q4,Non-manufacturing office plastic
Aditya Birla Capital Limited,5.5,E-Waste,12.8,MT,FY2023-24,HIGH,P6 Q4,Authorized IT asset recycling
Aditya Birla Fashion and Retail Limited,2.3,Water Recycling %,65.0,%,FY2023-24,HIGH,Sustainability Report,Wastewater recycled in manufacturing units
Aditya Birla Fashion and Retail Limited,2.5,Water Discharge,4200.0,KL,FY2023-24,HIGH,BRSR P6 Q1,Treated effluent from factory units
Aditya Birla Fashion and Retail Limited,5.3,Waste Recycled %,82.0,%,FY2023-24,HIGH,P6 Q4,Fabric scrap and packaging recycling
Aditya Birla Fashion and Retail Limited,5.4,Plastic Waste,1450.0,MT,FY2023-24,HIGH,P6 Q4,EPR collection of garment packaging
