Company_Name,FY_2024_Revenue_Cr,Screener_Value,Yahoo_Value,Moneycontrol_Value,BSE_Value,Sources_Agreeing,Confidence,Screener_URL,Yahoo_URL,Moneycontrol_URL,BSE_URL,Notes
360 ONE WAM LIMITED,1115.0,1115.0,3943.4399744,,,1,Low,https://www.screener.in/company/360ONE/consolidated/,https://finance.yahoo.com/quote/360ONE.NS,,,"Spread: 71.7% (Min: 1115, Max: 3943)"
3M INDIA LIMITED,4750.65,,4750.6456576,,,1,Low,,https://finance.yahoo.com/quote/3MINDIA.NS,,,
ACC Limited,24004.33,24061.0,23947.6604928,,,2,Medium,https://www.screener.in/company/ACC/consolidated/,https://finance.yahoo.com/quote/ACC.NS,https://www.moneycontrol.com/india/stockpricequote/cement-major/acc/ACC06,,
ADANI POWER LIMITED,13457.0,13457.0,,,,1,Low,https://www.screener.in/company/ADANIPOWER/consolidated/,,,,
AIA ENGINEERING LIMITED,1048.0,1048.0,,,,1,Low,https://www.screener.in/company/AIAENG/consolidated/,,,,
ALEMBIC PHARMACEUTICALS LIMITED,1910.0,1910.0,,,,1,Low,https://www.screener.in/company/APLLTD/consolidated/,,,,
ALKYL AMINES CHEMICALS LIMITED,389.0,389.0,,,,1,Low,https://www.screener.in/company/ALKYLAMINE/,,,,
ALOK INDUSTRIES LIMITED,941.0,941.0,,,,1,Low,https://www.screener.in/company/ALOKINDS/consolidated/,,,,
APAR Industries Limited,5715.0,5715.0,,,,1,Low,https://www.screener.in/company/APARINDS/consolidated/,,,,
APL Apollo Tubes,21325.99,,21325.9894784,,,1,Low,,https://finance.yahoo.com/quote/APLAPOLLO.NS,,,
APL Apollo Tubes Limited,21325.99,,21325.9894784,,,1,Low,,https://finance.yahoo.com/quote/APLAPOLLO.NS,,,
ARVIND LIMITED,8687.18,8687.0,8687.3604096,,,2,Medium,https://www.screener.in/company/ARVIND/consolidated/,https://finance.yahoo.com/quote/ARVIND.NS,https://www.moneycontrol.com/india/stockpricequote/textiles-denim/arvind/A18,,
AU Small Finance Bank Limited,9057.07,,9057.0653696,,,1,Low,,https://finance.yahoo.com/quote/AUBANK.NS,,,
AUROBINDO PHARMA LIMITED,8286.0,8286.0,,,,1,Low,https://www.screener.in/company/AUROPHARMA/consolidated/,,,,
Aarti Industries Limited,7568.32,,7568.3201024,,,1,Low,,https://finance.yahoo.com/quote/AARTIIND.NS,,,
Aavas Financiers Limited,1427.05,,1427.0451712,,,1,Low,,https://finance.yahoo.com/quote/AAVAS.NS,,,
"Adani Airports (Mumbai, Ahmedabad, 6 others)",,,,,,0,Not Found,,,,,
Adani Energy Solutions Limited,25620.36,,25620.3603968,,,1,Low,,https://finance.yahoo.com/quote/ADANIENSOL.NS,,,
Adani Enterprises Limited,93023.99,93024.0,93023.9873024,,,2,Medium,https://www.screener.in/company/ADANIENT/consolidated/,https://finance.yahoo.com/quote/ADANIENT.NS,https://www.moneycontrol.com/india/stockpricequote/trading/adanienterprises/AE13,,
Adani Ports and Special Economic Zone Limited,34745.59,,34745.5913984,,,1,Low,,https://finance.yahoo.com/quote/ADANIPORTS.NS,,,
Adani Total Gas Limited,5465.56,,5465.5598592,,,1,Low,,https://finance.yahoo.com/quote/ATGL.NS,,,
Aditya Birla Capital Limited,29561.53,,29561.5299584,,,1,Low,,https://finance.yahoo.com/quote/ABCAPITAL.NS,,,
Aditya Birla Fashion and Retail Limited,7733.12,,7733.1202048,,,1,Low,,https://finance.yahoo.com/quote/ABFRL.NS,,,
Aditya Birla Sun Life AMC Limited,,,,,,0,Not Found,https://www.screener.in/company/ABSLAMC/consolidated/,,,,
